module,attributes,classifier,technique,metric,score
bbb,asmt,ff,base,accuracy,0.8853485838779956
bbb,asmt,ff,base,fscore,0.0
bbb,asmt,ff,base,precision,0.0
bbb,asmt,ff,base,recall,0.0
bbb,stdnt,ff,base,accuracy,0.8853485838779956
bbb,stdnt,ff,base,fscore,0.0
bbb,stdnt,ff,base,precision,0.0
bbb,stdnt,ff,base,recall,0.0
bbb,abd,ff,base,accuracy,0.8853485838779956
bbb,abd,ff,base,fscore,0.0
bbb,abd,ff,base,precision,0.0
bbb,abd,ff,base,recall,0.0
bbb,abi,ff,base,accuracy,0.8853485838779956
bbb,abi,ff,base,fscore,0.0
bbb,abi,ff,base,precision,0.0
bbb,abi,ff,base,recall,0.0
bbb,asmt_stdnt,ff,base,accuracy,0.8853485838779956
bbb,asmt_stdnt,ff,base,fscore,0.0
bbb,asmt_stdnt,ff,base,precision,0.0
bbb,asmt_stdnt,ff,base,recall,0.0
bbb,asmt_abd,ff,base,accuracy,0.8853485838779956
bbb,asmt_abd,ff,base,fscore,0.0
bbb,asmt_abd,ff,base,precision,0.0
bbb,asmt_abd,ff,base,recall,0.0
bbb,asmt_abi,ff,base,accuracy,0.8853485838779956
bbb,asmt_abi,ff,base,fscore,0.0
bbb,asmt_abi,ff,base,precision,0.0
bbb,asmt_abi,ff,base,recall,0.0
bbb,stdnt_abd,ff,base,accuracy,0.8853485838779956
bbb,stdnt_abd,ff,base,fscore,0.0
bbb,stdnt_abd,ff,base,precision,0.0
bbb,stdnt_abd,ff,base,recall,0.0
bbb,stdnt_abi,ff,base,accuracy,0.8852124183006536
bbb,stdnt_abi,ff,base,fscore,0.0
bbb,stdnt_abi,ff,base,precision,0.0
bbb,stdnt_abi,ff,base,recall,0.0
bbb,asmt_stdnt_abd,ff,base,accuracy,0.8853485838779956
bbb,asmt_stdnt_abd,ff,base,fscore,0.0
bbb,asmt_stdnt_abd,ff,base,precision,0.0
bbb,asmt_stdnt_abd,ff,base,recall,0.0
bbb,asmt_stdnt_abi,ff,base,accuracy,0.8838507625272332
bbb,asmt_stdnt_abi,ff,base,fscore,0.0002722940776038121
bbb,asmt_stdnt_abi,ff,base,precision,0.07692307692307693
bbb,asmt_stdnt_abi,ff,base,recall,0.0011876484560570072
