module,attributes,classifier,technique,metric,score
bbb,asmt,dt,pca,accuracy,0.8853485838779956
bbb,asmt,dt,pca,fscore,0.0
bbb,asmt,dt,pca,precision,0.0
bbb,asmt,dt,pca,recall,0.0
bbb,asmt,knn,pca,accuracy,0.8853485838779956
bbb,asmt,knn,pca,fscore,0.0
bbb,asmt,knn,pca,precision,0.0
bbb,asmt,knn,pca,recall,0.0
bbb,asmt,nb,pca,accuracy,0.8853485838779956
bbb,asmt,nb,pca,fscore,0.0
bbb,asmt,nb,pca,precision,0.0
bbb,asmt,nb,pca,recall,0.0
bbb,asmt,nn,pca,accuracy,0.8853485838779956
bbb,asmt,nn,pca,fscore,0.0
bbb,asmt,nn,pca,precision,0.0
bbb,asmt,nn,pca,recall,0.0
bbb,asmt,rf,pca,accuracy,0.8853485838779956
bbb,asmt,rf,pca,fscore,0.0
bbb,asmt,rf,pca,precision,0.0
bbb,asmt,rf,pca,recall,0.0
bbb,asmt,svm,pca,accuracy,0.8853485838779956
bbb,asmt,svm,pca,fscore,0.0
bbb,asmt,svm,pca,precision,0.0
bbb,asmt,svm,pca,recall,0.0
bbb,stdnt,dt,pca,accuracy,0.8846677559912854
bbb,stdnt,dt,pca,fscore,0.0008166598611678236
bbb,stdnt,dt,pca,precision,0.0035629453681710215
bbb,stdnt,dt,pca,recall,0.2727272727272727
bbb,stdnt,knn,pca,accuracy,0.880718954248366
bbb,stdnt,knn,pca,fscore,0.0013607293509320995
bbb,stdnt,knn,pca,precision,0.0059382422802850355
bbb,stdnt,knn,pca,recall,0.11363636363636363
bbb,stdnt,nb,pca,accuracy,0.8812636165577342
bbb,stdnt,nb,pca,fscore,0.0016326530612244899
bbb,stdnt,nb,pca,precision,0.007125890736342043
bbb,stdnt,nb,pca,recall,0.14285714285714285
bbb,stdnt,nn,pca,accuracy,0.8853485838779956
bbb,stdnt,nn,pca,fscore,0.0
bbb,stdnt,nn,pca,precision,0.0
bbb,stdnt,nn,pca,recall,0.0
bbb,stdnt,rf,pca,accuracy,0.8853485838779956
bbb,stdnt,rf,pca,fscore,0.0
bbb,stdnt,rf,pca,precision,0.0
bbb,stdnt,rf,pca,recall,0.0
bbb,stdnt,svm,pca,accuracy,0.8853485838779956
bbb,stdnt,svm,pca,fscore,0.0
bbb,stdnt,svm,pca,precision,0.0
bbb,stdnt,svm,pca,recall,0.0
bbb,abd,dt,pca,accuracy,0.8345588235294118
bbb,abd,dt,pca,fscore,0.005160939834306669
bbb,abd,dt,pca,precision,0.022565320665083134
bbb,abd,dt,pca,recall,0.046228710462287104
bbb,abd,knn,pca,accuracy,0.8828976034858388
bbb,abd,knn,pca,fscore,0.0
bbb,abd,knn,pca,precision,0.0
bbb,abd,knn,pca,recall,0.0
bbb,abd,nb,pca,accuracy,0.8428649237472767
bbb,abd,nb,pca,fscore,0.005702647657841141
bbb,abd,nb,pca,precision,0.02494061757719715
bbb,abd,nb,pca,recall,0.059322033898305086
bbb,abd,nn,pca,accuracy,0.8811274509803921
bbb,abd,nn,pca,fscore,0.0002722940776038121
bbb,abd,nn,pca,precision,0.0011876484560570072
bbb,abd,nn,pca,recall,0.030303030303030304
bbb,abd,rf,pca,accuracy,0.8837145969498911
bbb,abd,rf,pca,fscore,0.0
bbb,abd,rf,pca,precision,0.0
bbb,abd,rf,pca,recall,0.0
bbb,abd,svm,pca,accuracy,0.8853485838779956
bbb,abd,svm,pca,fscore,0.0
bbb,abd,svm,pca,precision,0.0
bbb,abd,svm,pca,recall,0.0
bbb,abi,dt,pca,accuracy,0.8601579520697168
bbb,abi,dt,pca,fscore,0.0040766408479412965
bbb,abi,dt,pca,precision,0.017814726840855107
bbb,abi,dt,pca,recall,0.06976744186046512
bbb,abi,knn,pca,accuracy,0.8850762527233116
bbb,abi,knn,pca,fscore,0.0
bbb,abi,knn,pca,precision,0.0
bbb,abi,knn,pca,recall,0.0
bbb,abi,nb,pca,accuracy,0.8833061002178649
bbb,abi,nb,pca,fscore,0.0
bbb,abi,nb,pca,precision,0.0
bbb,abi,nb,pca,recall,0.0
bbb,abi,nn,pca,accuracy,0.880718954248366
bbb,abi,nn,pca,fscore,0.0
bbb,abi,nn,pca,precision,0.0
bbb,abi,nn,pca,recall,0.0
bbb,abi,rf,pca,accuracy,0.8852124183006536
bbb,abi,rf,pca,fscore,0.0
bbb,abi,rf,pca,precision,0.0
bbb,abi,rf,pca,recall,0.0
bbb,abi,svm,pca,accuracy,0.8853485838779956
bbb,abi,svm,pca,fscore,0.0
bbb,abi,svm,pca,precision,0.0
bbb,abi,svm,pca,recall,0.0
bbb,asmt_stdnt,dt,pca,accuracy,0.781318082788671
bbb,asmt_stdnt,dt,pca,fscore,0.011642073913632056
bbb,asmt_stdnt,dt,pca,precision,0.0510688836104513
bbb,asmt_stdnt,dt,pca,recall,0.05058823529411765
bbb,asmt_stdnt,knn,pca,accuracy,0.8848039215686274
bbb,asmt_stdnt,knn,pca,fscore,0.0
bbb,asmt_stdnt,knn,pca,precision,0.0
bbb,asmt_stdnt,knn,pca,recall,0.0
bbb,asmt_stdnt,nb,pca,accuracy,0.8799019607843137
bbb,asmt_stdnt,nb,pca,fscore,0.0008166598611678236
bbb,asmt_stdnt,nb,pca,precision,0.0035629453681710215
bbb,asmt_stdnt,nb,pca,recall,0.06521739130434782
