module,attributes,classifier,technique,metric,score
ccc,asmt,ae,smote,accuracy,0.7621313035204567
ccc,asmt,ae,smote,fscore,0.03367633302151544
ccc,asmt,ae,smote,precision,0.09060402684563758
ccc,asmt,ae,smote,recall,0.20610687022900764
ccc,stdnt,ae,smote,accuracy,0.5790252669415371
ccc,stdnt,ae,smote,fscore,0.0768526989935956
ccc,stdnt,ae,smote,precision,0.09564777327935223
ccc,stdnt,ae,smote,recall,0.48091603053435117
ccc,abd,ae,smote,accuracy,0.5751136483772069
ccc,abd,ae,smote,fscore,0.1049784633877592
ccc,abd,ae,smote,precision,0.1224013081055828
ccc,abd,ae,smote,recall,0.6666666666666666
ccc,abi,ae,smote,accuracy,0.5023786869647955
ccc,abi,ae,smote,fscore,0.11742461936511096
ccc,abi,ae,smote,precision,0.11566359537345619
ccc,abi,ae,smote,recall,0.7506361323155216
ccc,asmt_stdnt,ae,smote,accuracy,0.7263981393381964
ccc,asmt_stdnt,ae,smote,fscore,0.04384241546892772
ccc,asmt_stdnt,ae,smote,precision,0.09523809523809523
ccc,asmt_stdnt,ae,smote,recall,0.2697201017811705
ccc,asmt_abd,ae,smote,accuracy,0.6527117031398668
ccc,asmt_abd,ae,smote,fscore,0.0760703752669582
ccc,asmt_abd,ae,smote,precision,0.11518324607329843
ccc,asmt_abd,ae,smote,recall,0.4758269720101781
ccc,asmt_abi,ae,smote,accuracy,0.4589280050745322
ccc,asmt_abi,ae,smote,fscore,0.12228287841191067
ccc,asmt_abi,ae,smote,precision,0.11071171818835371
ccc,asmt_abi,ae,smote,recall,0.7837150127226463
ccc,stdnt_abd,ae,smote,accuracy,0.5030130034887409
ccc,stdnt_abd,ae,smote,fscore,0.10801080108010801
ccc,stdnt_abd,ae,smote,precision,0.10810810810810811
ccc,stdnt_abd,ae,smote,recall,0.6870229007633588
ccc,stdnt_abi,ae,smote,accuracy,0.6697325298657363
ccc,stdnt_abi,ae,smote,fscore,0.08017048914146539
ccc,stdnt_abi,ae,smote,precision,0.12627877237851662
ccc,stdnt_abi,ae,smote,recall,0.5025445292620865
ccc,asmt_stdnt_abd,ae,smote,accuracy,0.6353737181520245
ccc,asmt_stdnt_abd,ae,smote,fscore,0.06919779546846296
ccc,asmt_stdnt_abd,ae,smote,precision,0.10146662675845555
ccc,asmt_stdnt_abd,ae,smote,recall,0.4312977099236641
ccc,asmt_stdnt_abi,ae,smote,accuracy,0.592240194523734
ccc,asmt_stdnt_abi,ae,smote,fscore,0.09275128541183587
ccc,asmt_stdnt_abi,ae,smote,precision,0.11525933350037584
ccc,asmt_stdnt_abi,ae,smote,recall,0.5852417302798982
