module,attributes,classifier,technique,metric,score
ccc,asmt,dt,base,accuracy,0.9169045353631462
ccc,asmt,dt,base,fscore,0.0
ccc,asmt,dt,base,precision,0.0
ccc,asmt,dt,base,recall,0.0
ccc,asmt,knn,base,accuracy,0.8435352574267893
ccc,asmt,knn,base,fscore,0.01469199286388918
ccc,asmt,knn,base,precision,0.08393285371702638
ccc,asmt,knn,base,recall,0.089058524173028
ccc,asmt,nb,base,accuracy,0.9169045353631462
ccc,asmt,nb,base,fscore,0.0
ccc,asmt,nb,base,precision,0.0
ccc,asmt,nb,base,recall,0.0
ccc,asmt,nn,base,accuracy,0.9169045353631462
ccc,asmt,nn,base,fscore,0.0
ccc,asmt,nn,base,precision,0.0
ccc,asmt,nn,base,recall,0.0
ccc,asmt,rf,base,accuracy,0.9169045353631462
ccc,asmt,rf,base,fscore,0.0
ccc,asmt,rf,base,precision,0.0
ccc,asmt,rf,base,recall,0.0
ccc,asmt,svm,base,accuracy,0.9169045353631462
ccc,asmt,svm,base,fscore,0.0
ccc,asmt,svm,base,precision,0.0
ccc,asmt,svm,base,recall,0.0
ccc,stdnt,dt,base,accuracy,0.8313775240511682
ccc,stdnt,dt,base,fscore,0.022784280936454848
ccc,stdnt,dt,base,precision,0.10613437195715676
ccc,stdnt,dt,base,recall,0.138676844783715
ccc,stdnt,knn,base,accuracy,0.8752510836240618
ccc,stdnt,knn,base,fscore,0.013232514177693762
ccc,stdnt,knn,base,precision,0.12115384615384615
ccc,stdnt,knn,base,recall,0.08015267175572519
ccc,stdnt,nb,base,accuracy,0.792155618987208
ccc,stdnt,nb,base,fscore,0.03775541956228607
ccc,stdnt,nb,base,precision,0.11787564766839378
ccc,stdnt,nb,base,recall,0.23155216284987276
ccc,stdnt,nn,base,accuracy,0.8748282059414314
ccc,stdnt,nn,base,fscore,0.016565317676661775
ccc,stdnt,nn,base,precision,0.1420863309352518
ccc,stdnt,nn,base,recall,0.1005089058524173
ccc,stdnt,rf,base,accuracy,0.8812770906015435
ccc,stdnt,rf,base,fscore,0.01051635292880429
ccc,stdnt,rf,base,precision,0.11441647597254005
ccc,stdnt,rf,base,recall,0.06361323155216285
ccc,stdnt,svm,base,accuracy,0.9169045353631462
ccc,stdnt,svm,base,fscore,0.0
ccc,stdnt,svm,base,precision,0.0
ccc,stdnt,svm,base,recall,0.0
ccc,abd,dt,base,accuracy,0.8107622370229411
ccc,abd,dt,base,fscore,0.03428927680798005
ccc,abd,dt,base,precision,0.12368815592203898
ccc,abd,dt,base,recall,0.2099236641221374
ccc,abd,knn,base,accuracy,0.8937519822391373
ccc,abd,knn,base,fscore,0.00863157894736842
ccc,abd,knn,base,precision,0.1362126245847176
ccc,abd,knn,base,recall,0.05216284987277354
ccc,abd,nb,base,accuracy,0.35426577862353315
ccc,abd,nb,base,fscore,0.13174007505431562
ccc,abd,nb,base,precision,0.10021033653846154
ccc,abd,nb,base,recall,0.8486005089058524
ccc,abd,nn,base,accuracy,0.9117242837509251
ccc,abd,nn,base,fscore,0.0010566356720202875
ccc,abd,nn,base,precision,0.0847457627118644
ccc,abd,nn,base,recall,0.006361323155216285
ccc,abd,rf,base,accuracy,0.9129929167988159
ccc,abd,rf,base,fscore,0.0016900813351642548
ccc,abd,rf,base,precision,0.1509433962264151
ccc,abd,rf,base,recall,0.010178117048346057
ccc,abd,svm,base,accuracy,0.9169045353631462
ccc,abd,svm,base,fscore,0.0
ccc,abd,svm,base,precision,0.0
ccc,abd,svm,base,recall,0.0
ccc,abi,dt,base,accuracy,0.7988159424886352
ccc,abi,dt,base,fscore,0.039585492227979274
ccc,abi,dt,base,precision,0.12741827885256837
ccc,abi,dt,base,recall,0.2430025445292621
ccc,abi,knn,base,accuracy,0.8862459033724496
ccc,abi,knn,base,fscore,0.013023842033399853
ccc,abi,knn,base,precision,0.1497584541062802
ccc,abi,knn,base,recall,0.07888040712468193
ccc,abi,nb,base,accuracy,0.35923459139443914
ccc,abi,nb,base,fscore,0.13100177830468288
ccc,abi,nb,base,precision,0.1004393273746402
ccc,abi,nb,base,recall,0.8435114503816794
ccc,abi,nn,base,accuracy,0.9076012263452796
ccc,abi,nn,base,fscore,0.001478977392774139
ccc,abi,nn,base,precision,0.06862745098039216
ccc,abi,nn,base,recall,0.008905852417302799
ccc,abi,rf,base,accuracy,0.9137329527434189
ccc,abi,rf,base,fscore,0.0033773087071240107
ccc,abi,rf,base,precision,0.25806451612903225
ccc,abi,rf,base,recall,0.020356234096692113
ccc,abi,svm,base,accuracy,0.9169045353631462
ccc,abi,svm,base,fscore,0.0
ccc,abi,svm,base,precision,0.0
ccc,abi,svm,base,recall,0.0
ccc,asmt_stdnt,dt,base,accuracy,0.8148852944285865
ccc,asmt_stdnt,dt,base,fscore,0.02670282674454991
ccc,asmt_stdnt,dt,base,precision,0.10483210483210484
ccc,asmt_stdnt,dt,base,recall,0.1628498727735369
ccc,asmt_stdnt,knn,base,accuracy,0.898297917327413
ccc,asmt_stdnt,knn,base,fscore,0.005482340537691091
ccc,asmt_stdnt,knn,base,precision,0.11403508771929824
ccc,asmt_stdnt,knn,base,recall,0.03307888040712468
ccc,asmt_stdnt,nb,base,accuracy,0.7955386404482503
ccc,asmt_stdnt,nb,base,fscore,0.03734827264239029
ccc,asmt_stdnt,nb,base,precision,0.11936339522546419
ccc,asmt_stdnt,nb,base,recall,0.22900763358778625
ccc,asmt_stdnt,nn,base,accuracy,0.8587588540014801
