module,attributes,classifier,technique,metric,score
ccc,asmt,ff,kmeans,accuracy,0.9169045353631462
ccc,asmt,ff,kmeans,fscore,0.0
ccc,asmt,ff,kmeans,precision,0.0
ccc,asmt,ff,kmeans,recall,0.0
ccc,stdnt,ff,kmeans,accuracy,0.9169045353631462
ccc,stdnt,ff,kmeans,fscore,0.0
ccc,stdnt,ff,kmeans,precision,0.0
ccc,stdnt,ff,kmeans,recall,0.0
ccc,abd,ff,kmeans,accuracy,0.9169045353631462
ccc,abd,ff,kmeans,fscore,0.0
ccc,abd,ff,kmeans,precision,0.0
ccc,abd,ff,kmeans,recall,0.0
ccc,abi,ff,kmeans,accuracy,0.9169045353631462
ccc,abi,ff,kmeans,fscore,0.0
ccc,abi,ff,kmeans,precision,0.0
ccc,abi,ff,kmeans,recall,0.0
ccc,asmt_stdnt,ff,kmeans,accuracy,0.9133100750607887
ccc,asmt_stdnt,ff,kmeans,fscore,0.0010566356720202875
ccc,asmt_stdnt,ff,kmeans,precision,0.11363636363636363
ccc,asmt_stdnt,ff,kmeans,recall,0.006361323155216285
ccc,asmt_abd,ff,kmeans,accuracy,0.915213024632625
ccc,asmt_abd,ff,kmeans,fscore,0.00042278828876440123
ccc,asmt_abd,ff,kmeans,precision,0.1
ccc,asmt_abd,ff,kmeans,recall,0.002544529262086514
ccc,asmt_abi,ff,kmeans,accuracy,0.9169045353631462
ccc,asmt_abi,ff,kmeans,fscore,0.0
ccc,asmt_abi,ff,kmeans,precision,0.0
ccc,asmt_abi,ff,kmeans,recall,0.0
ccc,stdnt_abd,ff,kmeans,accuracy,0.8681678824400042
ccc,stdnt_abd,ff,kmeans,fscore,0.021336680263570756
ccc,stdnt_abd,ff,kmeans,precision,0.15338345864661654
ccc,stdnt_abd,ff,kmeans,recall,0.1297709923664122
ccc,stdnt_abi,ff,kmeans,accuracy,0.8802198963949678
ccc,stdnt_abi,ff,kmeans,fscore,0.01531682752832564
ccc,stdnt_abi,ff,kmeans,precision,0.14807302231237324
ccc,stdnt_abi,ff,kmeans,recall,0.09287531806615776
ccc,asmt_stdnt_abd,ff,kmeans,accuracy,0.8912147161433556
ccc,asmt_stdnt_abd,ff,kmeans,fscore,0.01469199286388918
ccc,asmt_stdnt_abd,ff,kmeans,precision,0.18276762402088773
ccc,asmt_stdnt_abd,ff,kmeans,recall,0.089058524173028
ccc,asmt_stdnt_abi,ff,kmeans,accuracy,0.8783169468231314
ccc,asmt_stdnt_abi,ff,kmeans,fscore,0.01843511050591809
ccc,asmt_stdnt_abi,ff,kmeans,precision,0.16266173752310537
ccc,asmt_stdnt_abi,ff,kmeans,recall,0.11195928753180662
