module,attributes,classifier,technique,metric,score
ccc,asmt,dt,kmeans,accuracy,0.9169045353631462
ccc,asmt,dt,kmeans,fscore,0.0
ccc,asmt,dt,kmeans,precision,0.0
ccc,asmt,dt,kmeans,recall,0.0
ccc,asmt,knn,kmeans,accuracy,0.9169045353631462
ccc,asmt,knn,kmeans,fscore,0.0
ccc,asmt,knn,kmeans,precision,0.0
ccc,asmt,knn,kmeans,recall,0.0
ccc,asmt,nb,kmeans,accuracy,0.9169045353631462
ccc,asmt,nb,kmeans,fscore,0.0
ccc,asmt,nb,kmeans,precision,0.0
ccc,asmt,nb,kmeans,recall,0.0
ccc,asmt,nn,kmeans,accuracy,0.9169045353631462
ccc,asmt,nn,kmeans,fscore,0.0
ccc,asmt,nn,kmeans,precision,0.0
ccc,asmt,nn,kmeans,recall,0.0
ccc,asmt,rf,kmeans,accuracy,0.9169045353631462
ccc,asmt,rf,kmeans,fscore,0.0
ccc,asmt,rf,kmeans,precision,0.0
ccc,asmt,rf,kmeans,recall,0.0
ccc,asmt,svm,kmeans,accuracy,0.9169045353631462
ccc,asmt,svm,kmeans,fscore,0.0
ccc,asmt,svm,kmeans,precision,0.0
ccc,asmt,svm,kmeans,recall,0.0
ccc,stdnt,dt,kmeans,accuracy,0.7858124537477534
ccc,stdnt,dt,kmeans,fscore,0.032858479775397735
ccc,stdnt,dt,kmeans,precision,0.10154241645244216
ccc,stdnt,dt,kmeans,recall,0.2010178117048346
ccc,stdnt,knn,kmeans,accuracy,0.8934348239771646
ccc,stdnt,knn,kmeans,fscore,0.006533192834562698
ccc,stdnt,knn,kmeans,precision,0.10915492957746478
ccc,stdnt,knn,kmeans,recall,0.039440203562340966
ccc,stdnt,nb,kmeans,accuracy,0.27835923459139444
ccc,stdnt,nb,kmeans,fscore,0.12544589774078477
ccc,stdnt,nb,kmeans,precision,0.08664111689022722
ccc,stdnt,nb,kmeans,recall,0.8053435114503816
ccc,stdnt,nn,kmeans,accuracy,0.8942805793424252
ccc,stdnt,nn,kmeans,fscore,0.007373077733305245
ccc,stdnt,nn,kmeans,precision,0.12323943661971831
ccc,stdnt,nn,kmeans,recall,0.044529262086514
ccc,stdnt,rf,kmeans,accuracy,0.868485040701977
ccc,stdnt,rf,kmeans,fscore,0.019679681775358525
ccc,stdnt,rf,kmeans,precision,0.14551083591331268
ccc,stdnt,rf,kmeans,recall,0.11959287531806616
ccc,stdnt,svm,kmeans,accuracy,0.9169045353631462
ccc,stdnt,svm,kmeans,fscore,0.0
ccc,stdnt,svm,kmeans,precision,0.0
ccc,stdnt,svm,kmeans,recall,0.0
ccc,abd,dt,kmeans,accuracy,0.8012474891637594
ccc,abd,dt,kmeans,fscore,0.031220730565095223
ccc,abd,dt,kmeans,precision,0.10760401721664276
ccc,abd,dt,kmeans,recall,0.19083969465648856
ccc,abd,knn,kmeans,accuracy,0.8931176657151919
ccc,abd,knn,kmeans,fscore,0.00842193915148963
ccc,abd,knn,kmeans,precision,0.13114754098360656
ccc,abd,knn,kmeans,recall,0.05089058524173028
ccc,abd,nb,kmeans,accuracy,0.5376889734644255
ccc,abd,nb,kmeans,fscore,0.1049784633877592
ccc,abd,nb,kmeans,precision,0.11305285868392664
ccc,abd,nb,kmeans,recall,0.6666666666666666
ccc,abd,nn,kmeans,accuracy,0.9103499312823766
ccc,abd,nn,kmeans,fscore,0.0016900813351642548
ccc,abd,nn,kmeans,precision,0.10256410256410256
ccc,abd,nn,kmeans,recall,0.010178117048346057
ccc,abd,rf,kmeans,accuracy,0.9113014060682948
ccc,abd,rf,kmeans,fscore,0.0016900813351642548
ccc,abd,rf,kmeans,precision,0.11594202898550725
ccc,abd,rf,kmeans,recall,0.010178117048346057
ccc,abd,svm,kmeans,accuracy,0.9169045353631462
ccc,abd,svm,kmeans,fscore,0.0
ccc,abd,svm,kmeans,precision,0.0
ccc,abd,svm,kmeans,recall,0.0
ccc,abi,dt,kmeans,accuracy,0.7804207632942172
ccc,abi,dt,kmeans,fscore,0.04525728456292622
ccc,abi,dt,kmeans,precision,0.1266628108733372
ccc,abi,dt,kmeans,recall,0.2786259541984733
ccc,abi,knn,kmeans,accuracy,0.8851887091658738
ccc,abi,knn,kmeans,fscore,0.013023842033399853
ccc,abi,knn,kmeans,precision,0.14622641509433962
ccc,abi,knn,kmeans,recall,0.07888040712468193
ccc,abi,nb,kmeans,accuracy,0.5277513479226134
ccc,abi,nb,kmeans,fscore,0.11291770573566084
ccc,abi,nb,kmeans,precision,0.11759817161853314
ccc,abi,nb,kmeans,recall,0.7201017811704835
ccc,abi,nn,kmeans,accuracy,0.90453536314621
ccc,abi,nn,kmeans,fscore,0.004640860668705833
ccc,abi,nn,kmeans,precision,0.13664596273291926
ccc,abi,nn,kmeans,recall,0.027989821882951654
ccc,abi,rf,kmeans,accuracy,0.9115128449096099
ccc,abi,rf,kmeans,fscore,0.0021121554546414617
ccc,abi,rf,kmeans,precision,0.14084507042253522
ccc,abi,rf,kmeans,recall,0.01272264631043257
ccc,abi,svm,kmeans,accuracy,0.9169045353631462
ccc,abi,svm,kmeans,fscore,0.0
ccc,abi,svm,kmeans,precision,0.0
ccc,abi,svm,kmeans,recall,0.0
ccc,asmt_stdnt,dt,kmeans,accuracy,0.8043133523628291
ccc,asmt_stdnt,dt,kmeans,fscore,0.031630423473103735
ccc,asmt_stdnt,dt,kmeans,precision,0.1110299488677867
ccc,asmt_stdnt,dt,kmeans,recall,0.19338422391857507
ccc,asmt_stdnt,knn,kmeans,accuracy,0.9008351834231948
ccc,asmt_stdnt,knn,kmeans,fscore,0.006323110970597534
ccc,asmt_stdnt,knn,kmeans,precision,0.14150943396226415
ccc,asmt_stdnt,knn,kmeans,recall,0.03816793893129771
ccc,asmt_stdnt,nb,kmeans,accuracy,0.2864996299820277
ccc,asmt_stdnt,nb,kmeans,fscore,0.1183608514024269
ccc,asmt_stdnt,nb,kmeans,precision,0.08318188172794631
ccc,asmt_stdnt,nb,kmeans,recall,0.7569974554707379
ccc,asmt_stdnt,nn,kmeans,accuracy,0.8947034570250555
ccc,asmt_stdnt,nn,kmeans,fscore,0.0082122552116235
ccc,asmt_stdnt,nn,kmeans,precision,0.13541666666666666
ccc,asmt_stdnt,nn,kmeans,recall,0.04961832061068702
ccc,asmt_stdnt,rf,kmeans,accuracy,0.8805370546569404
ccc,asmt_stdnt,rf,kmeans,fscore,0.010934707181158658
ccc,asmt_stdnt,rf,kmeans,precision,0.11607142857142858
ccc,asmt_stdnt,rf,kmeans,recall,0.06615776081424936
ccc,asmt_stdnt,svm,kmeans,accuracy,0.9169045353631462
ccc,asmt_stdnt,svm,kmeans,fscore,0.0
ccc,asmt_stdnt,svm,kmeans,precision,0.0
ccc,asmt_stdnt,svm,kmeans,recall,0.0
ccc,asmt_abd,dt,kmeans,accuracy,0.6972195792367057
ccc,asmt_abd,dt,kmeans,fscore,0.05270200720535255
ccc,asmt_abd,dt,kmeans,precision,0.09884169884169884
ccc,asmt_abd,dt,kmeans,recall,0.3256997455470738
ccc,asmt_abd,knn,kmeans,accuracy,0.8897346442541495
ccc,asmt_abd,knn,kmeans,fscore,0.007373077733305245
ccc,asmt_abd,knn,kmeans,precision,0.10703363914373089
ccc,asmt_abd,knn,kmeans,recall,0.044529262086514
ccc,asmt_abd,nb,kmeans,accuracy,0.4329210275927688
ccc,asmt_abd,nb,kmeans,fscore,0.10763228968690607
ccc,asmt_abd,nb,kmeans,precision,0.0951538733639901
ccc,asmt_abd,nb,kmeans,recall,0.6844783715012722
ccc,asmt_abd,nn,kmeans,accuracy,0.9005180251612221
ccc,asmt_abd,nn,kmeans,fscore,0.0056925996204933585
ccc,asmt_abd,nn,kmeans,precision,0.1291866028708134
ccc,asmt_abd,nn,kmeans,recall,0.03435114503816794
ccc,asmt_abd,rf,kmeans,accuracy,0.8998837086372766
ccc,asmt_abd,rf,kmeans,fscore,0.00884117461319861
ccc,asmt_abd,rf,kmeans,precision,0.17142857142857143
ccc,asmt_abd,rf,kmeans,recall,0.05343511450381679
ccc,asmt_abd,svm,kmeans,accuracy,0.9169045353631462
ccc,asmt_abd,svm,kmeans,fscore,0.0
ccc,asmt_abd,svm,kmeans,precision,0.0
ccc,asmt_abd,svm,kmeans,recall,0.0
ccc,asmt_abi,dt,kmeans,accuracy,0.7524051168199598
ccc,asmt_abi,dt,kmeans,fscore,0.05029372359064207
ccc,asmt_abi,dt,kmeans,precision,0.11937377690802348
ccc,asmt_abi,dt,kmeans,recall,0.3104325699745547
ccc,asmt_abi,knn,kmeans,accuracy,0.8823342848081193
ccc,asmt_abi,knn,kmeans,fscore,0.01218871493117579
ccc,asmt_abi,knn,kmeans,precision,0.1309255079006772
ccc,asmt_abi,knn,kmeans,recall,0.0737913486005089
ccc,asmt_abi,nb,kmeans,accuracy,0.6095781795115762
ccc,asmt_abi,nb,kmeans,fscore,0.07214918985019872
ccc,asmt_abi,nb,kmeans,precision,0.0979253112033195
ccc,asmt_abi,nb,kmeans,recall,0.45038167938931295
ccc,asmt_abi,nn,kmeans,accuracy,0.8986150755893858
ccc,asmt_abi,nn,kmeans,fscore,0.007373077733305245
ccc,asmt_abi,nn,kmeans,precision,0.1440329218106996
ccc,asmt_abi,nn,kmeans,recall,0.044529262086514
ccc,asmt_abi,rf,kmeans,accuracy,0.9013637805264827
ccc,asmt_abi,rf,kmeans,fscore,0.010934707181158658
ccc,asmt_abi,rf,kmeans,precision,0.20717131474103587
ccc,asmt_abi,rf,kmeans,recall,0.06615776081424936
ccc,asmt_abi,svm,kmeans,accuracy,0.9169045353631462
ccc,asmt_abi,svm,kmeans,fscore,0.0
ccc,asmt_abi,svm,kmeans,precision,0.0
ccc,asmt_abi,svm,kmeans,recall,0.0
ccc,stdnt_abd,dt,kmeans,accuracy,0.7975473094407443
ccc,stdnt_abd,dt,kmeans,fscore,0.035921926910299
