module,attributes,classifier,technique,metric,score
ccc,asmt,dt,pca,accuracy,0.9169045353631462
ccc,asmt,dt,pca,fscore,0.0
ccc,asmt,dt,pca,precision,0.0
ccc,asmt,dt,pca,recall,0.0
ccc,asmt,knn,pca,accuracy,0.9169045353631462
ccc,asmt,knn,pca,fscore,0.0
ccc,asmt,knn,pca,precision,0.0
ccc,asmt,knn,pca,recall,0.0
ccc,asmt,nb,pca,accuracy,0.9169045353631462
ccc,asmt,nb,pca,fscore,0.0
ccc,asmt,nb,pca,precision,0.0
ccc,asmt,nb,pca,recall,0.0
ccc,asmt,nn,pca,accuracy,0.9169045353631462
ccc,asmt,nn,pca,fscore,0.0
ccc,asmt,nn,pca,precision,0.0
ccc,asmt,nn,pca,recall,0.0
ccc,asmt,rf,pca,accuracy,0.9169045353631462
ccc,asmt,rf,pca,fscore,0.0
ccc,asmt,rf,pca,precision,0.0
ccc,asmt,rf,pca,recall,0.0
ccc,asmt,svm,pca,accuracy,0.9169045353631462
ccc,asmt,svm,pca,fscore,0.0
ccc,asmt,svm,pca,precision,0.0
ccc,asmt,svm,pca,recall,0.0
ccc,stdnt,dt,pca,accuracy,0.8228142509779046
ccc,stdnt,dt,pca,fscore,0.02505480739116818
ccc,stdnt,dt,pca,precision,0.10619469026548672
ccc,stdnt,dt,pca,recall,0.15267175572519084
ccc,stdnt,knn,pca,accuracy,0.8775769108785284
ccc,stdnt,knn,pca,fscore,0.011770888071466106
ccc,stdnt,knn,pca,precision,0.11570247933884298
ccc,stdnt,knn,pca,recall,0.07124681933842239
ccc,stdnt,nb,pca,accuracy,0.9169045353631462
ccc,stdnt,nb,pca,fscore,0.0
ccc,stdnt,nb,pca,precision,0.0
ccc,stdnt,nb,pca,recall,0.0
ccc,stdnt,nn,pca,accuracy,0.9138386721640765
ccc,stdnt,nn,pca,fscore,0.002955769027763116
ccc,stdnt,nn,pca,precision,0.24561403508771928
ccc,stdnt,nn,pca,recall,0.017811704834605598
ccc,stdnt,rf,pca,accuracy,0.8849772703245586
ccc,stdnt,rf,pca,fscore,0.00863157894736842
ccc,stdnt,rf,pca,precision,0.10677083333333333
ccc,stdnt,rf,pca,recall,0.05216284987277354
ccc,stdnt,svm,pca,accuracy,0.9169045353631462
ccc,stdnt,svm,pca,fscore,0.0
ccc,stdnt,svm,pca,precision,0.0
ccc,stdnt,svm,pca,recall,0.0
ccc,abd,dt,pca,accuracy,0.8121365894914896
ccc,abd,dt,pca,fscore,0.03224464322862492
ccc,abd,dt,pca,precision,0.1191391237509608
ccc,abd,dt,pca,recall,0.19720101781170485
ccc,abd,knn,pca,accuracy,0.8974521619621525
ccc,abd,knn,pca,fscore,0.007373077733305245
ccc,abd,knn,pca,precision,0.1377952755905512
ccc,abd,knn,pca,recall,0.044529262086514
ccc,abd,nb,pca,accuracy,0.3693836557775663
ccc,abd,nb,pca,fscore,0.13210900473933648
ccc,abd,nb,pca,precision,0.1026545956728556
ccc,abd,nb,pca,recall,0.851145038167939
ccc,abd,nn,pca,accuracy,0.9139443915847341
ccc,abd,nn,pca,fscore,0.0016900813351642548
ccc,abd,nn,pca,precision,0.18181818181818182
ccc,abd,nn,pca,recall,0.010178117048346057
ccc,abd,rf,pca,accuracy,0.9124643196955281
ccc,abd,rf,pca,fscore,0.0016900813351642548
ccc,abd,rf,pca,precision,0.13793103448275862
ccc,abd,rf,pca,recall,0.010178117048346057
ccc,abd,svm,pca,accuracy,0.9169045353631462
ccc,abd,svm,pca,fscore,0.0
ccc,abd,svm,pca,precision,0.0
ccc,abd,svm,pca,recall,0.0
ccc,abi,dt,pca,accuracy,0.8054762659900624
