module,attributes,classifier,technique,metric,score
ccc,asmt,dt,smote,accuracy,0.7621313035204567
ccc,asmt,dt,smote,fscore,0.03367633302151544
ccc,asmt,dt,smote,precision,0.20610687022900764
ccc,asmt,dt,smote,recall,0.09060402684563758
ccc,asmt,knn,smote,accuracy,0.2983402050956761
ccc,asmt,knn,smote,fscore,0.11573705179282869
ccc,asmt,knn,smote,precision,0.7391857506361323
ccc,asmt,knn,smote,recall,0.08284614287751318
ccc,asmt,nb,smote,accuracy,0.4384184374669627
ccc,asmt,nb,smote,fscore,0.0894768733589174
ccc,asmt,nb,smote,precision,0.5636132315521628
ccc,asmt,nb,smote,recall,0.08185513673318551
ccc,asmt,nn,smote,accuracy,0.7621313035204567
ccc,asmt,nn,smote,fscore,0.03367633302151544
ccc,asmt,nn,smote,precision,0.20610687022900764
ccc,asmt,nn,smote,recall,0.09060402684563758
ccc,asmt,rf,smote,accuracy,0.7621313035204567
ccc,asmt,rf,smote,fscore,0.03367633302151544
ccc,asmt,rf,smote,precision,0.20610687022900764
ccc,asmt,rf,smote,recall,0.09060402684563758
ccc,asmt,svm,smote,accuracy,0.7621313035204567
ccc,asmt,svm,smote,fscore,0.03367633302151544
ccc,asmt,svm,smote,precision,0.20610687022900764
ccc,asmt,svm,smote,recall,0.09060402684563758
ccc,stdnt,dt,smote,accuracy,0.7757691087852838
ccc,stdnt,dt,smote,fscore,0.03836582330982995
ccc,stdnt,dt,smote,precision,0.23536895674300254
ccc,stdnt,dt,smote,recall,0.10850439882697947
ccc,stdnt,knn,smote,accuracy,0.6808330690347817
ccc,stdnt,knn,smote,fscore,0.06326781326781326
ccc,stdnt,knn,smote,precision,0.3931297709923664
ccc,stdnt,knn,smote,recall,0.10838302350052613
ccc,stdnt,nb,smote,accuracy,0.4727772491806745
ccc,stdnt,nb,smote,fscore,0.09024833434282253
ccc,stdnt,nb,smote,precision,0.5687022900763359
ccc,stdnt,nb,smote,recall,0.08773307163886163
ccc,stdnt,nn,smote,accuracy,0.7217464848292632
ccc,stdnt,nn,smote,fscore,0.05089635277148156
ccc,stdnt,nn,smote,precision,0.3142493638676845
ccc,stdnt,nn,smote,recall,0.10555555555555556
ccc,stdnt,rf,smote,accuracy,0.7996616978538957
ccc,stdnt,rf,smote,fscore,0.032039945906584835
ccc,stdnt,rf,smote,precision,0.19592875318066158
ccc,stdnt,rf,smote,recall,0.1086803105151729
ccc,stdnt,svm,smote,accuracy,0.6094724600909187
ccc,stdnt,svm,smote,fscore,0.07489569553271598
ccc,stdnt,svm,smote,precision,0.4681933842239186
ccc,stdnt,svm,smote,recall,0.10098792535675083
ccc,abd,dt,smote,accuracy,0.7654086055608416
ccc,abd,dt,smote,fscore,0.041817617223889866
ccc,abd,dt,smote,precision,0.25699745547073793
ccc,abd,dt,smote,recall,0.10996189439303211
