module,attributes,classifier,technique,metric,score
ddd,asmt,ae,base,accuracy,0.9348480288895576
ddd,asmt,ae,base,fscore,0.0
ddd,asmt,ae,base,precision,0.0
ddd,asmt,ae,base,recall,0.0
ddd,stdnt,ae,base,accuracy,0.9348480288895576
ddd,stdnt,ae,base,fscore,0.0
ddd,stdnt,ae,base,precision,0.0
ddd,stdnt,ae,base,recall,0.0
ddd,abd,ae,base,accuracy,0.9348480288895576
ddd,abd,ae,base,fscore,0.0
ddd,abd,ae,base,precision,0.0
ddd,abd,ae,base,recall,0.0
ddd,abi,ae,base,accuracy,0.9348480288895576
ddd,abi,ae,base,fscore,0.0
ddd,abi,ae,base,precision,0.0
ddd,abi,ae,base,recall,0.0
ddd,asmt_stdnt,ae,base,accuracy,0.9348480288895576
ddd,asmt_stdnt,ae,base,fscore,0.0
ddd,asmt_stdnt,ae,base,precision,0.0
ddd,asmt_stdnt,ae,base,recall,0.0
ddd,asmt_abd,ae,base,accuracy,0.9348480288895576
ddd,asmt_abd,ae,base,fscore,0.0
ddd,asmt_abd,ae,base,precision,0.0
ddd,asmt_abd,ae,base,recall,0.0
ddd,asmt_abi,ae,base,accuracy,0.9348480288895576
ddd,asmt_abi,ae,base,fscore,0.0
ddd,asmt_abi,ae,base,precision,0.0
ddd,asmt_abi,ae,base,recall,0.0
ddd,stdnt_abd,ae,base,accuracy,0.9348480288895576
ddd,stdnt_abd,ae,base,fscore,0.0
ddd,stdnt_abd,ae,base,precision,0.0
ddd,stdnt_abd,ae,base,recall,0.0
ddd,stdnt_abi,ae,base,accuracy,0.9348480288895576
ddd,stdnt_abi,ae,base,fscore,0.0
ddd,stdnt_abi,ae,base,precision,0.0
ddd,stdnt_abi,ae,base,recall,0.0
ddd,asmt_stdnt_abd,ae,base,accuracy,0.9348480288895576
ddd,asmt_stdnt_abd,ae,base,fscore,0.0
ddd,asmt_stdnt_abd,ae,base,precision,0.0
ddd,asmt_stdnt_abd,ae,base,recall,0.0
ddd,asmt_stdnt_abi,ae,base,accuracy,0.9348480288895576
ddd,asmt_stdnt_abi,ae,base,fscore,0.0
ddd,asmt_stdnt_abi,ae,base,precision,0.0
ddd,asmt_stdnt_abi,ae,base,recall,0.0
