module,attributes,classifier,technique,metric,score
ddd,asmt,ff,smote+kmeans,accuracy,0.5994583207944628
ddd,asmt,ff,smote+kmeans,fscore,0.09652012029213805
ddd,asmt,ff,smote+kmeans,precision,0.11608680675163624
ddd,asmt,ff,smote+kmeans,recall,0.7782909930715936
ddd,stdnt,ff,smote+kmeans,accuracy,0.34050556725850134
ddd,stdnt,ff,smote+kmeans,fscore,0.08500216107189165
ddd,stdnt,ff,smote+kmeans,precision,0.06497797356828194
ddd,stdnt,ff,smote+kmeans,recall,0.6812933025404158
ddd,abd,ff,smote+kmeans,accuracy,0.6384291303039422
ddd,abd,ff,smote+kmeans,fscore,0.08417411357739983
ddd,abd,ff,smote+kmeans,precision,0.11433046202036022
ddd,abd,ff,smote+kmeans,recall,0.674364896073903
ddd,abi,ff,smote+kmeans,accuracy,0.724646403851941
ddd,abi,ff,smote+kmeans,fscore,0.0716669084578558
ddd,abi,ff,smote+kmeans,precision,0.13061872025383395
ddd,abi,ff,smote+kmeans,recall,0.5704387990762124
ddd,asmt_stdnt,ff,smote+kmeans,accuracy,0.781673186879326
ddd,asmt_stdnt,ff,smote+kmeans,fscore,0.03605200945626478
ddd,asmt_stdnt,ff,smote+kmeans,precision,0.09667194928684628
ddd,asmt_stdnt,ff,smote+kmeans,recall,0.2817551963048499
ddd,asmt_abd,ff,smote+kmeans,accuracy,0.7520312970207643
ddd,asmt_abd,ff,smote+kmeans,fscore,0.06774240441924699
ddd,asmt_abd,ff,smote+kmeans,precision,0.1386079714455681
ddd,asmt_abd,ff,smote+kmeans,recall,0.5381062355658198
ddd,asmt_abi,ff,smote+kmeans,accuracy,0.7281071321095396
ddd,asmt_abi,ff,smote+kmeans,fscore,0.07919075144508671
ddd,asmt_abi,ff,smote+kmeans,precision,0.1425598335067638
ddd,asmt_abi,ff,smote+kmeans,recall,0.6327944572748267
ddd,stdnt_abd,ff,smote+kmeans,accuracy,0.8317785133915137
ddd,stdnt_abd,ff,smote+kmeans,fscore,0.033145901154187626
ddd,stdnt_abd,ff,smote+kmeans,precision,0.12321232123212321
ddd,stdnt_abd,ff,smote+kmeans,recall,0.2586605080831409
ddd,stdnt_abi,ff,smote+kmeans,accuracy,0.7861871802588023
ddd,stdnt_abi,ff,smote+kmeans,fscore,0.04385577630610743
ddd,stdnt_abi,ff,smote+kmeans,precision,0.11586314152410575
ddd,stdnt_abi,ff,smote+kmeans,recall,0.3441108545034642
ddd,asmt_stdnt_abd,ff,smote+kmeans,accuracy,0.8557026783027385
ddd,asmt_stdnt_abd,ff,smote+kmeans,fscore,0.028478196380895878
ddd,asmt_stdnt_abd,ff,smote+kmeans,precision,0.13370473537604458
ddd,asmt_stdnt_abd,ff,smote+kmeans,recall,0.22170900692840648
ddd,asmt_stdnt_abi,ff,smote+kmeans,accuracy,0.8563045440866687
ddd,asmt_stdnt_abi,ff,smote+kmeans,fscore,0.03547147502216967
ddd,asmt_stdnt_abi,ff,smote+kmeans,precision,0.15748031496062992
ddd,asmt_stdnt_abi,ff,smote+kmeans,recall,0.27713625866050806
