module,attributes,classifier,technique,metric,score
ddd,asmt,dt,pca,accuracy,0.9348480288895576
ddd,asmt,dt,pca,fscore,0.0
ddd,asmt,dt,pca,precision,0.0
ddd,asmt,dt,pca,recall,0.0
ddd,asmt,knn,pca,accuracy,0.9348480288895576
ddd,asmt,knn,pca,fscore,0.0
ddd,asmt,knn,pca,precision,0.0
ddd,asmt,knn,pca,recall,0.0
ddd,asmt,nb,pca,accuracy,0.9348480288895576
ddd,asmt,nb,pca,fscore,0.0
ddd,asmt,nb,pca,precision,0.0
ddd,asmt,nb,pca,recall,0.0
ddd,asmt,nn,pca,accuracy,0.9348480288895576
ddd,asmt,nn,pca,fscore,0.0
ddd,asmt,nn,pca,precision,0.0
ddd,asmt,nn,pca,recall,0.0
ddd,asmt,rf,pca,accuracy,0.9348480288895576
ddd,asmt,rf,pca,fscore,0.0
ddd,asmt,rf,pca,precision,0.0
ddd,asmt,rf,pca,recall,0.0
ddd,asmt,svm,pca,accuracy,0.9348480288895576
ddd,asmt,svm,pca,fscore,0.0
ddd,asmt,svm,pca,precision,0.0
ddd,asmt,svm,pca,recall,0.0
ddd,stdnt,dt,pca,accuracy,0.8958772193800782
ddd,stdnt,dt,pca,fscore,0.004204204204204204
ddd,stdnt,dt,pca,precision,0.04878048780487805
ddd,stdnt,dt,pca,recall,0.03233256351039261
ddd,stdnt,knn,pca,accuracy,0.9101715317484201
ddd,stdnt,knn,pca,fscore,0.004803362353647553
ddd,stdnt,knn,pca,precision,0.08163265306122448
ddd,stdnt,knn,pca,recall,0.03695150115473441
ddd,stdnt,nb,pca,accuracy,0.9231116461029191
ddd,stdnt,nb,pca,fscore,0.0021043138433789266
ddd,stdnt,nb,pca,precision,0.07608695652173914
ddd,stdnt,nb,pca,recall,0.016166281755196306
ddd,stdnt,nn,pca,accuracy,0.9331928979837496
ddd,stdnt,nn,pca,fscore,0.0012030075187969924
ddd,stdnt,nn,pca,precision,0.21052631578947367
ddd,stdnt,nn,pca,recall,0.009237875288683603
ddd,stdnt,rf,pca,accuracy,0.9198013842913031
ddd,stdnt,rf,pca,fscore,0.0021043138433789266
ddd,stdnt,rf,pca,precision,0.06140350877192982
ddd,stdnt,rf,pca,recall,0.016166281755196306
ddd,stdnt,svm,pca,accuracy,0.9348480288895576
ddd,stdnt,svm,pca,fscore,0.0
ddd,stdnt,svm,pca,precision,0.0
ddd,stdnt,svm,pca,recall,0.0
ddd,abd,dt,pca,accuracy,0.7952151670177551
ddd,abd,dt,pca,fscore,0.030814814814814816
ddd,abd,dt,pca,precision,0.09154929577464789
ddd,abd,dt,pca,recall,0.24018475750577367
ddd,abd,knn,pca,accuracy,0.9097201324104724
ddd,abd,knn,pca,fscore,0.011072871464910969
ddd,abd,knn,pca,precision,0.15352697095435686
ddd,abd,knn,pca,recall,0.08545034642032333
ddd,abd,nb,pca,accuracy,0.2923563045440867
ddd,abd,nb,pca,fscore,0.11300397501419648
ddd,abd,nb,pca,precision,0.07856296881168574
ddd,abd,nb,pca,recall,0.9191685912240185
ddd,abd,nn,pca,accuracy,0.9232621125489016
ddd,abd,nn,pca,fscore,0.0030048076923076925
ddd,abd,nn,pca,precision,0.10309278350515463
ddd,abd,nn,pca,recall,0.023094688221709007
ddd,abd,rf,pca,accuracy,0.9288293710502558
ddd,abd,rf,pca,fscore,0.0018039687312086591
ddd,abd,rf,pca,precision,0.11538461538461539
ddd,abd,rf,pca,recall,0.013856812933025405
ddd,abd,svm,pca,accuracy,0.9348480288895576
ddd,abd,svm,pca,fscore,0.0
ddd,abd,svm,pca,precision,0.0
ddd,abd,svm,pca,recall,0.0
ddd,abi,dt,pca,accuracy,0.8335841107433043
ddd,abi,dt,pca,fscore,0.021140390055084116
ddd,abi,dt,pca,precision,0.08711656441717791
ddd,abi,dt,pca,recall,0.16397228637413394
ddd,abi,knn,pca,accuracy,0.9094191995185074
ddd,abi,knn,pca,fscore,0.009881718820182663
ddd,abi,knn,pca,precision,0.14042553191489363
ddd,abi,knn,pca,recall,0.07621247113163972
ddd,abi,nb,pca,accuracy,0.24676497141137527
ddd,abi,nb,pca,fscore,0.111663588577923
ddd,abi,nb,pca,precision,0.07333457734651987
ddd,abi,nb,pca,recall,0.9076212471131639
ddd,abi,nn,pca,accuracy,0.9330424315377671
ddd,abi,nn,pca,fscore,0.00270473328324568
ddd,abi,nn,pca,precision,0.3
ddd,abi,nn,pca,recall,0.020785219399538105
ddd,abi,rf,pca,accuracy,0.9336442973216973
ddd,abi,rf,pca,fscore,0.0018039687312086591
ddd,abi,rf,pca,precision,0.3
ddd,abi,rf,pca,recall,0.013856812933025405
ddd,abi,svm,pca,accuracy,0.9348480288895576
ddd,abi,svm,pca,fscore,0.0
ddd,abi,svm,pca,precision,0.0
ddd,abi,svm,pca,recall,0.0
ddd,asmt_stdnt,dt,pca,accuracy,0.8328317785133915
ddd,asmt_stdnt,dt,pca,fscore,0.023788284269997028
ddd,asmt_stdnt,dt,pca,precision,0.0954653937947494
ddd,asmt_stdnt,dt,pca,recall,0.18475750577367206
ddd,asmt_stdnt,knn,pca,accuracy,0.9175443876015649
ddd,asmt_stdnt,knn,pca,fscore,0.0057014253563390845
ddd,asmt_stdnt,knn,pca,precision,0.12418300653594772
ddd,asmt_stdnt,knn,pca,recall,0.04387990762124711
ddd,asmt_stdnt,nb,pca,accuracy,0.9280770388203431
ddd,asmt_stdnt,nb,pca,fscore,0.004204204204204204
ddd,asmt_stdnt,nb,pca,precision,0.1917808219178082
ddd,asmt_stdnt,nb,pca,recall,0.03233256351039261
ddd,asmt_stdnt,nn,pca,accuracy,0.9322900993078543
ddd,asmt_stdnt,nn,pca,fscore,0.0024045686804929365
ddd,asmt_stdnt,nn,pca,precision,0.24242424242424243
ddd,asmt_stdnt,nn,pca,recall,0.018475750577367205
ddd,asmt_stdnt,rf,pca,accuracy,0.9243153776707794
ddd,asmt_stdnt,rf,pca,fscore,0.00270473328324568
ddd,asmt_stdnt,rf,pca,precision,0.10227272727272728
ddd,asmt_stdnt,rf,pca,recall,0.020785219399538105
ddd,asmt_stdnt,svm,pca,accuracy,0.9348480288895576
ddd,asmt_stdnt,svm,pca,fscore,0.0
ddd,asmt_stdnt,svm,pca,precision,0.0
ddd,asmt_stdnt,svm,pca,recall,0.0
ddd,asmt_abd,dt,pca,accuracy,0.7953656334637376
ddd,asmt_abd,dt,pca,fscore,0.03634214802777368
ddd,asmt_abd,dt,pca,precision,0.10485933503836317
ddd,asmt_abd,dt,pca,recall,0.2840646651270208
ddd,asmt_abd,knn,pca,accuracy,0.899939813421607
ddd,asmt_abd,knn,pca,fscore,0.022612317762570663
ddd,asmt_abd,knn,pca,precision,0.19791666666666666
ddd,asmt_abd,knn,pca,recall,0.17551963048498845
ddd,asmt_abd,nb,pca,accuracy,0.3229009930785435
ddd,asmt_abd,nb,pca,fscore,0.11005260912839471
ddd,asmt_abd,nb,pca,precision,0.07994216071059698
ddd,asmt_abd,nb,pca,recall,0.8937644341801386
ddd,asmt_abd,nn,pca,accuracy,0.9193499849533554
ddd,asmt_abd,nn,pca,fscore,0.01434120107559008
ddd,asmt_abd,nn,pca,precision,0.24120603015075376
ddd,asmt_abd,nn,pca,recall,0.11085450346420324
ddd,asmt_abd,rf,pca,accuracy,0.9303340355100812
ddd,asmt_abd,rf,pca,fscore,0.008689138576779026
ddd,asmt_abd,rf,pca,precision,0.32954545454545453
ddd,asmt_abd,rf,pca,recall,0.06697459584295612
ddd,asmt_abd,svm,pca,accuracy,0.9348480288895576
ddd,asmt_abd,svm,pca,fscore,0.0
ddd,asmt_abd,svm,pca,precision,0.0
ddd,asmt_abd,svm,pca,recall,0.0
ddd,asmt_abi,dt,pca,accuracy,0.8219981944026482
ddd,asmt_abi,dt,pca,fscore,0.03256364712847839
ddd,asmt_abi,dt,pca,precision,0.1134020618556701
ddd,asmt_abi,dt,pca,recall,0.2540415704387991
ddd,asmt_abi,knn,pca,accuracy,0.8948239542582004
ddd,asmt_abi,knn,pca,fscore,0.028185729120308558
ddd,asmt_abi,knn,pca,precision,0.20833333333333334
ddd,asmt_abi,knn,pca,recall,0.21939953810623555
ddd,asmt_abi,nb,pca,accuracy,0.26060788444176947
ddd,asmt_abi,nb,pca,fscore,0.10924608819345662
ddd,asmt_abi,nb,pca,precision,0.07315679176986092
ddd,asmt_abi,nb,pca,recall,0.8868360277136259
ddd,asmt_abi,nn,pca,accuracy,0.9110743304243154
ddd,asmt_abi,nn,pca,fscore,0.026429101707498143
ddd,asmt_abi,nn,pca,precision,0.2648809523809524
ddd,asmt_abi,nn,pca,recall,0.20554272517321015
ddd,asmt_abi,rf,pca,accuracy,0.9295817032801685
ddd,asmt_abi,rf,pca,fscore,0.013747758517632994
ddd,asmt_abi,rf,pca,precision,0.36220472440944884
ddd,asmt_abi,rf,pca,recall,0.10623556581986143
ddd,asmt_abi,svm,pca,accuracy,0.9348480288895576
