module,attributes,classifier,technique,metric,score
ddd,asmt,dt,smote,accuracy,0.7405958471260908
ddd,asmt,dt,smote,fscore,0.07863544376987569
ddd,asmt,dt,smote,precision,0.628175519630485
ddd,asmt,dt,smote,recall,0.14822888283378746
ddd,asmt,knn,smote,accuracy,0.5994583207944628
ddd,asmt,knn,smote,fscore,0.09652012029213805
ddd,asmt,knn,smote,precision,0.7782909930715936
ddd,asmt,knn,smote,recall,0.11608680675163624
ddd,asmt,nb,smote,accuracy,0.7405958471260908
ddd,asmt,nb,smote,fscore,0.07863544376987569
ddd,asmt,nb,smote,precision,0.628175519630485
ddd,asmt,nb,smote,recall,0.14822888283378746
ddd,asmt,nn,smote,accuracy,0.5994583207944628
ddd,asmt,nn,smote,fscore,0.09652012029213805
ddd,asmt,nn,smote,precision,0.7782909930715936
ddd,asmt,nn,smote,recall,0.11608680675163624
ddd,asmt,rf,smote,accuracy,0.5994583207944628
ddd,asmt,rf,smote,fscore,0.09652012029213805
ddd,asmt,rf,smote,precision,0.7782909930715936
ddd,asmt,rf,smote,recall,0.11608680675163624
ddd,asmt,svm,smote,accuracy,0.5994583207944628
ddd,asmt,svm,smote,fscore,0.09652012029213805
ddd,asmt,svm,smote,precision,0.7782909930715936
ddd,asmt,svm,smote,recall,0.11608680675163624
ddd,stdnt,dt,smote,accuracy,0.7910021065302437
ddd,stdnt,dt,smote,fscore,0.023200475907198096
ddd,stdnt,dt,smote,precision,0.18013856812933027
ddd,stdnt,dt,smote,recall,0.07014388489208633
ddd,stdnt,knn,smote,accuracy,0.7529340956966597
ddd,stdnt,knn,smote,fscore,0.024962852897474
ddd,stdnt,knn,smote,precision,0.19399538106235567
ddd,stdnt,knn,smote,recall,0.06100217864923747
ddd,stdnt,nb,smote,accuracy,0.531146554318387
ddd,stdnt,nb,smote,fscore,0.06830402557767766
ddd,stdnt,nb,smote,precision,0.5427251732101617
ddd,stdnt,nb,smote,recall,0.07453219156359023
ddd,stdnt,nn,smote,accuracy,0.7046343665362624
ddd,stdnt,nn,smote,fscore,0.03372781065088758
ddd,stdnt,nn,smote,precision,0.2632794457274827
ddd,stdnt,nn,smote,recall,0.06484641638225255
ddd,stdnt,rf,smote,accuracy,0.8174842010231719
ddd,stdnt,rf,smote,fscore,0.01996126917920453
ddd,stdnt,rf,smote,precision,0.15473441108545036
ddd,stdnt,rf,smote,recall,0.07330415754923414
ddd,stdnt,svm,smote,accuracy,0.6373758651820643
ddd,stdnt,svm,smote,fscore,0.0515977719143946
ddd,stdnt,svm,smote,precision,0.4064665127020785
ddd,stdnt,svm,smote,recall,0.07556891369686561
ddd,abd,dt,smote,accuracy,0.799879626843214
ddd,abd,dt,smote,fscore,0.03343689894954875
ddd,abd,dt,smote,precision,0.26096997690531176
ddd,abd,dt,smote,recall,0.1006233303650935
ddd,abd,knn,smote,accuracy,0.5830574781823653
ddd,abd,knn,smote,fscore,0.07946828492992342
ddd,abd,knn,smote,precision,0.6351039260969977
ddd,abd,knn,smote,recall,0.09522160664819945
ddd,abd,nb,smote,accuracy,0.3167318687932591
ddd,abd,nb,smote,fscore,0.11273604997870226
ddd,abd,nb,smote,precision,0.9168591224018475
ddd,abd,nb,smote,recall,0.08098735210118319
ddd,abd,nn,smote,accuracy,0.6614504965392718
ddd,abd,nn,smote,fscore,0.08445020896382764
ddd,abd,nn,smote,precision,0.6766743648960739
ddd,abd,nn,smote,recall,0.12193091968372867
ddd,abd,rf,smote,accuracy,0.9091182666265423
ddd,abd,rf,smote,fscore,0.022318107424490405
ddd,abd,rf,smote,precision,0.17321016166281755
ddd,abd,rf,smote,recall,0.2336448598130841
ddd,abd,svm,smote,accuracy,0.49879626843213964
ddd,abd,svm,smote,fscore,0.10574319509762006
ddd,abd,svm,smote,precision,0.8568129330254042
ddd,abd,svm,smote,recall,0.10192307692307692
ddd,abi,dt,smote,accuracy,0.8021366235329521
ddd,abi,dt,smote,fscore,0.027014991836128842
ddd,abi,dt,smote,precision,0.21016166281755197
ddd,abi,dt,smote,recall,0.08552631578947369
ddd,abi,knn,smote,accuracy,0.6009629852542883
ddd,abi,knn,smote,fscore,0.07082728592162554
ddd,abi,knn,smote,precision,0.5635103926096998
ddd,abi,knn,smote,recall,0.09013668267454747
ddd,abi,nb,smote,accuracy,0.23894071622028287
ddd,abi,nb,smote,fscore,0.11434245992339338
ddd,abi,nb,smote,precision,0.930715935334873
ddd,abi,nb,smote,recall,0.07420364573743325
ddd,abi,nn,smote,accuracy,0.686879325910322
ddd,abi,nn,smote,fscore,0.08002311136790409
ddd,abi,nn,smote,precision,0.6397228637413395
ddd,abi,nn,smote,recall,0.12579473206176203
ddd,abi,rf,smote,accuracy,0.9092687330725249
ddd,abi,rf,smote,fscore,0.016415460379047904
ddd,abi,rf,smote,precision,0.12702078521939955
ddd,abi,rf,smote,recall,0.19642857142857142
ddd,abi,svm,smote,accuracy,0.4875112849834487
ddd,abi,svm,smote,fscore,0.10574319509762006
ddd,abi,svm,smote,precision,0.8568129330254042
