module,attributes,classifier,technique,metric,score
eee,asmt,ae,base,accuracy,0.9853990914990266
eee,asmt,ae,base,fscore,0.0
eee,asmt,ae,base,precision,0.0
eee,asmt,ae,base,recall,0.0
eee,stdnt,ae,base,accuracy,0.9853990914990266
eee,stdnt,ae,base,fscore,0.0
eee,stdnt,ae,base,precision,0.0
eee,stdnt,ae,base,recall,0.0
eee,abd,ae,base,accuracy,0.9853990914990266
eee,abd,ae,base,fscore,0.0
eee,abd,ae,base,precision,0.0
eee,abd,ae,base,recall,0.0
eee,abi,ae,base,accuracy,0.9853990914990266
eee,abi,ae,base,fscore,0.0
eee,abi,ae,base,precision,0.0
eee,abi,ae,base,recall,0.0
eee,asmt_stdnt,ae,base,accuracy,0.9853990914990266
eee,asmt_stdnt,ae,base,fscore,0.0
eee,asmt_stdnt,ae,base,precision,0.0
eee,asmt_stdnt,ae,base,recall,0.0
eee,asmt_abd,ae,base,accuracy,0.9853990914990266
eee,asmt_abd,ae,base,fscore,0.0
eee,asmt_abd,ae,base,precision,0.0
eee,asmt_abd,ae,base,recall,0.0
eee,asmt_abi,ae,base,accuracy,0.9853990914990266
eee,asmt_abi,ae,base,fscore,0.0
eee,asmt_abi,ae,base,precision,0.0
eee,asmt_abi,ae,base,recall,0.0
eee,stdnt_abd,ae,base,accuracy,0.9853990914990266
eee,stdnt_abd,ae,base,fscore,0.0
eee,stdnt_abd,ae,base,precision,0.0
eee,stdnt_abd,ae,base,recall,0.0
eee,stdnt_abi,ae,base,accuracy,0.9853990914990266
eee,stdnt_abi,ae,base,fscore,0.0
eee,stdnt_abi,ae,base,precision,0.0
eee,stdnt_abi,ae,base,recall,0.0
eee,asmt_stdnt_abd,ae,base,accuracy,0.9853990914990266
eee,asmt_stdnt_abd,ae,base,fscore,0.0
eee,asmt_stdnt_abd,ae,base,precision,0.0
eee,asmt_stdnt_abd,ae,base,recall,0.0
eee,asmt_stdnt_abi,ae,base,accuracy,0.9853990914990266
eee,asmt_stdnt_abi,ae,base,fscore,0.0
eee,asmt_stdnt_abi,ae,base,precision,0.0
eee,asmt_stdnt_abi,ae,base,recall,0.0
