module,attributes,classifier,technique,metric,score
eee,asmt,dt,base,accuracy,0.9853990914990266
eee,asmt,dt,base,fscore,0.0
eee,asmt,dt,base,precision,0.0
eee,asmt,dt,base,recall,0.0
eee,asmt,knn,base,accuracy,0.9853990914990266
eee,asmt,knn,base,fscore,0.0
eee,asmt,knn,base,precision,0.0
eee,asmt,knn,base,recall,0.0
eee,asmt,nb,base,accuracy,0.9853990914990266
eee,asmt,nb,base,fscore,0.0
eee,asmt,nb,base,precision,0.0
eee,asmt,nb,base,recall,0.0
eee,asmt,nn,base,accuracy,0.9853990914990266
eee,asmt,nn,base,fscore,0.0
eee,asmt,nn,base,precision,0.0
eee,asmt,nn,base,recall,0.0
eee,asmt,rf,base,accuracy,0.9853990914990266
eee,asmt,rf,base,fscore,0.0
eee,asmt,rf,base,precision,0.0
eee,asmt,rf,base,recall,0.0
eee,asmt,svm,base,accuracy,0.9853990914990266
eee,asmt,svm,base,fscore,0.0
eee,asmt,svm,base,precision,0.0
eee,asmt,svm,base,recall,0.0
eee,stdnt,dt,base,accuracy,0.9798831927319922
eee,stdnt,dt,base,fscore,0.0
eee,stdnt,dt,base,precision,0.0
eee,stdnt,dt,base,recall,0.0
eee,stdnt,knn,base,accuracy,0.9853990914990266
eee,stdnt,knn,base,fscore,0.0
eee,stdnt,knn,base,precision,0.0
eee,stdnt,knn,base,recall,0.0
eee,stdnt,nb,base,accuracy,0.15704088254380272
eee,stdnt,nb,base,fscore,0.02752
eee,stdnt,nb,base,precision,0.0162940507768094
eee,stdnt,nb,base,recall,0.9555555555555556
eee,stdnt,nn,base,accuracy,0.9853990914990266
eee,stdnt,nn,base,fscore,0.0
eee,stdnt,nn,base,precision,0.0
eee,stdnt,nn,base,recall,0.0
eee,stdnt,rf,base,accuracy,0.9850746268656716
eee,stdnt,rf,base,fscore,0.0
eee,stdnt,rf,base,precision,0.0
eee,stdnt,rf,base,recall,0.0
eee,stdnt,svm,base,accuracy,0.9853990914990266
eee,stdnt,svm,base,fscore,0.0
eee,stdnt,svm,base,precision,0.0
eee,stdnt,svm,base,recall,0.0
eee,abd,dt,base,accuracy,0.9574951330304997
eee,abd,dt,base,fscore,0.0019448946515397082
eee,abd,dt,base,precision,0.03260869565217391
eee,abd,dt,base,recall,0.06666666666666667
eee,abd,knn,base,accuracy,0.9847501622323167
eee,abd,knn,base,fscore,0.0
eee,abd,knn,base,precision,0.0
eee,abd,knn,base,recall,0.0
eee,abd,nb,base,accuracy,0.5921479558728099
eee,abd,nb,base,fscore,0.023725553061878808
eee,abd,nb,base,precision,0.028771384136858476
eee,abd,nb,base,recall,0.8222222222222222
eee,abd,nn,base,accuracy,0.982154445165477
eee,abd,nn,base,fscore,0.0
eee,abd,nn,base,precision,0.0
eee,abd,nn,base,recall,0.0
eee,abd,rf,base,accuracy,0.9850746268656716
eee,abd,rf,base,fscore,0.0
eee,abd,rf,base,precision,0.0
eee,abd,rf,base,recall,0.0
eee,abd,svm,base,accuracy,0.9853990914990266
eee,abd,svm,base,fscore,0.0
eee,abd,svm,base,precision,0.0
eee,abd,svm,base,recall,0.0
eee,abi,dt,base,accuracy,0.9620376378974692
eee,abi,dt,base,fscore,0.0019448946515397082
eee,abi,dt,base,precision,0.038461538461538464
eee,abi,dt,base,recall,0.06666666666666667
eee,abi,knn,base,accuracy,0.9847501622323167
eee,abi,knn,base,fscore,0.0
eee,abi,knn,base,precision,0.0
eee,abi,knn,base,recall,0.0
eee,abi,nb,base,accuracy,0.6917585983127839
eee,abi,nb,base,fscore,0.02245749117741418
eee,abi,nb,base,precision,0.035897435897435895
eee,abi,nb,base,recall,0.7777777777777778
eee,abi,nn,base,accuracy,0.9831278390655419
eee,abi,nn,base,fscore,0.0
eee,abi,nn,base,precision,0.0
eee,abi,nn,base,recall,0.0
eee,abi,rf,base,accuracy,0.9853990914990266
eee,abi,rf,base,fscore,0.0
eee,abi,rf,base,precision,0.0
eee,abi,rf,base,recall,0.0
eee,abi,svm,base,accuracy,0.9853990914990266
eee,abi,svm,base,fscore,0.0
eee,abi,svm,base,precision,0.0
eee,abi,svm,base,recall,0.0
eee,asmt_stdnt,dt,base,accuracy,0.9649578195976638
eee,asmt_stdnt,dt,base,fscore,0.0
eee,asmt_stdnt,dt,base,precision,0.0
eee,asmt_stdnt,dt,base,recall,0.0
eee,asmt_stdnt,knn,base,accuracy,0.9837767683322518
eee,asmt_stdnt,knn,base,fscore,0.0
eee,asmt_stdnt,knn,base,precision,0.0
eee,asmt_stdnt,knn,base,recall,0.0
eee,asmt_stdnt,nb,base,accuracy,0.2501622323166775
eee,asmt_stdnt,nb,base,fscore,0.026256804354787062
eee,asmt_stdnt,nb,base,precision,0.01746166950596252
eee,asmt_stdnt,nb,base,recall,0.9111111111111111
eee,asmt_stdnt,nn,base,accuracy,0.9798831927319922
eee,asmt_stdnt,nn,base,fscore,0.0
eee,asmt_stdnt,nn,base,precision,0.0
eee,asmt_stdnt,nn,base,recall,0.0
eee,asmt_stdnt,rf,base,accuracy,0.981505515898767
eee,asmt_stdnt,rf,base,fscore,0.0
eee,asmt_stdnt,rf,base,precision,0.0
eee,asmt_stdnt,rf,base,recall,0.0
eee,asmt_stdnt,svm,base,accuracy,0.9853990914990266
eee,asmt_stdnt,svm,base,fscore,0.0
eee,asmt_stdnt,svm,base,precision,0.0
eee,asmt_stdnt,svm,base,recall,0.0
eee,asmt_abd,dt,base,accuracy,0.95489941596366
eee,asmt_abd,dt,base,fscore,0.0019448946515397082
eee,asmt_abd,dt,base,precision,0.03
eee,asmt_abd,dt,base,recall,0.06666666666666667
eee,asmt_abd,knn,base,accuracy,0.9831278390655419
eee,asmt_abd,knn,base,fscore,0.0006487187804086928
eee,asmt_abd,knn,base,precision,0.1111111111111111
eee,asmt_abd,knn,base,recall,0.022222222222222223
eee,asmt_abd,nb,base,accuracy,0.6035042180402336
eee,asmt_abd,nb,base,fscore,0.023091725465041693
eee,asmt_abd,nb,base,precision,0.028823058446757407
eee,asmt_abd,nb,base,recall,0.8
eee,asmt_abd,nn,base,accuracy,0.981505515898767
eee,asmt_abd,nn,base,fscore,0.0
eee,asmt_abd,nn,base,precision,0.0
eee,asmt_abd,nn,base,recall,0.0
eee,asmt_abd,rf,base,accuracy,0.9853990914990266
eee,asmt_abd,rf,base,fscore,0.0
eee,asmt_abd,rf,base,precision,0.0
eee,asmt_abd,rf,base,recall,0.0
eee,asmt_abd,svm,base,accuracy,0.9853990914990266
eee,asmt_abd,svm,base,fscore,0.0
eee,asmt_abd,svm,base,precision,0.0
eee,asmt_abd,svm,base,recall,0.0
eee,asmt_abi,dt,base,accuracy,0.9523036988968202
eee,asmt_abi,dt,base,fscore,0.0019448946515397082
eee,asmt_abi,dt,base,precision,0.027777777777777776
eee,asmt_abi,dt,base,recall,0.06666666666666667
eee,asmt_abi,knn,base,accuracy,0.9844256975989617
eee,asmt_abi,knn,base,fscore,0.0
eee,asmt_abi,knn,base,precision,0.0
eee,asmt_abi,knn,base,recall,0.0
eee,asmt_abi,nb,base,accuracy,0.7047371836469825
eee,asmt_abi,nb,base,fscore,0.021822849807445442
eee,asmt_abi,nb,base,precision,0.03644158628081458
eee,asmt_abi,nb,base,recall,0.7555555555555555
eee,asmt_abi,nn,base,accuracy,0.9824789097988319
eee,asmt_abi,nn,base,fscore,0.0
eee,asmt_abi,nn,base,precision,0.0
eee,asmt_abi,nn,base,recall,0.0
eee,asmt_abi,rf,base,accuracy,0.9853990914990266
eee,asmt_abi,rf,base,fscore,0.0
eee,asmt_abi,rf,base,precision,0.0
eee,asmt_abi,rf,base,recall,0.0
eee,asmt_abi,svm,base,accuracy,0.9853990914990266
eee,asmt_abi,svm,base,fscore,0.0
eee,asmt_abi,svm,base,precision,0.0
eee,asmt_abi,svm,base,recall,0.0
eee,stdnt_abd,dt,base,accuracy,0.9659312134977287
eee,stdnt_abd,dt,base,fscore,0.0012970168612191958
eee,stdnt_abd,dt,base,precision,0.03125
eee,stdnt_abd,dt,base,recall,0.044444444444444446
eee,stdnt_abd,knn,base,accuracy,0.9850746268656716
eee,stdnt_abd,knn,base,fscore,0.0
eee,stdnt_abd,knn,base,precision,0.0
eee,stdnt_abd,knn,base,recall,0.0
eee,stdnt_abd,nb,base,accuracy,0.508760545100584
eee,stdnt_abd,nb,base,fscore,0.025624599615631006
eee,stdnt_abd,nb,base,precision,0.025823111684958037
eee,stdnt_abd,nb,base,recall,0.8888888888888888
eee,stdnt_abd,nn,base,accuracy,0.9763140817650876
eee,stdnt_abd,nn,base,fscore,0.0
eee,stdnt_abd,nn,base,precision,0.0
eee,stdnt_abd,nn,base,recall,0.0
eee,stdnt_abd,rf,base,accuracy,0.9853990914990266
eee,stdnt_abd,rf,base,fscore,0.0
eee,stdnt_abd,rf,base,precision,0.0
eee,stdnt_abd,rf,base,recall,0.0
eee,stdnt_abd,svm,base,accuracy,0.9853990914990266
eee,stdnt_abd,svm,base,fscore,0.0
eee,stdnt_abd,svm,base,precision,0.0
eee,stdnt_abd,svm,base,recall,0.0
eee,stdnt_abi,dt,base,accuracy,0.9519792342634653
eee,stdnt_abi,dt,base,fscore,0.002592352559948153
eee,stdnt_abi,dt,base,precision,0.036036036036036036
eee,stdnt_abi,dt,base,recall,0.08888888888888889
eee,stdnt_abi,knn,base,accuracy,0.9831278390655419
eee,stdnt_abi,knn,base,fscore,0.0
eee,stdnt_abi,knn,base,precision,0.0
eee,stdnt_abi,knn,base,recall,0.0
eee,stdnt_abi,nb,base,accuracy,0.490914990266061
eee,stdnt_abi,nb,base,fscore,0.026256804354787062
eee,stdnt_abi,nb,base,precision,0.025529265255292654
eee,stdnt_abi,nb,base,recall,0.9111111111111111
eee,stdnt_abi,nn,base,accuracy,0.9792342634652823
eee,stdnt_abi,nn,base,fscore,0.0
eee,stdnt_abi,nn,base,precision,0.0
eee,stdnt_abi,nn,base,recall,0.0
eee,stdnt_abi,rf,base,accuracy,0.9853990914990266
eee,stdnt_abi,rf,base,fscore,0.0
eee,stdnt_abi,rf,base,precision,0.0
eee,stdnt_abi,rf,base,recall,0.0
eee,stdnt_abi,svm,base,accuracy,0.9853990914990266
eee,stdnt_abi,svm,base,fscore,0.0
eee,stdnt_abi,svm,base,precision,0.0
eee,stdnt_abi,svm,base,recall,0.0
eee,asmt_stdnt_abd,dt,base,accuracy,0.95489941596366
eee,asmt_stdnt_abd,dt,base,fscore,0.005177993527508091
eee,asmt_stdnt_abd,dt,base,precision,0.07272727272727272
eee,asmt_stdnt_abd,dt,base,recall,0.17777777777777778
eee,asmt_stdnt_abd,knn,base,accuracy,0.9837767683322518
eee,asmt_stdnt_abd,knn,base,fscore,0.0
eee,asmt_stdnt_abd,knn,base,precision,0.0
eee,asmt_stdnt_abd,knn,base,recall,0.0
eee,asmt_stdnt_abd,nb,base,accuracy,0.5133030499675535
eee,asmt_stdnt_abd,nb,base,fscore,0.025624599615631006
eee,asmt_stdnt_abd,nb,base,precision,0.026058631921824105
eee,asmt_stdnt_abd,nb,base,recall,0.8888888888888888
eee,asmt_stdnt_abd,nn,base,accuracy,0.9763140817650876
eee,asmt_stdnt_abd,nn,base,fscore,0.0012970168612191958
eee,asmt_stdnt_abd,nn,base,precision,0.0625
eee,asmt_stdnt_abd,nn,base,recall,0.044444444444444446
eee,asmt_stdnt_abd,rf,base,accuracy,0.9853990914990266
eee,asmt_stdnt_abd,rf,base,fscore,0.0
eee,asmt_stdnt_abd,rf,base,precision,0.0
eee,asmt_stdnt_abd,rf,base,recall,0.0
eee,asmt_stdnt_abd,svm,base,accuracy,0.9853990914990266
eee,asmt_stdnt_abd,svm,base,fscore,0.0
eee,asmt_stdnt_abd,svm,base,precision,0.0
eee,asmt_stdnt_abd,svm,base,recall,0.0
eee,asmt_stdnt_abi,dt,base,accuracy,0.9445165476963011
eee,asmt_stdnt_abi,dt,base,fscore,0.0012970168612191958
eee,asmt_stdnt_abi,dt,base,precision,0.015384615384615385
