module,attributes,classifier,technique,metric,score
eee,asmt,dt,kmeans,accuracy,0.9853990914990266
eee,asmt,dt,kmeans,fscore,0.0
eee,asmt,dt,kmeans,precision,0.0
eee,asmt,dt,kmeans,recall,0.0
eee,asmt,knn,kmeans,accuracy,0.9853990914990266
eee,asmt,knn,kmeans,fscore,0.0
eee,asmt,knn,kmeans,precision,0.0
eee,asmt,knn,kmeans,recall,0.0
eee,asmt,nb,kmeans,accuracy,0.9853990914990266
eee,asmt,nb,kmeans,fscore,0.0
eee,asmt,nb,kmeans,precision,0.0
eee,asmt,nb,kmeans,recall,0.0
eee,asmt,nn,kmeans,accuracy,0.9853990914990266
eee,asmt,nn,kmeans,fscore,0.0
eee,asmt,nn,kmeans,precision,0.0
eee,asmt,nn,kmeans,recall,0.0
eee,asmt,rf,kmeans,accuracy,0.9853990914990266
eee,asmt,rf,kmeans,fscore,0.0
eee,asmt,rf,kmeans,precision,0.0
eee,asmt,rf,kmeans,recall,0.0
eee,asmt,svm,kmeans,accuracy,0.9853990914990266
eee,asmt,svm,kmeans,fscore,0.0
eee,asmt,svm,kmeans,precision,0.0
eee,asmt,svm,kmeans,recall,0.0
eee,stdnt,dt,kmeans,accuracy,0.9695003244646333
eee,stdnt,dt,kmeans,fscore,0.0
eee,stdnt,dt,kmeans,precision,0.0
eee,stdnt,dt,kmeans,recall,0.0
eee,stdnt,knn,kmeans,accuracy,0.9853990914990266
eee,stdnt,knn,kmeans,fscore,0.0
eee,stdnt,knn,kmeans,precision,0.0
eee,stdnt,knn,kmeans,recall,0.0
eee,stdnt,nb,kmeans,accuracy,0.9302401038286827
eee,stdnt,nb,kmeans,fscore,0.0012970168612191958
eee,stdnt,nb,kmeans,precision,0.011494252873563218
eee,stdnt,nb,kmeans,recall,0.044444444444444446
eee,stdnt,nn,kmeans,accuracy,0.9853990914990266
eee,stdnt,nn,kmeans,fscore,0.0
eee,stdnt,nn,kmeans,precision,0.0
eee,stdnt,nn,kmeans,recall,0.0
eee,stdnt,rf,kmeans,accuracy,0.9828033744321869
eee,stdnt,rf,kmeans,fscore,0.0
eee,stdnt,rf,kmeans,precision,0.0
eee,stdnt,rf,kmeans,recall,0.0
eee,stdnt,svm,kmeans,accuracy,0.9853990914990266
eee,stdnt,svm,kmeans,fscore,0.0
eee,stdnt,svm,kmeans,precision,0.0
eee,stdnt,svm,kmeans,recall,0.0
eee,abd,dt,kmeans,accuracy,0.9626865671641791
eee,abd,dt,kmeans,fscore,0.003239390994493035
eee,abd,dt,kmeans,precision,0.0625
eee,abd,dt,kmeans,recall,0.1111111111111111
eee,abd,knn,kmeans,accuracy,0.9847501622323167
eee,abd,knn,kmeans,fscore,0.0
eee,abd,knn,kmeans,precision,0.0
eee,abd,knn,kmeans,recall,0.0
eee,abd,nb,kmeans,accuracy,0.5522388059701493
eee,abd,nb,kmeans,fscore,0.024991989746876
eee,abd,nb,kmeans,precision,0.027600849256900213
eee,abd,nb,kmeans,recall,0.8666666666666667
eee,abd,nn,kmeans,accuracy,0.9834523036988968
eee,abd,nn,kmeans,fscore,0.0
eee,abd,nn,kmeans,precision,0.0
eee,abd,nn,kmeans,recall,0.0
eee,abd,rf,kmeans,accuracy,0.9847501622323167
eee,abd,rf,kmeans,fscore,0.0
eee,abd,rf,kmeans,precision,0.0
eee,abd,rf,kmeans,recall,0.0
eee,abd,svm,kmeans,accuracy,0.9850746268656716
eee,abd,svm,kmeans,fscore,0.0
eee,abd,svm,kmeans,precision,0.0
eee,abd,svm,kmeans,recall,0.0
eee,abi,dt,kmeans,accuracy,0.9558728098637248
eee,abi,dt,kmeans,fscore,0.0012970168612191958
eee,abi,dt,kmeans,precision,0.021052631578947368
eee,abi,dt,kmeans,recall,0.044444444444444446
eee,abi,knn,kmeans,accuracy,0.9847501622323167
eee,abi,knn,kmeans,fscore,0.0
eee,abi,knn,kmeans,precision,0.0
eee,abi,knn,kmeans,recall,0.0
eee,abi,nb,kmeans,accuracy,0.6083711875405581
eee,abi,nb,kmeans,fscore,0.02245749117741418
eee,abi,nb,kmeans,precision,0.028409090909090908
eee,abi,nb,kmeans,recall,0.7777777777777778
eee,abi,nn,kmeans,accuracy,0.982154445165477
eee,abi,nn,kmeans,fscore,0.0
eee,abi,nn,kmeans,precision,0.0
eee,abi,nn,kmeans,recall,0.0
eee,abi,rf,kmeans,accuracy,0.9853990914990266
eee,abi,rf,kmeans,fscore,0.0
eee,abi,rf,kmeans,precision,0.0
eee,abi,rf,kmeans,recall,0.0
eee,abi,svm,kmeans,accuracy,0.9853990914990266
eee,abi,svm,kmeans,fscore,0.0
eee,abi,svm,kmeans,precision,0.0
eee,abi,svm,kmeans,recall,0.0
eee,asmt_stdnt,dt,kmeans,accuracy,0.95425048669695
eee,asmt_stdnt,dt,kmeans,fscore,0.0
eee,asmt_stdnt,dt,kmeans,precision,0.0
eee,asmt_stdnt,dt,kmeans,recall,0.0
eee,asmt_stdnt,knn,kmeans,accuracy,0.9824789097988319
eee,asmt_stdnt,knn,kmeans,fscore,0.0
eee,asmt_stdnt,knn,kmeans,precision,0.0
eee,asmt_stdnt,knn,kmeans,recall,0.0
eee,asmt_stdnt,nb,kmeans,accuracy,0.5204412719013628
eee,asmt_stdnt,nb,kmeans,fscore,0.01673101673101673
eee,asmt_stdnt,nb,kmeans,precision,0.017508417508417508
eee,asmt_stdnt,nb,kmeans,recall,0.5777777777777777
eee,asmt_stdnt,nn,kmeans,accuracy,0.9853990914990266
eee,asmt_stdnt,nn,kmeans,fscore,0.0
eee,asmt_stdnt,nn,kmeans,precision,0.0
eee,asmt_stdnt,nn,kmeans,recall,0.0
eee,asmt_stdnt,rf,kmeans,accuracy,0.9772874756651525
eee,asmt_stdnt,rf,kmeans,fscore,0.0
eee,asmt_stdnt,rf,kmeans,precision,0.0
eee,asmt_stdnt,rf,kmeans,recall,0.0
eee,asmt_stdnt,svm,kmeans,accuracy,0.9853990914990266
eee,asmt_stdnt,svm,kmeans,fscore,0.0
eee,asmt_stdnt,svm,kmeans,precision,0.0
eee,asmt_stdnt,svm,kmeans,recall,0.0
eee,asmt_abd,dt,kmeans,accuracy,0.9263465282284231
eee,asmt_abd,dt,kmeans,fscore,0.004532211071544189
eee,asmt_abd,dt,kmeans,precision,0.03571428571428571
eee,asmt_abd,dt,kmeans,recall,0.15555555555555556
eee,asmt_abd,knn,kmeans,accuracy,0.9824789097988319
eee,asmt_abd,knn,kmeans,fscore,0.0006487187804086928
eee,asmt_abd,knn,kmeans,precision,0.09090909090909091
eee,asmt_abd,knn,kmeans,recall,0.022222222222222223
eee,asmt_abd,nb,kmeans,accuracy,0.44841012329656066
eee,asmt_abd,nb,kmeans,fscore,0.026888604353393086
eee,asmt_abd,nb,kmeans,precision,0.024151811385853938
eee,asmt_abd,nb,kmeans,recall,0.9333333333333333
eee,asmt_abd,nn,kmeans,accuracy,0.9824789097988319
eee,asmt_abd,nn,kmeans,fscore,0.0
eee,asmt_abd,nn,kmeans,precision,0.0
eee,asmt_abd,nn,kmeans,recall,0.0
eee,asmt_abd,rf,kmeans,accuracy,0.9847501622323167
eee,asmt_abd,rf,kmeans,fscore,0.0
eee,asmt_abd,rf,kmeans,precision,0.0
eee,asmt_abd,rf,kmeans,recall,0.0
eee,asmt_abd,svm,kmeans,accuracy,0.9850746268656716
eee,asmt_abd,svm,kmeans,fscore,0.0
eee,asmt_abd,svm,kmeans,precision,0.0
eee,asmt_abd,svm,kmeans,recall,0.0
eee,asmt_abi,dt,kmeans,accuracy,0.9523036988968202
eee,asmt_abi,dt,kmeans,fscore,0.002592352559948153
eee,asmt_abi,dt,kmeans,precision,0.03636363636363636
eee,asmt_abi,dt,kmeans,recall,0.08888888888888889
eee,asmt_abi,knn,kmeans,accuracy,0.9844256975989617
eee,asmt_abi,knn,kmeans,fscore,0.0
eee,asmt_abi,knn,kmeans,precision,0.0
eee,asmt_abi,knn,kmeans,recall,0.0
eee,asmt_abi,nb,kmeans,accuracy,0.44386761842959116
eee,asmt_abi,nb,kmeans,fscore,0.025624599615631006
eee,asmt_abi,nb,kmeans,precision,0.022870211549456832
eee,asmt_abi,nb,kmeans,recall,0.8888888888888888
eee,asmt_abi,nn,kmeans,accuracy,0.9808565866320571
eee,asmt_abi,nn,kmeans,fscore,0.0006487187804086928
eee,asmt_abi,nn,kmeans,precision,0.0625
eee,asmt_abi,nn,kmeans,recall,0.022222222222222223
eee,asmt_abi,rf,kmeans,accuracy,0.9853990914990266
eee,asmt_abi,rf,kmeans,fscore,0.0
eee,asmt_abi,rf,kmeans,precision,0.0
eee,asmt_abi,rf,kmeans,recall,0.0
eee,asmt_abi,svm,kmeans,accuracy,0.9853990914990266
eee,asmt_abi,svm,kmeans,fscore,0.0
eee,asmt_abi,svm,kmeans,precision,0.0
eee,asmt_abi,svm,kmeans,recall,0.0
eee,stdnt_abd,dt,kmeans,accuracy,0.9506813757300454
