module,attributes,classifier,technique,metric,score
eee,asmt,dt,pca,accuracy,0.9853990914990266
eee,asmt,dt,pca,fscore,0.0
eee,asmt,dt,pca,precision,0.0
eee,asmt,dt,pca,recall,0.0
eee,asmt,knn,pca,accuracy,0.9853990914990266
eee,asmt,knn,pca,fscore,0.0
eee,asmt,knn,pca,precision,0.0
eee,asmt,knn,pca,recall,0.0
eee,asmt,nb,pca,accuracy,0.9853990914990266
eee,asmt,nb,pca,fscore,0.0
eee,asmt,nb,pca,precision,0.0
eee,asmt,nb,pca,recall,0.0
eee,asmt,nn,pca,accuracy,0.9853990914990266
eee,asmt,nn,pca,fscore,0.0
eee,asmt,nn,pca,precision,0.0
eee,asmt,nn,pca,recall,0.0
eee,asmt,rf,pca,accuracy,0.9853990914990266
eee,asmt,rf,pca,fscore,0.0
eee,asmt,rf,pca,precision,0.0
eee,asmt,rf,pca,recall,0.0
eee,asmt,svm,pca,accuracy,0.9853990914990266
eee,asmt,svm,pca,fscore,0.0
eee,asmt,svm,pca,precision,0.0
eee,asmt,svm,pca,recall,0.0
eee,stdnt,dt,pca,accuracy,0.9837767683322518
eee,stdnt,dt,pca,fscore,0.0
eee,stdnt,dt,pca,precision,0.0
eee,stdnt,dt,pca,recall,0.0
eee,stdnt,knn,pca,accuracy,0.9853990914990266
eee,stdnt,knn,pca,fscore,0.0
eee,stdnt,knn,pca,precision,0.0
eee,stdnt,knn,pca,recall,0.0
eee,stdnt,nb,pca,accuracy,0.9338092147955873
eee,stdnt,nb,pca,fscore,0.0019448946515397082
eee,stdnt,nb,pca,precision,0.01818181818181818
eee,stdnt,nb,pca,recall,0.06666666666666667
eee,stdnt,nn,pca,accuracy,0.9853990914990266
eee,stdnt,nn,pca,fscore,0.0
eee,stdnt,nn,pca,precision,0.0
eee,stdnt,nn,pca,recall,0.0
eee,stdnt,rf,pca,accuracy,0.9850746268656716
eee,stdnt,rf,pca,fscore,0.0
eee,stdnt,rf,pca,precision,0.0
eee,stdnt,rf,pca,recall,0.0
eee,stdnt,svm,pca,accuracy,0.9853990914990266
eee,stdnt,svm,pca,fscore,0.0
eee,stdnt,svm,pca,precision,0.0
eee,stdnt,svm,pca,recall,0.0
eee,abd,dt,pca,accuracy,0.9490590525632706
eee,abd,dt,pca,fscore,0.0012970168612191958
eee,abd,dt,pca,precision,0.017241379310344827
eee,abd,dt,pca,recall,0.044444444444444446
eee,abd,knn,pca,accuracy,0.9844256975989617
eee,abd,knn,pca,fscore,0.0
eee,abd,knn,pca,precision,0.0
eee,abd,knn,pca,recall,0.0
eee,abd,nb,pca,accuracy,0.9503569110966905
eee,abd,nb,pca,fscore,0.0006487187804086928
eee,abd,nb,pca,precision,0.00909090909090909
eee,abd,nb,pca,recall,0.022222222222222223
eee,abd,nn,pca,accuracy,0.9837767683322518
eee,abd,nn,pca,fscore,0.0
eee,abd,nn,pca,precision,0.0
eee,abd,nn,pca,recall,0.0
eee,abd,rf,pca,accuracy,0.9850746268656716
eee,abd,rf,pca,fscore,0.0
eee,abd,rf,pca,precision,0.0
eee,abd,rf,pca,recall,0.0
eee,abd,svm,pca,accuracy,0.9853990914990266
eee,abd,svm,pca,fscore,0.0
eee,abd,svm,pca,precision,0.0
eee,abd,svm,pca,recall,0.0
eee,abi,dt,pca,accuracy,0.9565217391304348
eee,abi,dt,pca,fscore,0.002592352559948153
eee,abi,dt,pca,precision,0.041237113402061855
eee,abi,dt,pca,recall,0.08888888888888889
eee,abi,knn,pca,accuracy,0.9841012329656067
eee,abi,knn,pca,fscore,0.0
eee,abi,knn,pca,precision,0.0
eee,abi,knn,pca,recall,0.0
eee,abi,nb,pca,accuracy,0.9435431537962362
eee,abi,nb,pca,fscore,0.005823358136525397
eee,abi,nb,pca,precision,0.061224489795918366
eee,abi,nb,pca,recall,0.2
eee,abi,nn,pca,accuracy,0.9844256975989617
eee,abi,nn,pca,fscore,0.0
eee,abi,nn,pca,precision,0.0
eee,abi,nn,pca,recall,0.0
eee,abi,rf,pca,accuracy,0.9853990914990266
eee,abi,rf,pca,fscore,0.0
eee,abi,rf,pca,precision,0.0
eee,abi,rf,pca,recall,0.0
eee,abi,svm,pca,accuracy,0.9853990914990266
eee,abi,svm,pca,fscore,0.0
eee,abi,svm,pca,precision,0.0
eee,abi,svm,pca,recall,0.0
eee,asmt_stdnt,dt,pca,accuracy,0.9506813757300454
eee,asmt_stdnt,dt,pca,fscore,0.0012970168612191958
eee,asmt_stdnt,dt,pca,precision,0.018018018018018018
eee,asmt_stdnt,dt,pca,recall,0.044444444444444446
eee,asmt_stdnt,knn,pca,accuracy,0.9850746268656716
eee,asmt_stdnt,knn,pca,fscore,0.0
eee,asmt_stdnt,knn,pca,precision,0.0
eee,asmt_stdnt,knn,pca,recall,0.0
eee,asmt_stdnt,nb,pca,accuracy,0.9396495781959766
eee,asmt_stdnt,nb,pca,fscore,0.002592352559948153
eee,asmt_stdnt,nb,pca,precision,0.026845637583892617
eee,asmt_stdnt,nb,pca,recall,0.08888888888888889
eee,asmt_stdnt,nn,pca,accuracy,0.9837767683322518
eee,asmt_stdnt,nn,pca,fscore,0.0
eee,asmt_stdnt,nn,pca,precision,0.0
eee,asmt_stdnt,nn,pca,recall,0.0
eee,asmt_stdnt,rf,pca,accuracy,0.9824789097988319
eee,asmt_stdnt,rf,pca,fscore,0.0
eee,asmt_stdnt,rf,pca,precision,0.0
eee,asmt_stdnt,rf,pca,recall,0.0
eee,asmt_stdnt,svm,pca,accuracy,0.9853990914990266
eee,asmt_stdnt,svm,pca,fscore,0.0
eee,asmt_stdnt,svm,pca,precision,0.0
eee,asmt_stdnt,svm,pca,recall,0.0
