module,attributes,classifier,technique,metric,score
eee,asmt,dt,smote,accuracy,0.5502920181700195
eee,asmt,dt,smote,fscore,0.02118780096308186
eee,asmt,dt,smote,precision,0.023454157782515993
eee,asmt,dt,smote,recall,0.7333333333333333
eee,asmt,knn,smote,accuracy,0.5502920181700195
eee,asmt,knn,smote,fscore,0.02118780096308186
eee,asmt,knn,smote,precision,0.023454157782515993
eee,asmt,knn,smote,recall,0.7333333333333333
eee,asmt,nb,smote,accuracy,0.5502920181700195
eee,asmt,nb,smote,fscore,0.02118780096308186
eee,asmt,nb,smote,precision,0.023454157782515993
eee,asmt,nb,smote,recall,0.7333333333333333
eee,asmt,nn,smote,accuracy,0.7598961713173265
eee,asmt,nn,smote,fscore,0.012894906511927788
eee,asmt,nn,smote,precision,0.027210884353741496
eee,asmt,nn,smote,recall,0.4444444444444444
eee,asmt,rf,smote,accuracy,0.5502920181700195
eee,asmt,rf,smote,fscore,0.02118780096308186
eee,asmt,rf,smote,precision,0.023454157782515993
eee,asmt,rf,smote,recall,0.7333333333333333
eee,asmt,svm,smote,accuracy,0.5502920181700195
eee,asmt,svm,smote,fscore,0.02118780096308186
eee,asmt,svm,smote,precision,0.023454157782515993
eee,asmt,svm,smote,recall,0.7333333333333333
eee,stdnt,dt,smote,accuracy,0.9568462037637897
eee,stdnt,dt,smote,fscore,0.002592352559948153
eee,stdnt,dt,smote,precision,0.041666666666666664
eee,stdnt,dt,smote,recall,0.08888888888888889
eee,stdnt,knn,smote,accuracy,0.8838416612589228
eee,stdnt,knn,smote,fscore,0.002592352559948153
eee,stdnt,knn,smote,precision,0.012461059190031152
eee,stdnt,knn,smote,recall,0.08888888888888889
eee,stdnt,nb,smote,accuracy,0.16125892277741727
eee,stdnt,nb,smote,fscore,0.025624599615631006
eee,stdnt,nb,smote,precision,0.015267175572519083
eee,stdnt,nb,smote,recall,0.8888888888888888
eee,stdnt,nn,smote,accuracy,0.9338092147955873
eee,stdnt,nn,smote,fscore,0.0006487187804086928
eee,stdnt,nn,smote,precision,0.006211180124223602
eee,stdnt,nn,smote,recall,0.022222222222222223
eee,stdnt,rf,smote,accuracy,0.9766385463984426
eee,stdnt,rf,smote,fscore,0.0019448946515397082
eee,stdnt,rf,smote,precision,0.09090909090909091
eee,stdnt,rf,smote,recall,0.06666666666666667
eee,stdnt,svm,smote,accuracy,0.7501622323166774
eee,stdnt,svm,smote,fscore,0.00840064620355412
eee,stdnt,svm,smote,precision,0.017310252996005325
eee,stdnt,svm,smote,recall,0.28888888888888886
eee,abd,dt,smote,accuracy,0.9438676184295912
eee,abd,dt,smote,fscore,0.0019448946515397082
eee,abd,dt,smote,precision,0.022388059701492536
eee,abd,dt,smote,recall,0.06666666666666667
eee,abd,knn,smote,accuracy,0.8254380272550292
eee,abd,knn,smote,fscore,0.010329244673983214
eee,abd,knn,smote,precision,0.030476190476190476
eee,abd,knn,smote,recall,0.35555555555555557
eee,abd,nb,smote,accuracy,0.6109669046073978
eee,abd,nb,smote,fscore,0.021822849807445442
eee,abd,nb,smote,precision,0.027823240589198037
eee,abd,nb,smote,recall,0.7555555555555555
eee,abd,nn,smote,accuracy,0.9402985074626866
eee,abd,nn,smote,fscore,0.007756948933419522
eee,abd,nn,smote,precision,0.0736196319018405
eee,abd,nn,smote,recall,0.26666666666666666
eee,abd,rf,smote,accuracy,0.9802076573653472
eee,abd,rf,smote,fscore,0.0012970168612191958
eee,abd,rf,smote,precision,0.1
eee,abd,rf,smote,recall,0.044444444444444446
eee,abd,svm,smote,accuracy,0.7342634652822843
eee,abd,svm,smote,fscore,0.02118780096308186
eee,abd,svm,smote,precision,0.039285714285714285
eee,abd,svm,smote,recall,0.7333333333333333
eee,abi,dt,smote,accuracy,0.9467878001297858
eee,abi,dt,smote,fscore,0.0038860103626943004
eee,abi,dt,smote,precision,0.04580152671755725
eee,abi,dt,smote,recall,0.13333333333333333
eee,abi,knn,smote,accuracy,0.8491239454899416
eee,abi,knn,smote,fscore,0.015453960077269801
eee,abi,knn,smote,precision,0.05128205128205128
eee,abi,knn,smote,recall,0.5333333333333333
eee,abi,nb,smote,accuracy,0.6018818948734588
eee,abi,nb,smote,fscore,0.023725553061878808
eee,abi,nb,smote,precision,0.02945859872611465
eee,abi,nb,smote,recall,0.8222222222222222
eee,abi,nn,smote,accuracy,0.9484101232965607
eee,abi,nn,smote,fscore,0.009686793671294802
eee,abi,nn,smote,precision,0.10416666666666667
eee,abi,nn,smote,recall,0.3333333333333333
eee,abi,rf,smote,accuracy,0.9763140817650876
eee,abi,rf,smote,fscore,0.0019448946515397082
eee,abi,rf,smote,precision,0.08823529411764706
eee,abi,rf,smote,recall,0.06666666666666667
eee,abi,svm,smote,accuracy,0.7670343932511356
eee,abi,svm,smote,fscore,0.023091725465041693
eee,abi,svm,smote,precision,0.04832214765100671
eee,abi,svm,smote,recall,0.8
eee,asmt_stdnt,dt,smote,accuracy,0.7469175859831279
eee,asmt_stdnt,dt,smote,fscore,0.01353528843055108
eee,asmt_stdnt,dt,smote,precision,0.02702702702702703
eee,asmt_stdnt,dt,smote,recall,0.4666666666666667
eee,asmt_stdnt,knn,smote,accuracy,0.8831927319922128
eee,asmt_stdnt,knn,smote,fscore,0.002592352559948153
eee,asmt_stdnt,knn,smote,precision,0.01238390092879257
eee,asmt_stdnt,knn,smote,recall,0.08888888888888889
eee,asmt_stdnt,nb,smote,accuracy,0.1599610642439974
eee,asmt_stdnt,nb,smote,fscore,0.024991989746876
eee,asmt_stdnt,nb,smote,precision,0.014874141876430207
eee,asmt_stdnt,nb,smote,recall,0.8666666666666667
eee,asmt_stdnt,nn,smote,accuracy,0.9377027903958468
eee,asmt_stdnt,nn,smote,fscore,0.0012970168612191958
eee,asmt_stdnt,nn,smote,precision,0.013245033112582781
eee,asmt_stdnt,nn,smote,recall,0.044444444444444446
eee,asmt_stdnt,rf,smote,accuracy,0.9581440622972096
eee,asmt_stdnt,rf,smote,fscore,0.0006487187804086928
eee,asmt_stdnt,rf,smote,precision,0.011627906976744186
eee,asmt_stdnt,rf,smote,recall,0.022222222222222223
eee,asmt_stdnt,svm,smote,accuracy,0.7569759896171318
eee,asmt_stdnt,svm,smote,fscore,0.012894906511927788
eee,asmt_stdnt,svm,smote,precision,0.026881720430107527
eee,asmt_stdnt,svm,smote,recall,0.4444444444444444
eee,asmt_abd,dt,smote,accuracy,0.9218040233614536
eee,asmt_abd,dt,smote,fscore,0.005177993527508091
eee,asmt_abd,dt,smote,precision,0.03773584905660377
eee,asmt_abd,dt,smote,recall,0.17777777777777778
eee,asmt_abd,knn,smote,accuracy,0.8436080467229072
eee,asmt_abd,knn,smote,fscore,0.012254111576910674
eee,asmt_abd,knn,smote,precision,0.04
eee,asmt_abd,knn,smote,recall,0.4222222222222222
eee,asmt_abd,nb,smote,accuracy,0.6190785204412719
eee,asmt_abd,nb,smote,fscore,0.021822849807445442
eee,asmt_abd,nb,smote,precision,0.028404344193817876
eee,asmt_abd,nb,smote,recall,0.7555555555555555
eee,asmt_abd,nn,smote,accuracy,0.9510058403634004
eee,asmt_abd,nn,smote,fscore,0.00646830530401035
eee,asmt_abd,nn,smote,precision,0.07936507936507936
eee,asmt_abd,nn,smote,recall,0.2222222222222222
eee,asmt_abd,rf,smote,accuracy,0.9652822842310188
eee,asmt_abd,rf,smote,fscore,0.005177993527508091
eee,asmt_abd,rf,smote,precision,0.10256410256410256
eee,asmt_abd,rf,smote,recall,0.17777777777777778
eee,asmt_abd,svm,smote,accuracy,0.7923426346528228
eee,asmt_abd,svm,smote,fscore,0.019280205655526992
eee,asmt_abd,svm,smote,precision,0.04580152671755725
eee,asmt_abd,svm,smote,recall,0.6666666666666666
eee,asmt_abi,dt,smote,accuracy,0.9351070733290071
eee,asmt_abi,dt,smote,fscore,0.0038860103626943004
eee,asmt_abi,dt,smote,precision,0.03592814371257485
eee,asmt_abi,dt,smote,recall,0.13333333333333333
eee,asmt_abi,knn,smote,accuracy,0.8617780661907852
eee,asmt_abi,knn,smote,fscore,0.015453960077269801
eee,asmt_abi,knn,smote,precision,0.055944055944055944
eee,asmt_abi,knn,smote,recall,0.5333333333333333
eee,asmt_abi,nb,smote,accuracy,0.6203763789746918
eee,asmt_abi,nb,smote,fscore,0.023725553061878808
eee,asmt_abi,nb,smote,precision,0.030859049207673062
eee,asmt_abi,nb,smote,recall,0.8222222222222222
eee,asmt_abi,nn,smote,accuracy,0.9467878001297858
eee,asmt_abi,nn,smote,fscore,0.007756948933419522
eee,asmt_abi,nn,smote,precision,0.08391608391608392
eee,asmt_abi,nn,smote,recall,0.26666666666666666
eee,asmt_abi,rf,smote,accuracy,0.9701492537313433
eee,asmt_abi,rf,smote,fscore,0.0006487187804086928
eee,asmt_abi,rf,smote,precision,0.02040816326530612
eee,asmt_abi,rf,smote,recall,0.022222222222222223
eee,asmt_abi,svm,smote,accuracy,0.7949383517196625
eee,asmt_abi,svm,smote,fscore,0.020552344251766216
eee,asmt_abi,svm,smote,precision,0.04915514592933948
eee,asmt_abi,svm,smote,recall,0.7111111111111111
eee,stdnt_abd,dt,smote,accuracy,0.9519792342634653
eee,stdnt_abd,dt,smote,fscore,0.00646830530401035
eee,stdnt_abd,dt,smote,precision,0.08130081300813008
eee,stdnt_abd,dt,smote,recall,0.2222222222222222
eee,stdnt_abd,knn,smote,accuracy,0.8059701492537313
eee,stdnt_abd,knn,smote,fscore,0.009686793671294802
eee,stdnt_abd,knn,smote,precision,0.025728987993138937
eee,stdnt_abd,knn,smote,recall,0.3333333333333333
eee,stdnt_abd,nb,smote,accuracy,0.5791693705386113
eee,stdnt_abd,nb,smote,fscore,0.02245749117741418
eee,stdnt_abd,nb,smote,precision,0.0264750378214826
eee,stdnt_abd,nb,smote,recall,0.7777777777777778
eee,stdnt_abd,nn,smote,accuracy,0.9646333549643089
eee,stdnt_abd,nn,smote,fscore,0.002592352559948153
eee,stdnt_abd,nn,smote,precision,0.05555555555555555
eee,stdnt_abd,nn,smote,recall,0.08888888888888889
eee,stdnt_abd,rf,smote,accuracy,0.9844256975989617
eee,stdnt_abd,rf,smote,fscore,0.0006487187804086928
eee,stdnt_abd,rf,smote,precision,0.2
eee,stdnt_abd,rf,smote,recall,0.022222222222222223
eee,stdnt_abd,svm,smote,accuracy,0.8020765736534717
eee,stdnt_abd,svm,smote,fscore,0.0180064308681672
eee,stdnt_abd,svm,smote,precision,0.04508856682769726
eee,stdnt_abd,svm,smote,recall,0.6222222222222222
eee,stdnt_abi,dt,smote,accuracy,0.9523036988968202
eee,stdnt_abi,dt,smote,fscore,0.004532211071544189
eee,stdnt_abi,dt,smote,precision,0.0603448275862069
eee,stdnt_abi,dt,smote,recall,0.15555555555555556
eee,stdnt_abi,knn,smote,accuracy,0.8124594419208306
eee,stdnt_abi,knn,smote,fscore,0.017368928916050175
eee,stdnt_abi,knn,smote,precision,0.04599659284497445
eee,stdnt_abi,knn,smote,recall,0.6
eee,stdnt_abi,nb,smote,accuracy,0.5434782608695652
eee,stdnt_abi,nb,smote,fscore,0.024991989746876
eee,stdnt_abi,nb,smote,precision,0.027083333333333334
eee,stdnt_abi,nb,smote,recall,0.8666666666666667
eee,stdnt_abi,nn,smote,accuracy,0.9691758598312784
eee,stdnt_abi,nn,smote,fscore,0.0006487187804086928
eee,stdnt_abi,nn,smote,precision,0.019230769230769232
eee,stdnt_abi,nn,smote,recall,0.022222222222222223
eee,stdnt_abi,rf,smote,accuracy,0.9837767683322518
