module,attributes,classifier,technique,metric,score
fff,asmt,ae,base,accuracy,0.9832764952780693
fff,asmt,ae,base,fscore,0.0
fff,asmt,ae,base,precision,0.0
fff,asmt,ae,base,recall,0.0
fff,stdnt,ae,base,accuracy,0.9832764952780693
fff,stdnt,ae,base,fscore,0.0
fff,stdnt,ae,base,precision,0.0
fff,stdnt,ae,base,recall,0.0
fff,abd,ae,base,accuracy,0.9832764952780693
fff,abd,ae,base,fscore,0.0
fff,abd,ae,base,precision,0.0
fff,abd,ae,base,recall,0.0
fff,abi,ae,base,accuracy,0.9832764952780693
fff,abi,ae,base,fscore,0.0
fff,abi,ae,base,precision,0.0
fff,abi,ae,base,recall,0.0
fff,asmt_stdnt,ae,base,accuracy,0.9832764952780693
fff,asmt_stdnt,ae,base,fscore,0.0
fff,asmt_stdnt,ae,base,precision,0.0
fff,asmt_stdnt,ae,base,recall,0.0
fff,asmt_abd,ae,base,accuracy,0.9832764952780693
fff,asmt_abd,ae,base,fscore,0.0
fff,asmt_abd,ae,base,precision,0.0
fff,asmt_abd,ae,base,recall,0.0
fff,asmt_abi,ae,base,accuracy,0.9832764952780693
fff,asmt_abi,ae,base,fscore,0.0
fff,asmt_abi,ae,base,precision,0.0
fff,asmt_abi,ae,base,recall,0.0
fff,stdnt_abd,ae,base,accuracy,0.9832764952780693
fff,stdnt_abd,ae,base,fscore,0.0
fff,stdnt_abd,ae,base,precision,0.0
fff,stdnt_abd,ae,base,recall,0.0
fff,stdnt_abi,ae,base,accuracy,0.9832764952780693
fff,stdnt_abi,ae,base,fscore,0.0
fff,stdnt_abi,ae,base,precision,0.0
fff,stdnt_abi,ae,base,recall,0.0
fff,asmt_stdnt_abd,ae,base,accuracy,0.9832764952780693
fff,asmt_stdnt_abd,ae,base,fscore,0.0
fff,asmt_stdnt_abd,ae,base,precision,0.0
fff,asmt_stdnt_abd,ae,base,recall,0.0
fff,asmt_stdnt_abi,ae,base,accuracy,0.9832764952780693
fff,asmt_stdnt_abi,ae,base,fscore,0.0
fff,asmt_stdnt_abi,ae,base,precision,0.0
fff,asmt_stdnt_abi,ae,base,recall,0.0
