module,attributes,classifier,technique,metric,score
fff,asmt,ae,smote,accuracy,0.676088667366212
fff,asmt,ae,smote,fscore,0.02870071105365223
fff,asmt,ae,smote,precision,0.043291731669266774
fff,asmt,ae,smote,recall,0.8705882352941177
fff,stdnt,ae,smote,accuracy,0.719110703043022
fff,stdnt,ae,smote,fscore,0.011346592761656341
fff,stdnt,ae,smote,precision,0.020704426463588766
fff,stdnt,ae,smote,recall,0.3411764705882353
fff,abd,ae,smote,accuracy,0.6999606505771249
fff,abd,ae,smote,fscore,0.02499838093387734
fff,abd,ae,smote,precision,0.04101147471313217
fff,abd,ae,smote,recall,0.7568627450980392
fff,abi,ae,smote,accuracy,0.8385362014690452
fff,abi,ae,smote,fscore,0.021538860775917996
fff,abi,ae,smote,precision,0.06538007089405277
fff,abi,ae,smote,recall,0.6509803921568628
fff,asmt_stdnt,ae,smote,accuracy,0.7504590766002098
fff,asmt_stdnt,ae,smote,fscore,0.020896878447660458
fff,asmt_stdnt,ae,smote,precision,0.041580578512396695
fff,asmt_stdnt,ae,smote,recall,0.6313725490196078
fff,asmt_abd,ae,smote,accuracy,0.7748557187827911
fff,asmt_abd,ae,smote,fscore,0.025382025382025383
fff,asmt_abd,ae,smote,precision,0.054901960784313725
fff,asmt_abd,ae,smote,recall,0.7686274509803922
fff,asmt_abi,ae,smote,accuracy,0.8325682056663168
fff,asmt_abi,ae,smote,fscore,0.0214104976318692
fff,asmt_abi,ae,smote,precision,0.06278538812785388
fff,asmt_abi,ae,smote,recall,0.6470588235294118
fff,stdnt_abd,ae,smote,accuracy,0.7111096537250787
fff,stdnt_abd,ae,smote,fscore,0.022180426746222195
fff,stdnt_abd,ae,smote,precision,0.03806767586821015
fff,stdnt_abd,ae,smote,recall,0.6705882352941176
fff,stdnt_abi,ae,smote,accuracy,0.7762985309548793
fff,stdnt_abi,ae,smote,fscore,0.01806719958406447
fff,stdnt_abi,ae,smote,precision,0.04047757716948165
fff,stdnt_abi,ae,smote,recall,0.5450980392156862
fff,asmt_stdnt_abd,ae,smote,accuracy,0.7362932843651626
fff,asmt_stdnt_abd,ae,smote,fscore,0.025765520813102866
fff,asmt_stdnt_abd,ae,smote,precision,0.047790585975024016
fff,asmt_stdnt_abd,ae,smote,recall,0.7803921568627451
fff,asmt_stdnt_abi,ae,smote,accuracy,0.791579223504722
fff,asmt_stdnt_abi,ae,smote,fscore,0.02474253513828616
fff,asmt_stdnt_abi,ae,smote,precision,0.05779122541603631
fff,asmt_stdnt_abi,ae,smote,recall,0.7490196078431373
