module,attributes,classifier,technique,metric,score
fff,asmt,ff,pca,accuracy,0.9832764952780693
fff,asmt,ff,pca,fscore,0.0
fff,asmt,ff,pca,precision,0.0
fff,asmt,ff,pca,recall,0.0
fff,stdnt,ff,pca,accuracy,0.9832764952780693
fff,stdnt,ff,pca,fscore,0.0
fff,stdnt,ff,pca,precision,0.0
fff,stdnt,ff,pca,recall,0.0
fff,abd,ff,pca,accuracy,0.9832764952780693
fff,abd,ff,pca,fscore,0.0
fff,abd,ff,pca,precision,0.0
fff,abd,ff,pca,recall,0.0
fff,abi,ff,pca,accuracy,0.9832764952780693
fff,abi,ff,pca,fscore,0.0
fff,abi,ff,pca,precision,0.0
fff,abi,ff,pca,recall,0.0
fff,asmt_stdnt,ff,pca,accuracy,0.9832764952780693
fff,asmt_stdnt,ff,pca,fscore,0.0
fff,asmt_stdnt,ff,pca,precision,0.0
fff,asmt_stdnt,ff,pca,recall,0.0
fff,asmt_abd,ff,pca,accuracy,0.9832764952780693
fff,asmt_abd,ff,pca,fscore,0.0
fff,asmt_abd,ff,pca,precision,0.0
fff,asmt_abd,ff,pca,recall,0.0
fff,asmt_abi,ff,pca,accuracy,0.9832764952780693
fff,asmt_abi,ff,pca,fscore,0.0
fff,asmt_abi,ff,pca,precision,0.0
fff,asmt_abi,ff,pca,recall,0.0
fff,stdnt_abd,ff,pca,accuracy,0.9832764952780693
fff,stdnt_abd,ff,pca,fscore,0.0
fff,stdnt_abd,ff,pca,precision,0.0
fff,stdnt_abd,ff,pca,recall,0.0
fff,stdnt_abi,ff,pca,accuracy,0.9832109129066107
fff,stdnt_abi,ff,pca,fscore,0.0
fff,stdnt_abi,ff,pca,precision,0.0
fff,stdnt_abi,ff,pca,recall,0.0
fff,asmt_stdnt_abd,ff,pca,accuracy,0.9832764952780693
fff,asmt_stdnt_abd,ff,pca,fscore,0.0
fff,asmt_stdnt_abd,ff,pca,precision,0.0
fff,asmt_stdnt_abd,ff,pca,recall,0.0
fff,asmt_stdnt_abi,ff,pca,accuracy,0.982292759706191
fff,asmt_stdnt_abi,ff,pca,fscore,0.0
fff,asmt_stdnt_abi,ff,pca,precision,0.0
fff,asmt_stdnt_abi,ff,pca,recall,0.0
