module,attributes,classifier,technique,metric,score
fff,asmt,ff,smote+kmeans,accuracy,0.676088667366212
fff,asmt,ff,smote+kmeans,fscore,0.02870071105365223
fff,asmt,ff,smote+kmeans,precision,0.043291731669266774
fff,asmt,ff,smote+kmeans,recall,0.8705882352941177
fff,stdnt,ff,smote+kmeans,accuracy,0.549777019937041
fff,stdnt,ff,smote+kmeans,fscore,0.014454066019923172
fff,stdnt,ff,smote+kmeans,precision,0.016247072599531617
fff,stdnt,ff,smote+kmeans,recall,0.43529411764705883
fff,abd,ff,smote+kmeans,accuracy,0.8802465897166841
fff,abd,ff,smote+kmeans,fscore,0.015487733454805752
fff,abd,ff,smote+kmeans,precision,0.06578220011055833
fff,abd,ff,smote+kmeans,recall,0.4666666666666667
fff,abi,ff,smote+kmeans,accuracy,0.5589585519412382
fff,abi,ff,smote+kmeans,fscore,0.013031013812874642
fff,abi,ff,smote+kmeans,precision,0.014992503748125937
fff,abi,ff,smote+kmeans,recall,0.39215686274509803
fff,asmt_stdnt,ff,smote+kmeans,accuracy,0.8906086044071354
fff,asmt_stdnt,ff,smote+kmeans,fscore,0.0067973856209150325
fff,asmt_stdnt,ff,smote+kmeans,precision,0.034278180619644036
fff,asmt_stdnt,ff,smote+kmeans,recall,0.20392156862745098
fff,asmt_abd,ff,smote+kmeans,accuracy,0.9337618048268626
fff,asmt_abd,ff,smote+kmeans,fscore,0.010308605728453057
fff,asmt_abd,ff,smote+kmeans,precision,0.08652792990142388
fff,asmt_abd,ff,smote+kmeans,recall,0.30980392156862746
fff,asmt_abi,ff,smote+kmeans,accuracy,0.5747639034627492
fff,asmt_abi,ff,smote+kmeans,fscore,0.013419321216858836
fff,asmt_abi,ff,smote+kmeans,precision,0.016006216006216007
fff,asmt_abi,ff,smote+kmeans,recall,0.403921568627451
fff,stdnt_abd,ff,smote+kmeans,accuracy,0.9451731374606506
fff,stdnt_abd,ff,smote+kmeans,fscore,0.004580252568213047
fff,stdnt_abd,ff,smote+kmeans,precision,0.053763440860215055
fff,stdnt_abd,ff,smote+kmeans,recall,0.13725490196078433
fff,stdnt_abi,ff,smote+kmeans,accuracy,0.9628147953830011
fff,stdnt_abi,ff,smote+kmeans,fscore,0.004188481675392671
fff,stdnt_abi,ff,smote+kmeans,precision,0.0851063829787234
fff,stdnt_abi,ff,smote+kmeans,recall,0.12549019607843137
fff,asmt_stdnt_abd,ff,smote+kmeans,accuracy,0.9559942287513117
fff,asmt_stdnt_abd,ff,smote+kmeans,fscore,0.004580252568213047
fff,asmt_stdnt_abd,ff,smote+kmeans,precision,0.0720164609053498
fff,asmt_stdnt_abd,ff,smote+kmeans,recall,0.13725490196078433
fff,asmt_stdnt_abi,ff,smote+kmeans,accuracy,0.9412381951731374
fff,asmt_stdnt_abi,ff,smote+kmeans,fscore,0.007578727296485038
fff,asmt_stdnt_abi,ff,smote+kmeans,precision,0.07661822985468957
fff,asmt_stdnt_abi,ff,smote+kmeans,recall,0.22745098039215686
