module,attributes,classifier,technique,metric,score
fff,asmt,dt,kmeans,accuracy,0.9832764952780693
fff,asmt,dt,kmeans,fscore,0.0
fff,asmt,dt,kmeans,precision,0.0
fff,asmt,dt,kmeans,recall,0.0
fff,asmt,knn,kmeans,accuracy,0.9832764952780693
fff,asmt,knn,kmeans,fscore,0.0
fff,asmt,knn,kmeans,precision,0.0
fff,asmt,knn,kmeans,recall,0.0
fff,asmt,nb,kmeans,accuracy,0.9832764952780693
fff,asmt,nb,kmeans,fscore,0.0
fff,asmt,nb,kmeans,precision,0.0
fff,asmt,nb,kmeans,recall,0.0
fff,asmt,nn,kmeans,accuracy,0.9832764952780693
fff,asmt,nn,kmeans,fscore,0.0
fff,asmt,nn,kmeans,precision,0.0
fff,asmt,nn,kmeans,recall,0.0
fff,asmt,rf,kmeans,accuracy,0.9832764952780693
fff,asmt,rf,kmeans,fscore,0.0
fff,asmt,rf,kmeans,precision,0.0
fff,asmt,rf,kmeans,recall,0.0
fff,asmt,svm,kmeans,accuracy,0.9832764952780693
fff,asmt,svm,kmeans,fscore,0.0
fff,asmt,svm,kmeans,precision,0.0
fff,asmt,svm,kmeans,recall,0.0
fff,stdnt,dt,kmeans,accuracy,0.9656348373557188
fff,stdnt,dt,kmeans,fscore,0.0006556087327083197
fff,stdnt,dt,kmeans,precision,0.017921146953405017
fff,stdnt,dt,kmeans,recall,0.0196078431372549
fff,stdnt,knn,kmeans,accuracy,0.9832764952780693
fff,stdnt,knn,kmeans,fscore,0.0
fff,stdnt,knn,kmeans,precision,0.0
fff,stdnt,knn,kmeans,recall,0.0
fff,stdnt,nb,kmeans,accuracy,0.617392444910808
fff,stdnt,nb,kmeans,fscore,0.011346592761656341
fff,stdnt,nb,kmeans,precision,0.01512254475925604
fff,stdnt,nb,kmeans,recall,0.3411764705882353
fff,stdnt,nn,kmeans,accuracy,0.9832764952780693
fff,stdnt,nn,kmeans,fscore,0.0
fff,stdnt,nn,kmeans,precision,0.0
fff,stdnt,nn,kmeans,recall,0.0
fff,stdnt,rf,kmeans,accuracy,0.9767838405036726
fff,stdnt,rf,kmeans,fscore,0.0001311561413863204
fff,stdnt,rf,kmeans,precision,0.009900990099009901
fff,stdnt,rf,kmeans,recall,0.00392156862745098
fff,stdnt,svm,kmeans,accuracy,0.9832764952780693
fff,stdnt,svm,kmeans,fscore,0.0
fff,stdnt,svm,kmeans,precision,0.0
fff,stdnt,svm,kmeans,recall,0.0
fff,abd,dt,kmeans,accuracy,0.9610440713536201
fff,abd,dt,kmeans,fscore,0.0035351882160392797
fff,abd,dt,kmeans,precision,0.06870229007633588
fff,abd,dt,kmeans,recall,0.10588235294117647
fff,abd,knn,kmeans,accuracy,0.9815057712486883
fff,abd,knn,kmeans,fscore,0.0007866789038940606
fff,abd,knn,kmeans,precision,0.15384615384615385
fff,abd,knn,kmeans,recall,0.023529411764705882
fff,abd,nb,kmeans,accuracy,0.48570304302203565
fff,abd,nb,kmeans,fscore,0.02640434895159203
fff,abd,nb,kmeans,precision,0.02551594746716698
fff,abd,nb,kmeans,recall,0.8
fff,abd,nn,kmeans,accuracy,0.9290398740818469
fff,abd,nn,kmeans,fscore,0.0015727391874180866
fff,abd,nn,kmeans,precision,0.01410105757931845
fff,abd,nn,kmeans,recall,0.047058823529411764
fff,abd,rf,kmeans,accuracy,0.9828830010493179
fff,abd,rf,kmeans,fscore,0.0001311561413863204
fff,abd,rf,kmeans,precision,0.125
fff,abd,rf,kmeans,recall,0.00392156862745098
fff,abd,svm,kmeans,accuracy,0.9832764952780693
fff,abd,svm,kmeans,fscore,0.0
fff,abd,svm,kmeans,precision,0.0
fff,abd,svm,kmeans,recall,0.0
fff,abi,dt,kmeans,accuracy,0.9660283315844701
fff,abi,dt,kmeans,fscore,0.004841347726529277
fff,abi,dt,kmeans,precision,0.10979228486646884
fff,abi,dt,kmeans,recall,0.1450980392156863
fff,abi,knn,kmeans,accuracy,0.9815057712486883
fff,abi,knn,kmeans,fscore,0.00026229508196721314
fff,abi,knn,kmeans,precision,0.06451612903225806
fff,abi,knn,kmeans,recall,0.00784313725490196
fff,abi,nb,kmeans,accuracy,0.5192156348373557
fff,abi,nb,kmeans,fscore,0.026532064971203
fff,abi,nb,kmeans,precision,0.02738445097515362
fff,abi,nb,kmeans,recall,0.803921568627451
