module,attributes,classifier,technique,metric,score
fff,asmt,dt,pca,accuracy,0.9832764952780693
fff,asmt,dt,pca,fscore,0.0
fff,asmt,dt,pca,precision,0.0
fff,asmt,dt,pca,recall,0.0
fff,asmt,knn,pca,accuracy,0.9832764952780693
fff,asmt,knn,pca,fscore,0.0
fff,asmt,knn,pca,precision,0.0
fff,asmt,knn,pca,recall,0.0
fff,asmt,nb,pca,accuracy,0.9832764952780693
fff,asmt,nb,pca,fscore,0.0
fff,asmt,nb,pca,precision,0.0
fff,asmt,nb,pca,recall,0.0
fff,asmt,nn,pca,accuracy,0.9832764952780693
fff,asmt,nn,pca,fscore,0.0
fff,asmt,nn,pca,precision,0.0
fff,asmt,nn,pca,recall,0.0
fff,asmt,rf,pca,accuracy,0.9832764952780693
fff,asmt,rf,pca,fscore,0.0
fff,asmt,rf,pca,precision,0.0
fff,asmt,rf,pca,recall,0.0
fff,asmt,svm,pca,accuracy,0.9832764952780693
fff,asmt,svm,pca,fscore,0.0
fff,asmt,svm,pca,precision,0.0
fff,asmt,svm,pca,recall,0.0
fff,stdnt,dt,pca,accuracy,0.97599685204617
fff,stdnt,dt,pca,fscore,0.0005245213742460005
fff,stdnt,dt,pca,precision,0.01568627450980392
fff,stdnt,dt,pca,recall,0.03361344537815126
fff,stdnt,knn,pca,accuracy,0.977898740818468
fff,stdnt,knn,pca,fscore,0.00026229508196721314
fff,stdnt,knn,pca,precision,0.00784313725490196
fff,stdnt,knn,pca,recall,0.023255813953488372
fff,stdnt,nb,pca,accuracy,0.9685860440713536
fff,stdnt,nb,pca,fscore,0.0015727391874180866
fff,stdnt,nb,pca,precision,0.047058823529411764
fff,stdnt,nb,pca,recall,0.04838709677419355
fff,stdnt,nn,pca,accuracy,0.9832764952780693
fff,stdnt,nn,pca,fscore,0.0
fff,stdnt,nn,pca,precision,0.0
fff,stdnt,nn,pca,recall,0.0
fff,stdnt,rf,pca,accuracy,0.9784233997901364
fff,stdnt,rf,pca,fscore,0.0
fff,stdnt,rf,pca,precision,0.0
fff,stdnt,rf,pca,recall,0.0
fff,stdnt,svm,pca,accuracy,0.9832764952780693
fff,stdnt,svm,pca,fscore,0.0
fff,stdnt,svm,pca,precision,0.0
fff,stdnt,svm,pca,recall,0.0
fff,abd,dt,pca,accuracy,0.9594045120671564
fff,abd,dt,pca,fscore,0.0032737510639690957
fff,abd,dt,pca,precision,0.09803921568627451
fff,abd,dt,pca,recall,0.06038647342995169
fff,abd,knn,pca,accuracy,0.9813746065057712
fff,abd,knn,pca,fscore,0.00039341682512622126
fff,abd,knn,pca,precision,0.011764705882352941
fff,abd,knn,pca,recall,0.08571428571428572
fff,abd,nb,pca,accuracy,0.9585519412381952
fff,abd,nb,pca,fscore,0.009789205769105266
fff,abd,nb,pca,precision,0.29411764705882354
fff,abd,nb,pca,recall,0.14231499051233396
fff,abd,nn,pca,accuracy,0.981702518363064
fff,abd,nn,pca,fscore,0.0001311561413863204
fff,abd,nn,pca,precision,0.00392156862745098
fff,abd,nn,pca,recall,0.038461538461538464
fff,abd,rf,pca,accuracy,0.983014165792235
fff,abd,rf,pca,fscore,0.0
fff,abd,rf,pca,precision,0.0
fff,abd,rf,pca,recall,0.0
fff,abd,svm,pca,accuracy,0.9832764952780693
fff,abd,svm,pca,fscore,0.0
fff,abd,svm,pca,precision,0.0
fff,abd,svm,pca,recall,0.0
fff,abi,dt,pca,accuracy,0.9647166841552991
fff,abi,dt,pca,fscore,0.004449679361340139
fff,abi,dt,pca,precision,0.13333333333333333
fff,abi,dt,pca,recall,0.09686609686609686
