module,attributes,classifier,technique,metric,score
fff,asmt,dt,ae,accuracy,0.9832764952780693
fff,asmt,dt,ae,fscore,0.0
fff,asmt,dt,ae,precision,0.0
fff,asmt,dt,ae,recall,0.0
fff,asmt,knn,ae,accuracy,0.9832764952780693
fff,asmt,knn,ae,fscore,0.0
fff,asmt,knn,ae,precision,0.0
fff,asmt,knn,ae,recall,0.0
fff,asmt,nb,ae,accuracy,0.676088667366212
fff,asmt,nb,ae,fscore,0.02870071105365223
fff,asmt,nb,ae,precision,0.043291731669266774
fff,asmt,nb,ae,recall,0.8705882352941177
fff,asmt,nn,ae,accuracy,0.9832764952780693
fff,asmt,nn,ae,fscore,0.0
fff,asmt,nn,ae,precision,0.0
fff,asmt,nn,ae,recall,0.0
fff,asmt,rf,ae,accuracy,0.9832764952780693
fff,asmt,rf,ae,fscore,0.0
fff,asmt,rf,ae,precision,0.0
fff,asmt,rf,ae,recall,0.0
fff,asmt,svm,ae,accuracy,0.9832764952780693
fff,asmt,svm,ae,fscore,0.0
fff,asmt,svm,ae,precision,0.0
fff,asmt,svm,ae,recall,0.0
fff,stdnt,dt,ae,accuracy,0.967799055613851
fff,stdnt,dt,ae,fscore,0.0006556087327083197
fff,stdnt,dt,ae,precision,0.02032520325203252
fff,stdnt,dt,ae,recall,0.0196078431372549
fff,stdnt,knn,ae,accuracy,0.975406610703043
fff,stdnt,knn,ae,fscore,0.0001311561413863204
fff,stdnt,knn,ae,precision,0.00819672131147541
fff,stdnt,knn,ae,recall,0.00392156862745098
fff,stdnt,nb,ae,accuracy,0.1723504721930745
fff,stdnt,nb,ae,fscore,0.029974160206718347
fff,stdnt,nb,ae,precision,0.01808402837321693
fff,stdnt,nb,ae,recall,0.9098039215686274
fff,stdnt,nn,ae,accuracy,0.9824895068205667
fff,stdnt,nn,ae,fscore,0.0
fff,stdnt,nn,ae,precision,0.0
fff,stdnt,nn,ae,recall,0.0
fff,stdnt,rf,ae,accuracy,0.978620146904512
fff,stdnt,rf,ae,fscore,0.00026229508196721314
fff,stdnt,rf,ae,precision,0.02666666666666667
fff,stdnt,rf,ae,recall,0.00784313725490196
fff,stdnt,svm,ae,accuracy,0.9832764952780693
fff,stdnt,svm,ae,fscore,0.0
fff,stdnt,svm,ae,precision,0.0
fff,stdnt,svm,ae,recall,0.0
fff,abd,dt,ae,accuracy,0.9568467995802729
fff,abd,dt,ae,fscore,0.002227317392728464
fff,abd,dt,ae,precision,0.038901601830663615
fff,abd,dt,ae,recall,0.06666666666666667
fff,abd,knn,ae,accuracy,0.9816369359916055
fff,abd,knn,ae,fscore,0.0005245213742460005
fff,abd,knn,ae,precision,0.12121212121212122
fff,abd,knn,ae,recall,0.01568627450980392
fff,abd,nb,ae,accuracy,0.25236096537250785
fff,abd,nb,ae,fscore,0.031245965138799226
fff,abd,nb,ae,precision,0.020810043855877546
fff,abd,nb,ae,recall,0.9490196078431372
fff,abd,nn,ae,accuracy,0.9807187827911857
fff,abd,nn,ae,fscore,0.0001311561413863204
fff,abd,nn,ae,precision,0.024390243902439025
fff,abd,nn,ae,recall,0.00392156862745098
fff,abd,rf,ae,accuracy,0.9832109129066107
fff,abd,rf,ae,fscore,0.0001311561413863204
fff,abd,rf,ae,precision,0.3333333333333333
fff,abd,rf,ae,recall,0.00392156862745098
fff,abd,svm,ae,accuracy,0.9832764952780693
fff,abd,svm,ae,fscore,0.0
fff,abd,svm,ae,precision,0.0
fff,abd,svm,ae,recall,0.0
fff,abi,dt,ae,accuracy,0.9615687303252886
fff,abi,dt,ae,fscore,0.002881466928618206
fff,abi,dt,ae,precision,0.058666666666666666
fff,abi,dt,ae,recall,0.08627450980392157
fff,abi,knn,ae,accuracy,0.9812434417628542
fff,abi,knn,ae,fscore,0.0005245213742460005
fff,abi,knn,ae,precision,0.10256410256410256
fff,abi,knn,ae,recall,0.01568627450980392
fff,abi,nb,ae,accuracy,0.39290398740818466
fff,abi,nb,ae,fscore,0.029210288225410365
fff,abi,nb,ae,precision,0.0239052253014597
fff,abi,nb,ae,recall,0.8862745098039215
fff,abi,nn,ae,accuracy,0.959601259181532
fff,abi,nn,ae,fscore,0.001965537574526633
fff,abi,nn,ae,precision,0.03836317135549872
fff,abi,nn,ae,recall,0.058823529411764705
fff,abi,rf,ae,accuracy,0.983014165792235
fff,abi,rf,ae,fscore,0.0
fff,abi,rf,ae,precision,0.0
fff,abi,rf,ae,recall,0.0
fff,abi,svm,ae,accuracy,0.9832764952780693
fff,abi,svm,ae,fscore,0.0
fff,abi,svm,ae,precision,0.0
fff,abi,svm,ae,recall,0.0
fff,asmt_stdnt,dt,ae,accuracy,0.9581584470094439
fff,asmt_stdnt,dt,ae,fscore,0.0026198585276395073
fff,asmt_stdnt,dt,ae,precision,0.04728132387706856
fff,asmt_stdnt,dt,ae,recall,0.0784313725490196
fff,asmt_stdnt,knn,ae,accuracy,0.9822271773347324
fff,asmt_stdnt,knn,ae,fscore,0.00026229508196721314
fff,asmt_stdnt,knn,ae,precision,0.1
