module,attributes,classifier,technique,metric,score
ggg,asmt,ae,smote,accuracy,0.7581384685923888
ggg,asmt,ae,smote,fscore,0.01817355747387551
ggg,asmt,ae,smote,precision,0.038535645472061654
ggg,asmt,ae,smote,recall,0.41237113402061853
ggg,stdnt,ae,smote,accuracy,0.6412196240256763
ggg,stdnt,ae,smote,fscore,0.013208836255978138
ggg,stdnt,ae,smote,precision,0.019003931847968544
ggg,stdnt,ae,smote,recall,0.29896907216494845
ggg,abd,ae,smote,accuracy,0.797799174690509
ggg,abd,ae,smote,fscore,0.01772324471710975
ggg,abd,ae,smote,precision,0.04519119351100811
ggg,abd,ae,smote,recall,0.4020618556701031
ggg,abi,ae,smote,accuracy,0.5907840440165062
ggg,abi,ae,smote,fscore,0.03069977426636569
ggg,abi,ae,smote,precision,0.03728070175438596
ggg,abi,ae,smote,recall,0.7010309278350515
ggg,asmt_stdnt,ae,smote,accuracy,0.8248509857863365
ggg,asmt_stdnt,ae,smote,fscore,0.011850501367365542
ggg,asmt_stdnt,ae,smote,precision,0.03616133518776078
ggg,asmt_stdnt,ae,smote,recall,0.26804123711340205
ggg,asmt_abd,ae,smote,accuracy,0.8145346171480972
ggg,asmt_abd,ae,smote,fscore,0.01591994541733
ggg,asmt_abd,ae,smote,precision,0.04475703324808184
ggg,asmt_abd,ae,smote,recall,0.36082474226804123
ggg,asmt_abi,ae,smote,accuracy,0.8085740486015589
ggg,asmt_abi,ae,smote,fscore,0.023561395559583146
ggg,asmt_abi,ae,smote,precision,0.06175771971496437
ggg,asmt_abi,ae,smote,recall,0.5360824742268041
ggg,stdnt_abd,ae,smote,accuracy,0.8656579550664832
ggg,stdnt_abd,ae,smote,fscore,0.006398537477148081
ggg,stdnt_abd,ae,smote,precision,0.027079303675048357
ggg,stdnt_abd,ae,smote,recall,0.14432989690721648
ggg,stdnt_abi,ae,smote,accuracy,0.9078404401650619
ggg,stdnt_abi,ae,smote,fscore,0.005030871255431054
ggg,stdnt_abi,ae,smote,precision,0.03363914373088685
ggg,stdnt_abi,ae,smote,recall,0.1134020618556701
ggg,asmt_stdnt_abd,ae,smote,accuracy,0.7751031636863824
ggg,asmt_stdnt_abd,ae,smote,fscore,0.014113362167083997
ggg,asmt_stdnt_abd,ae,smote,precision,0.03276955602536998
ggg,asmt_stdnt_abd,ae,smote,recall,0.31958762886597936
ggg,asmt_stdnt_abi,ae,smote,accuracy,0.7141219624025676
ggg,asmt_stdnt_abi,ae,smote,fscore,0.01907356948228883
ggg,asmt_stdnt_abi,ae,smote,precision,0.03403565640194489
ggg,asmt_stdnt_abi,ae,smote,recall,0.4329896907216495
