module,attributes,classifier,technique,metric,score
ggg,asmt,ff,pca,accuracy,0.9777624942686841
ggg,asmt,ff,pca,fscore,0.0
ggg,asmt,ff,pca,precision,0.0
ggg,asmt,ff,pca,recall,0.0
ggg,stdnt,ff,pca,accuracy,0.9777624942686841
ggg,stdnt,ff,pca,fscore,0.0
ggg,stdnt,ff,pca,precision,0.0
ggg,stdnt,ff,pca,recall,0.0
ggg,abd,ff,pca,accuracy,0.9777624942686841
ggg,abd,ff,pca,fscore,0.0
ggg,abd,ff,pca,precision,0.0
ggg,abd,ff,pca,recall,0.0
ggg,abi,ff,pca,accuracy,0.9777624942686841
ggg,abi,ff,pca,fscore,0.0
ggg,abi,ff,pca,precision,0.0
ggg,abi,ff,pca,recall,0.0
ggg,asmt_stdnt,ff,pca,accuracy,0.9777624942686841
ggg,asmt_stdnt,ff,pca,fscore,0.0
ggg,asmt_stdnt,ff,pca,precision,0.0
ggg,asmt_stdnt,ff,pca,recall,0.0
ggg,asmt_abd,ff,pca,accuracy,0.9777624942686841
ggg,asmt_abd,ff,pca,fscore,0.0
ggg,asmt_abd,ff,pca,precision,0.0
ggg,asmt_abd,ff,pca,recall,0.0
ggg,asmt_abi,ff,pca,accuracy,0.9777624942686841
ggg,asmt_abi,ff,pca,fscore,0.0
ggg,asmt_abi,ff,pca,precision,0.0
ggg,asmt_abi,ff,pca,recall,0.0
ggg,stdnt_abd,ff,pca,accuracy,0.9777624942686841
ggg,stdnt_abd,ff,pca,fscore,0.0
ggg,stdnt_abd,ff,pca,precision,0.0
ggg,stdnt_abd,ff,pca,recall,0.0
ggg,stdnt_abi,ff,pca,accuracy,0.9777624942686841
ggg,stdnt_abi,ff,pca,fscore,0.0
ggg,stdnt_abi,ff,pca,precision,0.0
ggg,stdnt_abi,ff,pca,recall,0.0
ggg,asmt_stdnt_abd,ff,pca,accuracy,0.9777624942686841
ggg,asmt_stdnt_abd,ff,pca,fscore,0.0
ggg,asmt_stdnt_abd,ff,pca,precision,0.0
ggg,asmt_stdnt_abd,ff,pca,recall,0.0
ggg,asmt_stdnt_abi,ff,pca,accuracy,0.9777624942686841
ggg,asmt_stdnt_abi,ff,pca,fscore,0.0
ggg,asmt_stdnt_abi,ff,pca,precision,0.0
ggg,asmt_stdnt_abi,ff,pca,recall,0.0
