module,attributes,classifier,technique,metric,score
ggg,asmt,ff,smote,accuracy,0.7581384685923888
ggg,asmt,ff,smote,fscore,0.01817355747387551
ggg,asmt,ff,smote,precision,0.038535645472061654
ggg,asmt,ff,smote,recall,0.41237113402061853
ggg,stdnt,ff,smote,accuracy,0.7909215955983494
ggg,stdnt,ff,smote,fscore,0.00821917808219178
ggg,stdnt,ff,smote,precision,0.021151586368977675
ggg,stdnt,ff,smote,recall,0.18556701030927836
ggg,abd,ff,smote,accuracy,0.8569463548830811
ggg,abd,ff,smote,fscore,0.015468607825295723
ggg,abd,ff,smote,precision,0.05714285714285714
ggg,abd,ff,smote,recall,0.35051546391752575
ggg,abi,ff,smote,accuracy,0.6632278771205868
ggg,abi,ff,smote,fscore,0.025350837483023993
ggg,abi,ff,smote,precision,0.03773584905660377
ggg,abi,ff,smote,recall,0.5773195876288659
ggg,asmt_stdnt,ff,smote,accuracy,0.8931682714351215
ggg,asmt_stdnt,ff,smote,fscore,0.005030871255431054
ggg,asmt_stdnt,ff,smote,precision,0.028132992327365727
ggg,asmt_stdnt,ff,smote,recall,0.1134020618556701
ggg,asmt_abd,ff,smote,accuracy,0.8615314076111875
ggg,asmt_abd,ff,smote,fscore,0.013208836255978138
ggg,asmt_abd,ff,smote,precision,0.05132743362831858
ggg,asmt_abd,ff,smote,recall,0.29896907216494845
ggg,asmt_abi,ff,smote,accuracy,0.728794131132508
ggg,asmt_abi,ff,smote,fscore,0.022217184311947403
ggg,asmt_abi,ff,smote,precision,0.041385135135135136
ggg,asmt_abi,ff,smote,recall,0.5051546391752577
ggg,stdnt_abd,ff,smote,accuracy,0.9436038514442916
ggg,stdnt_abd,ff,smote,fscore,0.0032043945983062485
ggg,stdnt_abd,ff,smote,precision,0.04294478527607362
ggg,stdnt_abd,ff,smote,recall,0.07216494845360824
ggg,stdnt_abi,ff,smote,accuracy,0.937414030261348
ggg,stdnt_abi,ff,smote,fscore,0.0027472527472527475
ggg,stdnt_abi,ff,smote,precision,0.031914893617021274
ggg,stdnt_abi,ff,smote,recall,0.061855670103092786
ggg,asmt_stdnt_abd,ff,smote,accuracy,0.9429160935350757
ggg,asmt_stdnt_abd,ff,smote,fscore,0.00821917808219178
ggg,asmt_stdnt_abd,ff,smote,precision,0.09574468085106383
ggg,asmt_stdnt_abd,ff,smote,recall,0.18556701030927836
ggg,asmt_stdnt_abi,ff,smote,accuracy,0.9520861989912884
ggg,asmt_stdnt_abi,ff,smote,fscore,0.0027472527472527475
ggg,asmt_stdnt_abi,ff,smote,precision,0.04838709677419355
ggg,asmt_stdnt_abi,ff,smote,recall,0.061855670103092786
