module,attributes,classifier,technique,metric,score
ggg,asmt,dt,kmeans,accuracy,0.9777624942686841
ggg,asmt,dt,kmeans,fscore,0.0
ggg,asmt,dt,kmeans,precision,0.0
ggg,asmt,dt,kmeans,recall,0.0
ggg,asmt,knn,kmeans,accuracy,0.9777624942686841
ggg,asmt,knn,kmeans,fscore,0.0
ggg,asmt,knn,kmeans,precision,0.0
ggg,asmt,knn,kmeans,recall,0.0
ggg,asmt,nb,kmeans,accuracy,0.9777624942686841
ggg,asmt,nb,kmeans,fscore,0.0
ggg,asmt,nb,kmeans,precision,0.0
ggg,asmt,nb,kmeans,recall,0.0
ggg,asmt,nn,kmeans,accuracy,0.9777624942686841
ggg,asmt,nn,kmeans,fscore,0.0
ggg,asmt,nn,kmeans,precision,0.0
ggg,asmt,nn,kmeans,recall,0.0
ggg,asmt,rf,kmeans,accuracy,0.9777624942686841
ggg,asmt,rf,kmeans,fscore,0.0
ggg,asmt,rf,kmeans,precision,0.0
ggg,asmt,rf,kmeans,recall,0.0
ggg,asmt,svm,kmeans,accuracy,0.9777624942686841
ggg,asmt,svm,kmeans,fscore,0.0
ggg,asmt,svm,kmeans,precision,0.0
ggg,asmt,svm,kmeans,recall,0.0
ggg,stdnt,dt,kmeans,accuracy,0.9777624942686841
ggg,stdnt,dt,kmeans,fscore,0.0
ggg,stdnt,dt,kmeans,precision,0.0
ggg,stdnt,dt,kmeans,recall,0.0
ggg,stdnt,knn,kmeans,accuracy,0.9777624942686841
ggg,stdnt,knn,kmeans,fscore,0.0
ggg,stdnt,knn,kmeans,precision,0.0
ggg,stdnt,knn,kmeans,recall,0.0
ggg,stdnt,nb,kmeans,accuracy,0.9777624942686841
ggg,stdnt,nb,kmeans,fscore,0.0
ggg,stdnt,nb,kmeans,precision,0.0
ggg,stdnt,nb,kmeans,recall,0.0
ggg,stdnt,nn,kmeans,accuracy,0.9777624942686841
ggg,stdnt,nn,kmeans,fscore,0.0
ggg,stdnt,nn,kmeans,precision,0.0
ggg,stdnt,nn,kmeans,recall,0.0
ggg,stdnt,rf,kmeans,accuracy,0.9777624942686841
ggg,stdnt,rf,kmeans,fscore,0.0
ggg,stdnt,rf,kmeans,precision,0.0
ggg,stdnt,rf,kmeans,recall,0.0
ggg,stdnt,svm,kmeans,accuracy,0.9777624942686841
ggg,stdnt,svm,kmeans,fscore,0.0
ggg,stdnt,svm,kmeans,precision,0.0
ggg,stdnt,svm,kmeans,recall,0.0
ggg,abd,dt,kmeans,accuracy,0.9559834938101788
ggg,abd,dt,kmeans,fscore,0.0036613272311212816
ggg,abd,dt,kmeans,precision,0.07207207207207207
ggg,abd,dt,kmeans,recall,0.08247422680412371
ggg,abd,knn,kmeans,accuracy,0.9770747363594682
ggg,abd,knn,kmeans,fscore,0.0
ggg,abd,knn,kmeans,precision,0.0
ggg,abd,knn,kmeans,recall,0.0
ggg,abd,nb,kmeans,accuracy,0.6783585511233379
ggg,abd,nb,kmeans,fscore,0.011850501367365542
ggg,abd,nb,kmeans,precision,0.01914580265095729
ggg,abd,nb,kmeans,recall,0.26804123711340205
ggg,abd,nn,kmeans,accuracy,0.9777624942686841
ggg,abd,nn,kmeans,fscore,0.00045840018336007336
ggg,abd,nn,kmeans,precision,0.5
ggg,abd,nn,kmeans,recall,0.010309278350515464
ggg,abd,rf,kmeans,accuracy,0.9773039889958735
ggg,abd,rf,kmeans,fscore,0.0009165902841429881
ggg,abd,rf,kmeans,precision,0.3333333333333333
ggg,abd,rf,kmeans,recall,0.020618556701030927
ggg,abd,svm,kmeans,accuracy,0.9777624942686841
ggg,abd,svm,kmeans,fscore,0.0
ggg,abd,svm,kmeans,precision,0.0
ggg,abd,svm,kmeans,recall,0.0
ggg,abi,dt,kmeans,accuracy,0.9649243466299863
ggg,abi,dt,kmeans,fscore,0.002289901534234028
ggg,abi,dt,kmeans,precision,0.07575757575757576
ggg,abi,dt,kmeans,recall,0.05154639175257732
ggg,abi,knn,kmeans,accuracy,0.9779917469050894
ggg,abi,knn,kmeans,fscore,0.0013745704467353953
ggg,abi,knn,kmeans,precision,0.6
ggg,abi,knn,kmeans,recall,0.030927835051546393
ggg,abi,nb,kmeans,accuracy,0.9353507565337001
ggg,abi,nb,kmeans,fscore,0.0027472527472527475
ggg,abi,nb,kmeans,precision,0.030456852791878174
ggg,abi,nb,kmeans,recall,0.061855670103092786
ggg,abi,nn,kmeans,accuracy,0.9775332416322787
ggg,abi,nn,kmeans,fscore,0.0
ggg,abi,nn,kmeans,precision,0.0
ggg,abi,nn,kmeans,recall,0.0
ggg,abi,rf,kmeans,accuracy,0.9779917469050894
ggg,abi,rf,kmeans,fscore,0.00045840018336007336
ggg,abi,rf,kmeans,precision,1.0
ggg,abi,rf,kmeans,recall,0.010309278350515464
ggg,abi,svm,kmeans,accuracy,0.9777624942686841
ggg,abi,svm,kmeans,fscore,0.0
ggg,abi,svm,kmeans,precision,0.0
ggg,abi,svm,kmeans,recall,0.0
ggg,asmt_stdnt,dt,kmeans,accuracy,0.9713434204493352
ggg,asmt_stdnt,dt,kmeans,fscore,0.0013745704467353953
ggg,asmt_stdnt,dt,kmeans,precision,0.08823529411764706
ggg,asmt_stdnt,dt,kmeans,recall,0.030927835051546393
ggg,asmt_stdnt,knn,kmeans,accuracy,0.9775332416322787
ggg,asmt_stdnt,knn,kmeans,fscore,0.0
ggg,asmt_stdnt,knn,kmeans,precision,0.0
ggg,asmt_stdnt,knn,kmeans,recall,0.0
ggg,asmt_stdnt,nb,kmeans,accuracy,0.7638697845025217
ggg,asmt_stdnt,nb,kmeans,fscore,0.01366120218579235
ggg,asmt_stdnt,nb,kmeans,precision,0.030211480362537766
ggg,asmt_stdnt,nb,kmeans,recall,0.30927835051546393
ggg,asmt_stdnt,nn,kmeans,accuracy,0.9775332416322787
ggg,asmt_stdnt,nn,kmeans,fscore,0.0
ggg,asmt_stdnt,nn,kmeans,precision,0.0
ggg,asmt_stdnt,nn,kmeans,recall,0.0
ggg,asmt_stdnt,rf,kmeans,accuracy,0.974782209995415
ggg,asmt_stdnt,rf,kmeans,fscore,0.00045840018336007336
ggg,asmt_stdnt,rf,kmeans,precision,0.06666666666666667
ggg,asmt_stdnt,rf,kmeans,recall,0.010309278350515464
ggg,asmt_stdnt,svm,kmeans,accuracy,0.9777624942686841
ggg,asmt_stdnt,svm,kmeans,fscore,0.0
ggg,asmt_stdnt,svm,kmeans,precision,0.0
ggg,asmt_stdnt,svm,kmeans,recall,0.0
ggg,asmt_abd,dt,kmeans,accuracy,0.9585052728106374
ggg,asmt_abd,dt,kmeans,fscore,0.006854009595613434
ggg,asmt_abd,dt,kmeans,precision,0.13157894736842105
ggg,asmt_abd,dt,kmeans,recall,0.15463917525773196
ggg,asmt_abd,knn,kmeans,accuracy,0.9773039889958735
ggg,asmt_abd,knn,kmeans,fscore,0.00045840018336007336
ggg,asmt_abd,knn,kmeans,precision,0.25
ggg,asmt_abd,knn,kmeans,recall,0.010309278350515464
ggg,asmt_abd,nb,kmeans,accuracy,0.4919761577258138
ggg,asmt_abd,nb,kmeans,fscore,0.023561395559583146
ggg,asmt_abd,nb,kmeans,precision,0.023391812865497075
ggg,asmt_abd,nb,kmeans,recall,0.5360824742268041
