module,attributes,classifier,technique,metric,score
ggg,asmt,dt,pca,accuracy,0.9777624942686841
ggg,asmt,dt,pca,fscore,0.0
ggg,asmt,dt,pca,precision,0.0
ggg,asmt,dt,pca,recall,0.0
ggg,asmt,knn,pca,accuracy,0.9777624942686841
ggg,asmt,knn,pca,fscore,0.0
ggg,asmt,knn,pca,precision,0.0
ggg,asmt,knn,pca,recall,0.0
ggg,asmt,nb,pca,accuracy,0.9777624942686841
ggg,asmt,nb,pca,fscore,0.0
ggg,asmt,nb,pca,precision,0.0
ggg,asmt,nb,pca,recall,0.0
ggg,asmt,nn,pca,accuracy,0.9777624942686841
ggg,asmt,nn,pca,fscore,0.0
ggg,asmt,nn,pca,precision,0.0
ggg,asmt,nn,pca,recall,0.0
ggg,asmt,rf,pca,accuracy,0.9777624942686841
ggg,asmt,rf,pca,fscore,0.0
ggg,asmt,rf,pca,precision,0.0
ggg,asmt,rf,pca,recall,0.0
ggg,asmt,svm,pca,accuracy,0.9777624942686841
ggg,asmt,svm,pca,fscore,0.0
ggg,asmt,svm,pca,precision,0.0
ggg,asmt,svm,pca,recall,0.0
ggg,stdnt,dt,pca,accuracy,0.9777624942686841
ggg,stdnt,dt,pca,fscore,0.0
ggg,stdnt,dt,pca,precision,0.0
ggg,stdnt,dt,pca,recall,0.0
ggg,stdnt,knn,pca,accuracy,0.9777624942686841
ggg,stdnt,knn,pca,fscore,0.0
ggg,stdnt,knn,pca,precision,0.0
ggg,stdnt,knn,pca,recall,0.0
ggg,stdnt,nb,pca,accuracy,0.9401650618982118
ggg,stdnt,nb,pca,fscore,0.0032043945983062485
ggg,stdnt,nb,pca,precision,0.03932584269662921
ggg,stdnt,nb,pca,recall,0.07216494845360824
ggg,stdnt,nn,pca,accuracy,0.9777624942686841
ggg,stdnt,nn,pca,fscore,0.0
ggg,stdnt,nn,pca,precision,0.0
ggg,stdnt,nn,pca,recall,0.0
ggg,stdnt,rf,pca,accuracy,0.9777624942686841
ggg,stdnt,rf,pca,fscore,0.0
ggg,stdnt,rf,pca,precision,0.0
ggg,stdnt,rf,pca,recall,0.0
ggg,stdnt,svm,pca,accuracy,0.9777624942686841
ggg,stdnt,svm,pca,fscore,0.0
ggg,stdnt,svm,pca,precision,0.0
ggg,stdnt,svm,pca,recall,0.0
ggg,abd,dt,pca,accuracy,0.9644658413571756
ggg,abd,dt,pca,fscore,0.0032043945983062485
ggg,abd,dt,pca,precision,0.09722222222222222
ggg,abd,dt,pca,recall,0.07216494845360824
ggg,abd,knn,pca,accuracy,0.9775332416322787
ggg,abd,knn,pca,fscore,0.00045840018336007336
ggg,abd,knn,pca,precision,0.3333333333333333
ggg,abd,knn,pca,recall,0.010309278350515464
ggg,abd,nb,pca,accuracy,0.9433745988078863
ggg,abd,nb,pca,fscore,0.0027472527472527475
ggg,abd,nb,pca,precision,0.037037037037037035
ggg,abd,nb,pca,recall,0.061855670103092786
ggg,abd,nn,pca,accuracy,0.9777624942686841
ggg,abd,nn,pca,fscore,0.0
ggg,abd,nn,pca,precision,0.0
ggg,abd,nn,pca,recall,0.0
ggg,abd,rf,pca,accuracy,0.9773039889958735
ggg,abd,rf,pca,fscore,0.0
ggg,abd,rf,pca,precision,0.0
ggg,abd,rf,pca,recall,0.0
ggg,abd,svm,pca,accuracy,0.9777624942686841
ggg,abd,svm,pca,fscore,0.0
ggg,abd,svm,pca,precision,0.0
ggg,abd,svm,pca,recall,0.0
ggg,abi,dt,pca,accuracy,0.9706556625401193
ggg,abi,dt,pca,fscore,0.0032043945983062485
ggg,abi,dt,pca,precision,0.15555555555555556
ggg,abi,dt,pca,recall,0.07216494845360824
ggg,abi,knn,pca,accuracy,0.9775332416322787
ggg,abi,knn,pca,fscore,0.00045840018336007336
ggg,abi,knn,pca,precision,0.3333333333333333
ggg,abi,knn,pca,recall,0.010309278350515464
ggg,abi,nb,pca,accuracy,0.974782209995415
ggg,abi,nb,pca,fscore,0.0
ggg,abi,nb,pca,precision,0.0
ggg,abi,nb,pca,recall,0.0
ggg,abi,nn,pca,accuracy,0.9766162310866575
ggg,abi,nn,pca,fscore,0.00045840018336007336
ggg,abi,nn,pca,precision,0.14285714285714285
ggg,abi,nn,pca,recall,0.010309278350515464
ggg,abi,rf,pca,accuracy,0.9777624942686841
ggg,abi,rf,pca,fscore,0.00045840018336007336
ggg,abi,rf,pca,precision,0.5
ggg,abi,rf,pca,recall,0.010309278350515464
ggg,abi,svm,pca,accuracy,0.9777624942686841
ggg,abi,svm,pca,fscore,0.0
ggg,abi,svm,pca,precision,0.0
ggg,abi,svm,pca,recall,0.0
ggg,asmt_stdnt,dt,pca,accuracy,0.9711141678129298
ggg,asmt_stdnt,dt,pca,fscore,0.002289901534234028
ggg,asmt_stdnt,dt,pca,precision,0.1282051282051282
ggg,asmt_stdnt,dt,pca,recall,0.05154639175257732
ggg,asmt_stdnt,knn,pca,accuracy,0.9777624942686841
ggg,asmt_stdnt,knn,pca,fscore,0.0
ggg,asmt_stdnt,knn,pca,precision,0.0
ggg,asmt_stdnt,knn,pca,recall,0.0
ggg,asmt_stdnt,nb,pca,accuracy,0.9403943145346172
ggg,asmt_stdnt,nb,pca,fscore,0.0032043945983062485
ggg,asmt_stdnt,nb,pca,precision,0.03954802259887006
ggg,asmt_stdnt,nb,pca,recall,0.07216494845360824
ggg,asmt_stdnt,nn,pca,accuracy,0.9777624942686841
ggg,asmt_stdnt,nn,pca,fscore,0.0
ggg,asmt_stdnt,nn,pca,precision,0.0
ggg,asmt_stdnt,nn,pca,recall,0.0
ggg,asmt_stdnt,rf,pca,accuracy,0.9756992205410362
ggg,asmt_stdnt,rf,pca,fscore,0.0
ggg,asmt_stdnt,rf,pca,precision,0.0
ggg,asmt_stdnt,rf,pca,recall,0.0
ggg,asmt_stdnt,svm,pca,accuracy,0.9777624942686841
ggg,asmt_stdnt,svm,pca,fscore,0.0
ggg,asmt_stdnt,svm,pca,precision,0.0
ggg,asmt_stdnt,svm,pca,recall,0.0
ggg,asmt_abd,dt,pca,accuracy,0.9614855570839065
ggg,asmt_abd,dt,pca,fscore,0.002289901534234028
ggg,asmt_abd,dt,pca,precision,0.06172839506172839
ggg,asmt_abd,dt,pca,recall,0.05154639175257732
ggg,asmt_abd,knn,pca,accuracy,0.9773039889958735
ggg,asmt_abd,knn,pca,fscore,0.00045840018336007336
ggg,asmt_abd,knn,pca,precision,0.25
ggg,asmt_abd,knn,pca,recall,0.010309278350515464
ggg,asmt_abd,nb,pca,accuracy,0.9502521779000459
ggg,asmt_abd,nb,pca,fscore,0.002289901534234028
ggg,asmt_abd,nb,pca,precision,0.038461538461538464
ggg,asmt_abd,nb,pca,recall,0.05154639175257732
ggg,asmt_abd,nn,pca,accuracy,0.9768454837230628
ggg,asmt_abd,nn,pca,fscore,0.0
ggg,asmt_abd,nn,pca,precision,0.0
ggg,asmt_abd,nn,pca,recall,0.0
ggg,asmt_abd,rf,pca,accuracy,0.9775332416322787
ggg,asmt_abd,rf,pca,fscore,0.0009165902841429881
ggg,asmt_abd,rf,pca,precision,0.4
ggg,asmt_abd,rf,pca,recall,0.020618556701030927
ggg,asmt_abd,svm,pca,accuracy,0.9777624942686841
ggg,asmt_abd,svm,pca,fscore,0.0
ggg,asmt_abd,svm,pca,precision,0.0
ggg,asmt_abd,svm,pca,recall,0.0
ggg,asmt_abi,dt,pca,accuracy,0.9685923888124713
