module,attributes,classifier,technique,metric,score
ggg,asmt,dt,ae,accuracy,0.9777624942686841
ggg,asmt,dt,ae,fscore,0.0
ggg,asmt,dt,ae,precision,0.0
ggg,asmt,dt,ae,recall,0.0
ggg,asmt,knn,ae,accuracy,0.9777624942686841
ggg,asmt,knn,ae,fscore,0.0
ggg,asmt,knn,ae,precision,0.0
ggg,asmt,knn,ae,recall,0.0
ggg,asmt,nb,ae,accuracy,0.7581384685923888
ggg,asmt,nb,ae,fscore,0.01817355747387551
ggg,asmt,nb,ae,precision,0.038535645472061654
ggg,asmt,nb,ae,recall,0.41237113402061853
ggg,asmt,nn,ae,accuracy,0.9777624942686841
ggg,asmt,nn,ae,fscore,0.0
ggg,asmt,nn,ae,precision,0.0
ggg,asmt,nn,ae,recall,0.0
ggg,asmt,rf,ae,accuracy,0.9777624942686841
ggg,asmt,rf,ae,fscore,0.0
ggg,asmt,rf,ae,precision,0.0
ggg,asmt,rf,ae,recall,0.0
ggg,asmt,svm,ae,accuracy,0.9777624942686841
ggg,asmt,svm,ae,fscore,0.0
ggg,asmt,svm,ae,precision,0.0
ggg,asmt,svm,ae,recall,0.0
ggg,stdnt,dt,ae,accuracy,0.9688216414488766
ggg,stdnt,dt,ae,fscore,0.00045840018336007336
ggg,stdnt,dt,ae,precision,0.024390243902439025
ggg,stdnt,dt,ae,recall,0.010309278350515464
ggg,stdnt,knn,ae,accuracy,0.9777624942686841
ggg,stdnt,knn,ae,fscore,0.0
ggg,stdnt,knn,ae,precision,0.0
ggg,stdnt,knn,ae,recall,0.0
ggg,stdnt,nb,ae,accuracy,0.09949564419990829
ggg,stdnt,nb,ae,fscore,0.03866906474820144
ggg,stdnt,nb,ae,precision,0.021483887084686484
ggg,stdnt,nb,ae,recall,0.8865979381443299
ggg,stdnt,nn,ae,accuracy,0.9777624942686841
ggg,stdnt,nn,ae,fscore,0.0
ggg,stdnt,nn,ae,precision,0.0
ggg,stdnt,nn,ae,recall,0.0
ggg,stdnt,rf,ae,accuracy,0.9761577258138469
ggg,stdnt,rf,ae,fscore,0.00045840018336007336
ggg,stdnt,rf,ae,precision,0.1111111111111111
ggg,stdnt,rf,ae,recall,0.010309278350515464
ggg,stdnt,svm,ae,accuracy,0.9777624942686841
ggg,stdnt,svm,ae,fscore,0.0
ggg,stdnt,svm,ae,precision,0.0
ggg,stdnt,svm,ae,recall,0.0
ggg,abd,dt,ae,accuracy,0.9628610729023384
ggg,abd,dt,ae,fscore,0.0018323408153916628
ggg,abd,dt,ae,precision,0.0547945205479452
ggg,abd,dt,ae,recall,0.041237113402061855
ggg,abd,knn,ae,accuracy,0.9775332416322787
ggg,abd,knn,ae,fscore,0.00045840018336007336
ggg,abd,knn,ae,precision,0.3333333333333333
ggg,abd,knn,ae,recall,0.010309278350515464
ggg,abd,nb,ae,accuracy,0.20013755158184318
ggg,abd,nb,ae,fscore,0.03910991233985165
ggg,abd,nb,ae,precision,0.024397083567021874
ggg,abd,nb,ae,recall,0.8969072164948454
ggg,abd,nn,ae,accuracy,0.9770747363594682
ggg,abd,nn,ae,fscore,0.0
ggg,abd,nn,ae,precision,0.0
ggg,abd,nn,ae,recall,0.0
ggg,abd,rf,ae,accuracy,0.9773039889958735
ggg,abd,rf,ae,fscore,0.0
ggg,abd,rf,ae,precision,0.0
ggg,abd,rf,ae,recall,0.0
ggg,abd,svm,ae,accuracy,0.9777624942686841
ggg,abd,svm,ae,fscore,0.0
ggg,abd,svm,ae,precision,0.0
ggg,abd,svm,ae,recall,0.0
ggg,abi,dt,ae,accuracy,0.969050894085282
ggg,abi,dt,ae,fscore,0.0036613272311212816
ggg,abi,dt,ae,precision,0.14814814814814814
ggg,abi,dt,ae,recall,0.08247422680412371
ggg,abi,knn,ae,accuracy,0.9784502521779
ggg,abi,knn,ae,fscore,0.0013745704467353953
ggg,abi,knn,ae,precision,1.0
ggg,abi,knn,ae,recall,0.030927835051546393
ggg,abi,nb,ae,accuracy,0.3342503438789546
ggg,abi,nb,ae,fscore,0.037786774628879895
ggg,abi,nb,ae,precision,0.02823529411764706
ggg,abi,nb,ae,recall,0.865979381443299
ggg,abi,nn,ae,accuracy,0.9773039889958735
ggg,abi,nn,ae,fscore,0.0
ggg,abi,nn,ae,precision,0.0
ggg,abi,nn,ae,recall,0.0
ggg,abi,rf,ae,accuracy,0.9777624942686841
ggg,abi,rf,ae,fscore,0.00045840018336007336
ggg,abi,rf,ae,precision,0.5
ggg,abi,rf,ae,recall,0.010309278350515464
ggg,abi,svm,ae,accuracy,0.9777624942686841
ggg,abi,svm,ae,fscore,0.0
ggg,abi,svm,ae,precision,0.0
ggg,abi,svm,ae,recall,0.0
ggg,asmt_stdnt,dt,ae,accuracy,0.9624025676295277
ggg,asmt_stdnt,dt,ae,fscore,0.0009165902841429881
ggg,asmt_stdnt,dt,ae,precision,0.028169014084507043
ggg,asmt_stdnt,dt,ae,recall,0.020618556701030927
ggg,asmt_stdnt,knn,ae,accuracy,0.9768454837230628
ggg,asmt_stdnt,knn,ae,fscore,0.0
ggg,asmt_stdnt,knn,ae,precision,0.0
ggg,asmt_stdnt,knn,ae,recall,0.0
ggg,asmt_stdnt,nb,ae,accuracy,0.218707015130674
ggg,asmt_stdnt,nb,ae,fscore,0.0408713227037952
ggg,asmt_stdnt,nb,ae,precision,0.026052104208416832
ggg,asmt_stdnt,nb,ae,recall,0.9381443298969072
ggg,asmt_stdnt,nn,ae,accuracy,0.9777624942686841
ggg,asmt_stdnt,nn,ae,fscore,0.0
ggg,asmt_stdnt,nn,ae,precision,0.0
ggg,asmt_stdnt,nn,ae,recall,0.0
ggg,asmt_stdnt,rf,ae,accuracy,0.9740944520861989
ggg,asmt_stdnt,rf,ae,fscore,0.0
ggg,asmt_stdnt,rf,ae,precision,0.0
ggg,asmt_stdnt,rf,ae,recall,0.0
ggg,asmt_stdnt,svm,ae,accuracy,0.9777624942686841
ggg,asmt_stdnt,svm,ae,fscore,0.0
ggg,asmt_stdnt,svm,ae,precision,0.0
ggg,asmt_stdnt,svm,ae,recall,0.0
ggg,asmt_abd,dt,ae,accuracy,0.9573590096286108
ggg,asmt_abd,dt,ae,fscore,0.0013745704467353953
ggg,asmt_abd,dt,ae,precision,0.031578947368421054
ggg,asmt_abd,dt,ae,recall,0.030927835051546393
ggg,asmt_abd,knn,ae,accuracy,0.9775332416322787
ggg,asmt_abd,knn,ae,fscore,0.00045840018336007336
ggg,asmt_abd,knn,ae,precision,0.3333333333333333
ggg,asmt_abd,knn,ae,recall,0.010309278350515464
ggg,asmt_abd,nb,ae,accuracy,0.7959651535992663
ggg,asmt_abd,nb,ae,fscore,0.007764329755651975
ggg,asmt_abd,nb,ae,precision,0.020556227327690448
ggg,asmt_abd,nb,ae,recall,0.17525773195876287
ggg,asmt_abd,nn,ae,accuracy,0.9777624942686841
ggg,asmt_abd,nn,ae,fscore,0.0
ggg,asmt_abd,nn,ae,precision,0.0
ggg,asmt_abd,nn,ae,recall,0.0
ggg,asmt_abd,rf,ae,accuracy,0.9766162310866575
ggg,asmt_abd,rf,ae,fscore,0.00045840018336007336
ggg,asmt_abd,rf,ae,precision,0.14285714285714285
ggg,asmt_abd,rf,ae,recall,0.010309278350515464
ggg,asmt_abd,svm,ae,accuracy,0.9777624942686841
ggg,asmt_abd,svm,ae,fscore,0.0
ggg,asmt_abd,svm,ae,precision,0.0
ggg,asmt_abd,svm,ae,recall,0.0
ggg,asmt_abi,dt,ae,accuracy,0.9662998624484181
ggg,asmt_abi,dt,ae,fscore,0.002289901534234028
ggg,asmt_abi,dt,ae,precision,0.08333333333333333
ggg,asmt_abi,dt,ae,recall,0.05154639175257732
ggg,asmt_abi,knn,ae,accuracy,0.9777624942686841
ggg,asmt_abi,knn,ae,fscore,0.0
ggg,asmt_abi,knn,ae,precision,0.0
ggg,asmt_abi,knn,ae,recall,0.0
ggg,asmt_abi,nb,ae,accuracy,0.26226501604768454
ggg,asmt_abi,nb,ae,fscore,0.03734533183352081
ggg,asmt_abi,nb,ae,precision,0.025250988743535138
ggg,asmt_abi,nb,ae,recall,0.8556701030927835
ggg,asmt_abi,nn,ae,accuracy,0.9777624942686841
ggg,asmt_abi,nn,ae,fscore,0.0
ggg,asmt_abi,nn,ae,precision,0.0
ggg,asmt_abi,nn,ae,recall,0.0
ggg,asmt_abi,rf,ae,accuracy,0.9775332416322787
ggg,asmt_abi,rf,ae,fscore,0.0009165902841429881
ggg,asmt_abi,rf,ae,precision,0.4
ggg,asmt_abi,rf,ae,recall,0.020618556701030927
ggg,asmt_abi,svm,ae,accuracy,0.9777624942686841
ggg,asmt_abi,svm,ae,fscore,0.0
ggg,asmt_abi,svm,ae,precision,0.0
ggg,asmt_abi,svm,ae,recall,0.0
ggg,stdnt_abd,dt,ae,accuracy,0.9527739569005044
ggg,stdnt_abd,dt,ae,fscore,0.0018323408153916628
ggg,stdnt_abd,dt,ae,precision,0.03418803418803419
ggg,stdnt_abd,dt,ae,recall,0.041237113402061855
ggg,stdnt_abd,knn,ae,accuracy,0.9777624942686841
ggg,stdnt_abd,knn,ae,fscore,0.0
ggg,stdnt_abd,knn,ae,precision,0.0
ggg,stdnt_abd,knn,ae,recall,0.0
ggg,stdnt_abd,nb,ae,accuracy,0.35694635488308113
ggg,stdnt_abd,nb,ae,fscore,0.03910991233985165
ggg,stdnt_abd,nb,ae,precision,0.03018736988202637
ggg,stdnt_abd,nb,ae,recall,0.8969072164948454
ggg,stdnt_abd,nn,ae,accuracy,0.9775332416322787
ggg,stdnt_abd,nn,ae,fscore,0.0
ggg,stdnt_abd,nn,ae,precision,0.0
ggg,stdnt_abd,nn,ae,recall,0.0
ggg,stdnt_abd,rf,ae,accuracy,0.9777624942686841
ggg,stdnt_abd,rf,ae,fscore,0.0
ggg,stdnt_abd,rf,ae,precision,0.0
ggg,stdnt_abd,rf,ae,recall,0.0
ggg,stdnt_abd,svm,ae,accuracy,0.9777624942686841
ggg,stdnt_abd,svm,ae,fscore,0.0
ggg,stdnt_abd,svm,ae,precision,0.0
ggg,stdnt_abd,svm,ae,recall,0.0
ggg,stdnt_abi,dt,ae,accuracy,0.9587345254470426
ggg,stdnt_abi,dt,ae,fscore,0.0013745704467353953
ggg,stdnt_abi,dt,ae,precision,0.033707865168539325
ggg,stdnt_abi,dt,ae,recall,0.030927835051546393
ggg,stdnt_abi,knn,ae,accuracy,0.9777624942686841
ggg,stdnt_abi,knn,ae,fscore,0.0
ggg,stdnt_abi,knn,ae,precision,0.0
ggg,stdnt_abi,knn,ae,recall,0.0
ggg,stdnt_abi,nb,ae,accuracy,0.36428243924805137
ggg,stdnt_abi,nb,ae,fscore,0.034249662009914375
ggg,stdnt_abi,nb,ae,precision,0.026874115983026876
ggg,stdnt_abi,nb,ae,recall,0.7835051546391752
ggg,stdnt_abi,nn,ae,accuracy,0.9777624942686841
ggg,stdnt_abi,nn,ae,fscore,0.0
ggg,stdnt_abi,nn,ae,precision,0.0
ggg,stdnt_abi,nn,ae,recall,0.0
ggg,stdnt_abi,rf,ae,accuracy,0.9761577258138469
ggg,stdnt_abi,rf,ae,fscore,0.0
ggg,stdnt_abi,rf,ae,precision,0.0
ggg,stdnt_abi,rf,ae,recall,0.0
ggg,stdnt_abi,svm,ae,accuracy,0.9777624942686841
ggg,stdnt_abi,svm,ae,fscore,0.0
ggg,stdnt_abi,svm,ae,precision,0.0
ggg,stdnt_abi,svm,ae,recall,0.0
ggg,asmt_stdnt_abd,dt,ae,accuracy,0.9587345254470426
ggg,asmt_stdnt_abd,dt,ae,fscore,0.0032043945983062485
