module,attributes,classifier,technique,metric,score
ggg,asmt,dt,smote,accuracy,0.7581384685923888
ggg,asmt,dt,smote,fscore,0.01817355747387551
ggg,asmt,dt,smote,precision,0.038535645472061654
ggg,asmt,dt,smote,recall,0.41237113402061853
ggg,asmt,knn,smote,accuracy,0.7581384685923888
ggg,asmt,knn,smote,fscore,0.01817355747387551
ggg,asmt,knn,smote,precision,0.038535645472061654
ggg,asmt,knn,smote,recall,0.41237113402061853
ggg,asmt,nb,smote,accuracy,0.6286107290233838
ggg,asmt,nb,smote,fscore,0.022217184311947403
ggg,asmt,nb,smote,precision,0.030228254164096236
ggg,asmt,nb,smote,recall,0.5051546391752577
ggg,asmt,nn,smote,accuracy,0.7581384685923888
ggg,asmt,nn,smote,fscore,0.01817355747387551
ggg,asmt,nn,smote,precision,0.038535645472061654
ggg,asmt,nn,smote,recall,0.41237113402061853
ggg,asmt,rf,smote,accuracy,0.7581384685923888
ggg,asmt,rf,smote,fscore,0.01817355747387551
ggg,asmt,rf,smote,precision,0.038535645472061654
ggg,asmt,rf,smote,recall,0.41237113402061853
ggg,asmt,svm,smote,accuracy,0.7581384685923888
ggg,asmt,svm,smote,fscore,0.01817355747387551
ggg,asmt,svm,smote,precision,0.038535645472061654
ggg,asmt,svm,smote,recall,0.41237113402061853
ggg,stdnt,dt,smote,accuracy,0.9394773039889959
ggg,stdnt,dt,smote,fscore,0.0013745704467353953
ggg,stdnt,dt,smote,precision,0.017341040462427744
ggg,stdnt,dt,smote,recall,0.030927835051546393
ggg,stdnt,knn,smote,accuracy,0.8110958276020174
ggg,stdnt,knn,smote,fscore,0.007309273640931932
ggg,stdnt,knn,smote,precision,0.021080368906455864
ggg,stdnt,knn,smote,recall,0.16494845360824742
ggg,stdnt,nb,smote,accuracy,0.2065566254011921
ggg,stdnt,nb,smote,fscore,0.03999101325544822
ggg,stdnt,nb,smote,precision,0.0251270468661773
ggg,stdnt,nb,smote,recall,0.9175257731958762
ggg,stdnt,nn,smote,accuracy,0.9096744612563045
ggg,stdnt,nn,smote,fscore,0.0013745704467353953
ggg,stdnt,nn,smote,precision,0.009900990099009901
ggg,stdnt,nn,smote,recall,0.030927835051546393
ggg,stdnt,rf,smote,accuracy,0.9479596515359927
ggg,stdnt,rf,smote,fscore,0.00045840018336007336
ggg,stdnt,rf,smote,precision,0.007575757575757576
ggg,stdnt,rf,smote,recall,0.010309278350515464
ggg,stdnt,svm,smote,accuracy,0.7200825309491059
ggg,stdnt,svm,smote,fscore,0.01094391244870041
ggg,stdnt,svm,smote,precision,0.020477815699658702
ggg,stdnt,svm,smote,recall,0.24742268041237114
ggg,abd,dt,smote,accuracy,0.9291609353507565
ggg,abd,dt,smote,fscore,0.004118050789293068
ggg,abd,dt,smote,precision,0.0391304347826087
ggg,abd,dt,smote,recall,0.09278350515463918
ggg,abd,knn,smote,accuracy,0.8480055020632737
ggg,abd,knn,smote,fscore,0.009582477754962354
ggg,abd,knn,smote,precision,0.03453947368421053
ggg,abd,knn,smote,recall,0.21649484536082475
ggg,abd,nb,smote,accuracy,0.41357175607519486
ggg,abd,nb,smote,fscore,0.03646185010128292
ggg,abd,nb,smote,precision,0.030880670987418986
ggg,abd,nb,smote,recall,0.8350515463917526
ggg,abd,nn,smote,accuracy,0.8356258596973866
ggg,abd,nn,smote,fscore,0.01456531634046427
ggg,abd,nn,smote,precision,0.04678362573099415
ggg,abd,nn,smote,recall,0.32989690721649484
ggg,abd,rf,smote,accuracy,0.9646950939935809
ggg,abd,rf,smote,fscore,0.0013745704467353953
ggg,abd,rf,smote,precision,0.047619047619047616
ggg,abd,rf,smote,recall,0.030927835051546393
ggg,abd,svm,smote,accuracy,0.6384685923888125
ggg,abd,svm,smote,fscore,0.0302551365996839
ggg,abd,svm,smote,precision,0.04151177199504337
ggg,abd,svm,smote,recall,0.6907216494845361
ggg,abi,dt,smote,accuracy,0.8484640073360844
ggg,abi,dt,smote,fscore,0.01094391244870041
ggg,abi,dt,smote,precision,0.0392156862745098
ggg,abi,dt,smote,recall,0.24742268041237114
ggg,abi,knn,smote,accuracy,0.8895002292526364
ggg,abi,knn,smote,fscore,0.00821917808219178
ggg,abi,knn,smote,precision,0.04275534441805225
ggg,abi,knn,smote,recall,0.18556701030927836
ggg,abi,nb,smote,accuracy,0.39912883998165977
ggg,abi,nb,smote,fscore,0.0369036903690369
ggg,abi,nb,smote,precision,0.03050595238095238
ggg,abi,nb,smote,recall,0.845360824742268
ggg,abi,nn,smote,accuracy,0.6636863823933975
ggg,abi,nn,smote,fscore,0.024456521739130436
ggg,abi,nn,smote,precision,0.036535859269282815
ggg,abi,nn,smote,recall,0.5567010309278351
ggg,abi,rf,smote,accuracy,0.8764328289775333
ggg,abi,rf,smote,fscore,0.009582477754962354
ggg,abi,rf,smote,precision,0.04338842975206612
ggg,abi,rf,smote,recall,0.21649484536082475
ggg,abi,svm,smote,accuracy,0.5580009170105457
ggg,abi,svm,smote,fscore,0.034249662009914375
ggg,abi,svm,smote,precision,0.03832576903681291
ggg,abi,svm,smote,recall,0.7835051546391752
ggg,asmt_stdnt,dt,smote,accuracy,0.9378725355341586
ggg,asmt_stdnt,dt,smote,fscore,0.0013745704467353953
ggg,asmt_stdnt,dt,smote,precision,0.016666666666666666
ggg,asmt_stdnt,dt,smote,recall,0.030927835051546393
ggg,asmt_stdnt,knn,smote,accuracy,0.8358551123337918
ggg,asmt_stdnt,knn,smote,fscore,0.00821917808219178
ggg,asmt_stdnt,knn,smote,precision,0.02748091603053435
ggg,asmt_stdnt,knn,smote,recall,0.18556701030927836
ggg,asmt_stdnt,nb,smote,accuracy,0.20586886749197617
ggg,asmt_stdnt,nb,smote,fscore,0.041311180960933995
ggg,asmt_stdnt,nb,smote,precision,0.02590819487468319
ggg,asmt_stdnt,nb,smote,recall,0.9484536082474226
ggg,asmt_stdnt,nn,smote,accuracy,0.9218248509857864
ggg,asmt_stdnt,nn,smote,fscore,0.0027472527472527475
ggg,asmt_stdnt,nn,smote,precision,0.0234375
ggg,asmt_stdnt,nn,smote,recall,0.061855670103092786
ggg,asmt_stdnt,rf,smote,accuracy,0.964007336084365
ggg,asmt_stdnt,rf,smote,fscore,0.0
ggg,asmt_stdnt,rf,smote,precision,0.0
ggg,asmt_stdnt,rf,smote,recall,0.0
ggg,asmt_stdnt,svm,smote,accuracy,0.7581384685923888
ggg,asmt_stdnt,svm,smote,fscore,0.013208836255978138
ggg,asmt_stdnt,svm,smote,precision,0.028543307086614175
ggg,asmt_stdnt,svm,smote,recall,0.29896907216494845
ggg,asmt_abd,dt,smote,accuracy,0.920907840440165
ggg,asmt_abd,dt,smote,fscore,0.006398537477148081
ggg,asmt_abd,dt,smote,precision,0.050724637681159424
ggg,asmt_abd,dt,smote,recall,0.14432989690721648
ggg,asmt_abd,knn,smote,accuracy,0.8392939018798716
