module,attributes,cluster,metric,score
aaa,asmt,kmeans,accuracy,0.9661016949152542
aaa,asmt,kmeans,fscore,0.0
aaa,asmt,kmeans,precision,0.0
aaa,asmt,kmeans,recall,0.0
aaa,stdnt,kmeans,accuracy,0.9477966101694916
aaa,stdnt,kmeans,fscore,0.0
aaa,stdnt,kmeans,precision,0.0
aaa,stdnt,kmeans,recall,0.0
aaa,abd,kmeans,accuracy,0.9308474576271186
aaa,abd,kmeans,fscore,0.006756756756756757
aaa,abd,kmeans,precision,0.1
aaa,abd,kmeans,recall,0.08064516129032258
aaa,abi,kmeans,accuracy,0.9328813559322033
aaa,abi,kmeans,fscore,0.005409060175794456
aaa,abi,kmeans,precision,0.08
aaa,abi,kmeans,recall,0.07017543859649122
aaa,asmt_stdnt,kmeans,accuracy,0.9457627118644067
aaa,asmt_stdnt,kmeans,fscore,0.008102633355840648
aaa,asmt_stdnt,kmeans,precision,0.12
aaa,asmt_stdnt,kmeans,recall,0.14285714285714285
aaa,asmt_abd,kmeans,accuracy,0.9145762711864407
aaa,asmt_abd,kmeans,fscore,0.008102633355840648
aaa,asmt_abd,kmeans,precision,0.12
aaa,asmt_abd,kmeans,recall,0.06818181818181818
aaa,asmt_abi,kmeans,accuracy,0.9261016949152543
aaa,asmt_abi,kmeans,fscore,0.008102633355840648
aaa,asmt_abi,kmeans,precision,0.12
aaa,asmt_abi,kmeans,recall,0.08450704225352113
aaa,stdnt_abd,kmeans,accuracy,0.943728813559322
aaa,stdnt_abd,kmeans,fscore,0.006756756756756757
aaa,stdnt_abd,kmeans,precision,0.1
aaa,stdnt_abd,kmeans,recall,0.11627906976744186
aaa,stdnt_abi,kmeans,accuracy,0.9179661016949152
aaa,stdnt_abi,kmeans,fscore,0.0040595399188092015
aaa,stdnt_abi,kmeans,precision,0.06
aaa,stdnt_abi,kmeans,recall,0.03896103896103896
aaa,asmt_stdnt_abd,kmeans,accuracy,0.9274576271186441
aaa,asmt_stdnt_abd,kmeans,fscore,0.005409060175794456
aaa,asmt_stdnt_abd,kmeans,precision,0.08
aaa,asmt_stdnt_abd,kmeans,recall,0.06153846153846154
aaa,asmt_stdnt_abi,kmeans,accuracy,0.9349152542372882
aaa,asmt_stdnt_abi,kmeans,fscore,0.008102633355840648
aaa,asmt_stdnt_abi,kmeans,precision,0.12
aaa,asmt_stdnt_abi,kmeans,recall,0.10344827586206896
bbb,asmt,kmeans,accuracy,0.8853485838779956
bbb,asmt,kmeans,fscore,0.0
bbb,asmt,kmeans,precision,0.0
bbb,asmt,kmeans,recall,0.0
bbb,stdnt,kmeans,accuracy,0.8833061002178649
bbb,stdnt,kmeans,fscore,0.0008166598611678236
bbb,stdnt,kmeans,precision,0.0035629453681710215
bbb,stdnt,kmeans,recall,0.14285714285714285
bbb,abd,kmeans,accuracy,0.7847222222222222
bbb,abd,kmeans,fscore,0.013524479307546659
bbb,abd,kmeans,precision,0.05938242280285035
bbb,abd,kmeans,recall,0.05959475566150179
bbb,abi,kmeans,accuracy,0.7911220043572985
bbb,abi,kmeans,fscore,0.011372867587327376
bbb,abi,kmeans,precision,0.0498812351543943
bbb,abi,kmeans,recall,0.05412371134020619
bbb,asmt_stdnt,kmeans,accuracy,0.8616557734204793
bbb,asmt_stdnt,kmeans,fscore,0.004347826086956522
bbb,asmt_stdnt,kmeans,precision,0.019002375296912115
bbb,asmt_stdnt,kmeans,recall,0.07766990291262135
bbb,asmt_abd,kmeans,accuracy,0.7883986928104575
bbb,asmt_abd,kmeans,fscore,0.0078665400786654
bbb,asmt_abd,kmeans,precision,0.0344418052256532
bbb,asmt_abd,kmeans,recall,0.03766233766233766
bbb,asmt_abi,kmeans,accuracy,0.7839052287581699
bbb,asmt_abi,kmeans,fscore,0.005973391257127342
bbb,asmt_abi,kmeans,precision,0.026128266033254157
bbb,asmt_abi,kmeans,recall,0.02788339670468948
bbb,stdnt_abd,kmeans,accuracy,0.7946623093681917
bbb,stdnt_abd,kmeans,fscore,0.013524479307546659
bbb,stdnt_abd,kmeans,precision,0.05938242280285035
bbb,stdnt_abd,kmeans,recall,0.06527415143603134
bbb,stdnt_abi,kmeans,accuracy,0.7852668845315904
bbb,stdnt_abi,kmeans,fscore,0.01002574176940794
bbb,stdnt_abi,kmeans,precision,0.043942992874109264
bbb,stdnt_abi,kmeans,recall,0.04573547589616811
bbb,asmt_stdnt_abd,kmeans,accuracy,0.8488562091503268
bbb,asmt_stdnt_abd,kmeans,fscore,0.005702647657841141
bbb,asmt_stdnt_abd,kmeans,precision,0.02494061757719715
bbb,asmt_stdnt_abd,kmeans,recall,0.06774193548387097
bbb,asmt_stdnt_abi,kmeans,accuracy,0.8199891067538126
bbb,asmt_stdnt_abi,kmeans,fscore,0.006785181164337088
bbb,asmt_stdnt_abi,kmeans,precision,0.029691211401425176
bbb,asmt_stdnt_abi,kmeans,recall,0.04716981132075472
ccc,asmt,kmeans,accuracy,0.9169045353631462
ccc,asmt,kmeans,fscore,0.0
ccc,asmt,kmeans,precision,0.0
ccc,asmt,kmeans,recall,0.0
ccc,stdnt,kmeans,accuracy,0.7858124537477534
ccc,stdnt,kmeans,fscore,0.032858479775397735
ccc,stdnt,kmeans,precision,0.2010178117048346
ccc,stdnt,kmeans,recall,0.10154241645244216
ccc,abd,kmeans,accuracy,0.8012474891637594
ccc,abd,kmeans,fscore,0.031220730565095223
ccc,abd,kmeans,precision,0.19083969465648856
ccc,abd,kmeans,recall,0.10760401721664276
ccc,abi,kmeans,accuracy,0.7804207632942172
ccc,abi,kmeans,fscore,0.04525728456292622
ccc,abi,kmeans,precision,0.2786259541984733
ccc,abi,kmeans,recall,0.1266628108733372
ccc,asmt_stdnt,kmeans,accuracy,0.8043133523628291
ccc,asmt_stdnt,kmeans,fscore,0.031630423473103735
ccc,asmt_stdnt,kmeans,precision,0.19338422391857507
ccc,asmt_stdnt,kmeans,recall,0.1110299488677867
ccc,asmt_abd,kmeans,accuracy,0.6972195792367057
ccc,asmt_abd,kmeans,fscore,0.05270200720535255
ccc,asmt_abd,kmeans,precision,0.3256997455470738
ccc,asmt_abd,kmeans,recall,0.09884169884169884
ccc,asmt_abi,kmeans,accuracy,0.7524051168199598
ccc,asmt_abi,kmeans,fscore,0.05029372359064207
ccc,asmt_abi,kmeans,precision,0.3104325699745547
ccc,asmt_abi,kmeans,recall,0.11937377690802348
ccc,stdnt_abd,kmeans,accuracy,0.7975473094407443
ccc,stdnt_abd,kmeans,fscore,0.035921926910299
ccc,stdnt_abd,kmeans,precision,0.22010178117048346
ccc,stdnt_abd,kmeans,recall,0.11728813559322034
ccc,stdnt_abi,kmeans,accuracy,0.8031504387355958
ccc,stdnt_abi,kmeans,fscore,0.04141215446733616
ccc,stdnt_abi,kmeans,precision,0.2544529262086514
ccc,stdnt_abi,kmeans,recall,0.13550135501355012
ccc,asmt_stdnt_abd,kmeans,accuracy,0.7373929590865842
ccc,asmt_stdnt_abd,kmeans,fscore,0.051899907321594066
ccc,asmt_stdnt_abd,kmeans,precision,0.32061068702290074
ccc,asmt_stdnt_abd,kmeans,recall,0.11444141689373297
ccc,asmt_stdnt_abi,kmeans,accuracy,0.786446770271699
ccc,asmt_stdnt_abi,kmeans,fscore,0.0442468727385506
ccc,asmt_stdnt_abi,kmeans,precision,0.272264631043257
ccc,asmt_stdnt_abi,kmeans,recall,0.12876052948255115
ddd,asmt,kmeans,accuracy,0.9348480288895576
ddd,asmt,kmeans,fscore,0.0
ddd,asmt,kmeans,precision,0.0
ddd,asmt,kmeans,recall,0.0
ddd,stdnt,kmeans,accuracy,0.886698766175143
ddd,stdnt,kmeans,fscore,0.009285607308671558
ddd,stdnt,kmeans,precision,0.07159353348729793
ddd,stdnt,kmeans,recall,0.08115183246073299
ddd,abd,kmeans,accuracy,0.8045440866686728
ddd,abd,kmeans,fscore,0.02993923225137098
ddd,abd,kmeans,precision,0.23325635103926096
ddd,abd,kmeans,recall,0.0945692883895131
ddd,abi,kmeans,accuracy,0.8007824255191093
ddd,abi,kmeans,fscore,0.026136026136026135
ddd,abi,kmeans,precision,0.20323325635103925
ddd,abi,kmeans,recall,0.08247422680412371
ddd,asmt_stdnt,kmeans,accuracy,0.8405055672585013
ddd,asmt_stdnt,kmeans,fscore,0.02730780647076284
ddd,asmt_stdnt,kmeans,precision,0.21247113163972287
ddd,asmt_stdnt,kmeans,recall,0.11344019728729964
ddd,asmt_abd,kmeans,accuracy,0.7904002407463135
ddd,asmt_abd,kmeans,fscore,0.0377915559492176
ddd,asmt_abd,kmeans,precision,0.2956120092378753
ddd,asmt_abd,kmeans,recall,0.10526315789473684
ddd,asmt_abi,kmeans,accuracy,0.8028889557628649
ddd,asmt_abi,kmeans,fscore,0.039817136115617165
ddd,asmt_abi,kmeans,precision,0.3117782909930716
ddd,asmt_abi,kmeans,recall,0.11769834350479512
ddd,stdnt_abd,kmeans,accuracy,0.822750526632561
ddd,stdnt_abd,kmeans,fscore,0.03139810426540284
ddd,stdnt_abd,kmeans,precision,0.24480369515011546
ddd,stdnt_abd,kmeans,recall,0.11076280041797283
ddd,stdnt_abi,kmeans,accuracy,0.8280168522419501
ddd,stdnt_abi,kmeans,fscore,0.029062870699881376
ddd,stdnt_abi,kmeans,precision,0.22632794457274827
ddd,stdnt_abi,kmeans,recall,0.10816777041942605
ddd,asmt_stdnt_abd,kmeans,accuracy,0.8170328016852242
ddd,asmt_stdnt_abd,kmeans,fscore,0.030814814814814816
ddd,asmt_stdnt_abd,kmeans,precision,0.24018475750577367
ddd,asmt_stdnt_abd,kmeans,recall,0.10494450050454086
ddd,asmt_stdnt_abi,kmeans,accuracy,0.8207944628347879
ddd,asmt_stdnt_abi,kmeans,fscore,0.03168961942840219
ddd,asmt_stdnt_abi,kmeans,precision,0.2471131639722864
ddd,asmt_stdnt_abi,kmeans,recall,0.11008230452674897
eee,asmt,kmeans,accuracy,0.9853990914990266
eee,asmt,kmeans,fscore,0.0
eee,asmt,kmeans,precision,0.0
eee,asmt,kmeans,recall,0.0
eee,stdnt,kmeans,accuracy,0.9695003244646333
eee,stdnt,kmeans,fscore,0.0
eee,stdnt,kmeans,precision,0.0
eee,stdnt,kmeans,recall,0.0
eee,abd,kmeans,accuracy,0.9626865671641791
eee,abd,kmeans,fscore,0.003239390994493035
eee,abd,kmeans,precision,0.1111111111111111
eee,abd,kmeans,recall,0.0625
eee,abi,kmeans,accuracy,0.9558728098637248
eee,abi,kmeans,fscore,0.0012970168612191958
eee,abi,kmeans,precision,0.044444444444444446
eee,abi,kmeans,recall,0.021052631578947368
eee,asmt_stdnt,kmeans,accuracy,0.95425048669695
eee,asmt_stdnt,kmeans,fscore,0.0
eee,asmt_stdnt,kmeans,precision,0.0
eee,asmt_stdnt,kmeans,recall,0.0
