module,attributes,sample,metric,score
aaa,asmt,non-smote,accuracy,0.9661016949152542
aaa,asmt,non-smote,fscore,0.0
aaa,asmt,non-smote,precision,0.0
aaa,asmt,non-smote,recall,0.0
aaa,stdnt,non-smote,accuracy,0.9661016949152542
aaa,stdnt,non-smote,fscore,0.0
aaa,stdnt,non-smote,precision,0.0
aaa,stdnt,non-smote,recall,0.0
aaa,abd,non-smote,accuracy,0.9220338983050848
aaa,abd,non-smote,fscore,0.006756756756756757
aaa,abd,non-smote,precision,0.1
aaa,abd,non-smote,recall,0.06666666666666667
aaa,abi,non-smote,accuracy,0.9308474576271186
aaa,abi,non-smote,fscore,0.0040595399188092015
aaa,abi,non-smote,precision,0.06
aaa,abi,non-smote,recall,0.05172413793103448
aaa,asmt_stdnt,non-smote,accuracy,0.9369491525423729
aaa,asmt_stdnt,non-smote,fscore,0.0013550135501355014
aaa,asmt_stdnt,non-smote,precision,0.02
aaa,asmt_stdnt,non-smote,recall,0.022222222222222223
aaa,asmt_abd,non-smote,accuracy,0.9240677966101695
aaa,asmt_abd,non-smote,fscore,0.002708192281651997
aaa,asmt_abd,non-smote,precision,0.04
aaa,asmt_abd,non-smote,recall,0.030303030303030304
aaa,asmt_abi,non-smote,accuracy,0.9355932203389831
aaa,asmt_abi,non-smote,fscore,0.006756756756756757
aaa,asmt_abi,non-smote,precision,0.1
aaa,asmt_abi,non-smote,recall,0.09090909090909091
aaa,stdnt_abd,non-smote,accuracy,0.9233898305084746
aaa,stdnt_abd,non-smote,fscore,0.005409060175794456
aaa,stdnt_abd,non-smote,precision,0.08
aaa,stdnt_abd,non-smote,recall,0.056338028169014086
aaa,stdnt_abi,non-smote,accuracy,0.9294915254237288
aaa,stdnt_abi,non-smote,fscore,0.009446693657219974
aaa,stdnt_abi,non-smote,precision,0.14
aaa,stdnt_abi,non-smote,recall,0.10294117647058823
aaa,asmt_stdnt_abd,non-smote,accuracy,0.9376271186440678
aaa,asmt_stdnt_abd,non-smote,fscore,0.005409060175794456
aaa,asmt_stdnt_abd,non-smote,precision,0.08
aaa,asmt_stdnt_abd,non-smote,recall,0.08
aaa,asmt_stdnt_abi,non-smote,accuracy,0.9254237288135593
aaa,asmt_stdnt_abi,non-smote,fscore,0.01078894133513149
aaa,asmt_stdnt_abi,non-smote,precision,0.16
aaa,asmt_stdnt_abi,non-smote,recall,0.10526315789473684
bbb,asmt,non-smote,accuracy,0.8853485838779956
bbb,asmt,non-smote,fscore,0.0
bbb,asmt,non-smote,precision,0.0
bbb,asmt,non-smote,recall,0.0
bbb,stdnt,non-smote,accuracy,0.8848039215686274
bbb,stdnt,non-smote,fscore,0.0002722940776038121
bbb,stdnt,non-smote,precision,0.0011876484560570072
bbb,stdnt,non-smote,recall,0.16666666666666666
bbb,abd,non-smote,accuracy,0.8446350762527233
bbb,abd,non-smote,fscore,0.005973391257127342
bbb,abd,non-smote,precision,0.026128266033254157
bbb,abd,non-smote,recall,0.0641399416909621
bbb,abi,non-smote,accuracy,0.8223039215686274
bbb,abi,non-smote,fscore,0.005973391257127342
bbb,abi,non-smote,precision,0.026128266033254157
bbb,abi,non-smote,recall,0.04339250493096647
bbb,asmt_stdnt,non-smote,accuracy,0.8673747276688453
bbb,asmt_stdnt,non-smote,fscore,0.003534049204838929
bbb,asmt_stdnt,non-smote,precision,0.015439429928741092
bbb,asmt_stdnt,non-smote,recall,0.08227848101265822
bbb,asmt_abd,non-smote,accuracy,0.6806917211328976
bbb,asmt_abd,non-smote,fscore,0.010295312923327011
bbb,asmt_abd,non-smote,precision,0.04513064133016627
bbb,asmt_abd,non-smote,recall,0.024065864471184292
bbb,asmt_abi,non-smote,accuracy,0.809640522875817
bbb,asmt_abi,non-smote,fscore,0.006785181164337088
bbb,asmt_abi,non-smote,precision,0.029691211401425176
bbb,asmt_abi,non-smote,recall,0.041254125412541254
bbb,stdnt_abd,non-smote,accuracy,0.8242102396514162
bbb,stdnt_abd,non-smote,fscore,0.009486380268329042
bbb,stdnt_abd,non-smote,precision,0.04156769596199525
bbb,stdnt_abd,non-smote,recall,0.0674373795761079
bbb,stdnt_abi,non-smote,accuracy,0.815631808278867
bbb,stdnt_abi,non-smote,fscore,0.00840677966101695
bbb,stdnt_abi,non-smote,precision,0.03681710213776722
bbb,stdnt_abi,non-smote,recall,0.05400696864111498
bbb,asmt_stdnt_abd,non-smote,accuracy,0.7397875816993464
