module,attributes,sample,metric,score
aaa,asmt,smote,accuracy,0.43796610169491523
aaa,asmt,smote,fscore,0.04765056254136334
aaa,asmt,smote,precision,0.72
aaa,asmt,smote,recall,0.04230317273795535
aaa,stdnt,smote,accuracy,0.9098305084745762
aaa,stdnt,smote,fscore,0.01078894133513149
aaa,stdnt,smote,precision,0.16
aaa,stdnt,smote,recall,0.08080808080808081
aaa,abd,smote,accuracy,0.8908474576271187
aaa,abd,smote,fscore,0.013468013468013467
aaa,abd,smote,precision,0.2
aaa,abd,smote,recall,0.07633587786259542
aaa,abi,smote,accuracy,0.8705084745762712
aaa,abi,smote,fscore,0.01078894133513149
aaa,abi,smote,precision,0.16
aaa,abi,smote,recall,0.050955414012738856
aaa,asmt_stdnt,smote,accuracy,0.9315254237288135
aaa,asmt_stdnt,smote,fscore,0.006756756756756757
aaa,asmt_stdnt,smote,precision,0.1
aaa,asmt_stdnt,smote,recall,0.08196721311475409
aaa,asmt_abd,smote,accuracy,0.8705084745762712
aaa,asmt_abd,smote,fscore,0.01078894133513149
aaa,asmt_abd,smote,precision,0.16
aaa,asmt_abd,smote,recall,0.050955414012738856
aaa,asmt_abi,smote,accuracy,0.8745762711864407
aaa,asmt_abi,smote,fscore,0.01078894133513149
aaa,asmt_abi,smote,precision,0.16
aaa,asmt_abi,smote,recall,0.052980132450331126
aaa,stdnt_abd,smote,accuracy,0.9213559322033898
aaa,stdnt_abd,smote,fscore,0.006756756756756757
aaa,stdnt_abd,smote,precision,0.1
aaa,stdnt_abd,smote,recall,0.06578947368421052
aaa,stdnt_abi,smote,accuracy,0.912542372881356
aaa,stdnt_abi,smote,fscore,0.01078894133513149
aaa,stdnt_abi,smote,precision,0.16
aaa,stdnt_abi,smote,recall,0.08421052631578947
aaa,asmt_stdnt_abd,smote,accuracy,0.9247457627118644
aaa,asmt_stdnt_abd,smote,fscore,0.008102633355840648
aaa,asmt_stdnt_abd,smote,precision,0.12
aaa,asmt_stdnt_abd,smote,recall,0.0821917808219178
aaa,asmt_stdnt_abi,smote,accuracy,0.9077966101694915
aaa,asmt_stdnt_abi,smote,fscore,0.01613987895090787
aaa,asmt_stdnt_abi,smote,precision,0.24
aaa,asmt_stdnt_abi,smote,recall,0.10909090909090909
bbb,asmt,smote,accuracy,0.3661492374727669
bbb,asmt,smote,fscore,0.026602176541717048
bbb,asmt,smote,precision,0.11757719714964371
bbb,asmt,smote,recall,0.02468212415856395
bbb,stdnt,smote,accuracy,0.8419117647058824
bbb,stdnt,smote,fscore,0.013524479307546659
bbb,stdnt,smote,precision,0.05938242280285035
bbb,stdnt,smote,recall,0.11933174224343675
bbb,abd,smote,accuracy,0.815359477124183
bbb,abd,smote,fscore,0.011911207363291824
bbb,abd,smote,precision,0.052256532066508314
bbb,abd,smote,recall,0.07308970099667775
bbb,abi,smote,accuracy,0.7988834422657952
bbb,abi,smote,fscore,0.01110358835477319
bbb,abi,smote,precision,0.048693586698337295
bbb,abi,smote,recall,0.05718270571827057
bbb,asmt_stdnt,smote,accuracy,0.6395697167755992
bbb,asmt_stdnt,smote,fscore,0.01002574176940794
bbb,asmt_stdnt,smote,precision,0.043942992874109264
bbb,asmt_stdnt,smote,recall,0.019691325172964343
bbb,asmt_abd,smote,accuracy,0.715822440087146
bbb,asmt_abd,smote,fscore,0.011372867587327376
bbb,asmt_abd,smote,precision,0.0498812351543943
bbb,asmt_abd,smote,recall,0.03160270880361174
bbb,asmt_abi,smote,accuracy,0.7732843137254902
bbb,asmt_abi,smote,fscore,0.010834236186348862
bbb,asmt_abi,smote,precision,0.047505938242280284
bbb,asmt_abi,smote,recall,0.044296788482835
bbb,stdnt_abd,smote,accuracy,0.8306100217864923
bbb,stdnt_abd,smote,fscore,0.01002574176940794
bbb,stdnt_abd,smote,precision,0.043942992874109264
bbb,stdnt_abd,smote,recall,0.07773109243697479
bbb,stdnt_abi,smote,accuracy,0.8404139433551199
bbb,stdnt_abi,smote,fscore,0.01002574176940794
bbb,stdnt_abi,smote,precision,0.043942992874109264
bbb,stdnt_abi,smote,recall,0.09158415841584158
bbb,asmt_stdnt_abd,smote,accuracy,0.6956699346405228
bbb,asmt_stdnt_abd,smote,fscore,0.008946726311508743
bbb,asmt_stdnt_abd,smote,precision,0.039192399049881234
bbb,asmt_stdnt_abd,smote,recall,0.022618231665524333
bbb,asmt_stdnt_abi,smote,accuracy,0.7090141612200436
