module,attributes,sample,metric,score
aaa,asmt,smote,accuracy,0.7484745762711864
aaa,asmt,smote,fscore,0.0054090601757944565
aaa,asmt,smote,precision,0.08
aaa,asmt,smote,recall,0.0121580547112462
aaa,stdnt,smote,accuracy,0.9105084745762712
aaa,stdnt,smote,fscore,0.0040595399188092015
aaa,stdnt,smote,precision,0.06
aaa,stdnt,smote,recall,0.03409090909090909
aaa,abd,smote,accuracy,0.7511864406779661
aaa,abd,smote,fscore,0.03333333333333333
aaa,abd,smote,precision,0.5
aaa,abd,smote,recall,0.0681198910081744
aaa,abi,smote,accuracy,0.7783050847457628
aaa,abi,smote,fscore,0.028074866310160432
aaa,abi,smote,precision,0.42
aaa,abi,smote,recall,0.06583072100313479
aaa,asmt_stdnt,smote,accuracy,0.88
aaa,asmt_stdnt,smote,fscore,0.008102633355840648
aaa,asmt_stdnt,smote,precision,0.12
aaa,asmt_stdnt,smote,recall,0.04316546762589928
aaa,asmt_abd,smote,accuracy,0.7850847457627118
aaa,asmt_abd,smote,fscore,0.025435073627844716
aaa,asmt_abd,smote,precision,0.38
aaa,asmt_abd,smote,recall,0.062295081967213124
aaa,asmt_abi,smote,accuracy,0.7986440677966101
aaa,asmt_abi,smote,fscore,0.03070761014686248
aaa,asmt_abi,smote,precision,0.46
aaa,asmt_abi,smote,recall,0.07849829351535836
aaa,stdnt_abd,smote,accuracy,0.8671186440677966
aaa,stdnt_abd,smote,fscore,0.006756756756756757
aaa,stdnt_abd,smote,precision,0.1
aaa,stdnt_abd,smote,recall,0.03205128205128205
aaa,stdnt_abi,smote,accuracy,0.8637288135593221
aaa,stdnt_abi,smote,fscore,0.01346801346801347
aaa,stdnt_abi,smote,precision,0.2
aaa,stdnt_abi,smote,recall,0.05847953216374269
aaa,asmt_stdnt_abd,smote,accuracy,0.8630508474576272
aaa,asmt_stdnt_abd,smote,fscore,0.012129380053908356
aaa,asmt_stdnt_abd,smote,precision,0.18
aaa,asmt_stdnt_abd,smote,recall,0.052941176470588235
aaa,asmt_stdnt_abi,smote,accuracy,0.8549152542372881
aaa,asmt_stdnt_abi,smote,fscore,0.012129380053908356
aaa,asmt_stdnt_abi,smote,precision,0.18
aaa,asmt_stdnt_abi,smote,recall,0.04945054945054945
bbb,asmt,smote,accuracy,0.15672657952069716
bbb,asmt,smote,fscore,0.031363088057901084
bbb,asmt,smote,precision,0.13895486935866982
bbb,asmt,smote,recall,0.020948970456580125
bbb,stdnt,smote,accuracy,0.8088235294117647
bbb,stdnt,smote,fscore,0.02314939434724092
bbb,stdnt,smote,precision,0.1021377672209026
bbb,stdnt,smote,recall,0.11716621253405995
bbb,abd,smote,accuracy,0.7606209150326797
bbb,abd,smote,fscore,0.013255782496956579
bbb,abd,smote,precision,0.05819477434679335
bbb,abd,smote,recall,0.04832347140039448
bbb,abi,smote,accuracy,0.8021514161220044
bbb,abi,smote,fscore,0.011642073913632056
bbb,abi,smote,precision,0.0510688836104513
bbb,abi,smote,recall,0.06169296987087518
bbb,asmt_stdnt,smote,accuracy,0.7352941176470589
bbb,asmt_stdnt,smote,fscore,0.01271817074820728
bbb,asmt_stdnt,smote,precision,0.05581947743467933
bbb,asmt_stdnt,smote,recall,0.039297658862876256
bbb,asmt_abd,smote,accuracy,0.7126906318082789
bbb,asmt_abd,smote,fscore,0.022350881917328664
bbb,asmt_abd,smote,precision,0.0985748218527316
