module,attributes,cluster,metric,score
aaa,asmt,kmeans,accuracy,0.9661016949152542
aaa,asmt,kmeans,fscore,0.0
aaa,asmt,kmeans,precision,0.0
aaa,asmt,kmeans,recall,0.0
aaa,stdnt,kmeans,accuracy,0.8766101694915254
aaa,stdnt,kmeans,fscore,0.0040595399188092015
aaa,stdnt,kmeans,precision,0.06
aaa,stdnt,kmeans,recall,0.021739130434782608
aaa,abd,kmeans,accuracy,0.35322033898305083
aaa,abd,kmeans,fscore,0.05793285055957867
aaa,abd,kmeans,precision,0.88
aaa,abd,kmeans,recall,0.04435483870967742
aaa,abi,kmeans,accuracy,0.4542372881355932
aaa,abi,kmeans,fscore,0.052805280528052806
aaa,abi,kmeans,precision,0.8
aaa,abi,kmeans,recall,0.04790419161676647
aaa,asmt_stdnt,kmeans,accuracy,0.7030508474576271
aaa,asmt_stdnt,kmeans,fscore,0.02807486631016043
aaa,asmt_stdnt,kmeans,precision,0.42
aaa,asmt_stdnt,kmeans,recall,0.04883720930232558
aaa,asmt_abd,kmeans,accuracy,0.36474576271186443
aaa,asmt_abd,kmeans,fscore,0.055372445616348055
aaa,asmt_abd,kmeans,precision,0.84
aaa,asmt_abd,kmeans,recall,0.04325437693099897
aaa,asmt_abi,kmeans,accuracy,0.5403389830508475
aaa,asmt_abi,kmeans,fscore,0.04765056254136334
aaa,asmt_abi,kmeans,precision,0.72
aaa,asmt_abi,kmeans,recall,0.05142857142857143
aaa,stdnt_abd,kmeans,accuracy,0.6183050847457627
aaa,stdnt_abd,kmeans,fscore,0.03986710963455149
aaa,stdnt_abd,kmeans,precision,0.6
aaa,stdnt_abd,kmeans,recall,0.05235602094240838
aaa,stdnt_abi,kmeans,accuracy,0.6447457627118645
aaa,stdnt_abi,kmeans,fscore,0.03986710963455149
aaa,stdnt_abi,kmeans,precision,0.6
aaa,stdnt_abi,kmeans,recall,0.056179775280898875
aaa,asmt_stdnt_abd,kmeans,accuracy,0.6745762711864407
aaa,asmt_stdnt_abd,kmeans,fscore,0.037258815701929474
aaa,asmt_stdnt_abd,kmeans,precision,0.56
aaa,asmt_stdnt_abd,kmeans,recall,0.05761316872427984
aaa,asmt_stdnt_abi,kmeans,accuracy,0.6745762711864407
aaa,asmt_stdnt_abi,kmeans,fscore,0.03986710963455149
aaa,asmt_stdnt_abi,kmeans,precision,0.6
aaa,asmt_stdnt_abi,kmeans,recall,0.061224489795918366
bbb,asmt,kmeans,accuracy,0.8853485838779956
bbb,asmt,kmeans,fscore,0.0
bbb,asmt,kmeans,precision,0.0
bbb,asmt,kmeans,recall,0.0
bbb,stdnt,kmeans,accuracy,0.8218954248366013
bbb,stdnt,kmeans,fscore,0.022617124394184167
bbb,stdnt,kmeans,precision,0.0997624703087886
bbb,stdnt,kmeans,recall,0.13249211356466878
bbb,abd,kmeans,accuracy,0.7318899782135077
bbb,abd,kmeans,fscore,0.10575187000257931
bbb,abd,kmeans,precision,0.48693586698337293
bbb,abd,kmeans,recall,0.2105803800719055
bbb,abi,kmeans,accuracy,0.7890795206971678
bbb,abi,kmeans,fscore,0.07319952774498228
bbb,abi,kmeans,precision,0.331353919239905
bbb,abi,kmeans,recall,0.22055335968379447
bbb,asmt_stdnt,kmeans,accuracy,0.7606209150326797
bbb,asmt_stdnt,kmeans,fscore,0.04238304678128749
bbb,asmt_stdnt,kmeans,precision,0.18883610451306412
bbb,asmt_stdnt,kmeans,recall,0.12884927066450566
bbb,asmt_abd,kmeans,accuracy,0.7554466230936819
bbb,asmt_abd,kmeans,fscore,0.0875
bbb,asmt_abd,kmeans,precision,0.3990498812351544
bbb,asmt_abd,kmeans,recall,0.2066420664206642
bbb,asmt_abi,kmeans,accuracy,0.8647875816993464
bbb,asmt_abi,kmeans,fscore,0.026337006181134104
bbb,asmt_abi,kmeans,precision,0.1163895486935867
bbb,asmt_abi,kmeans,recall,0.2824207492795389
bbb,stdnt_abd,kmeans,accuracy,0.6169662309368191
bbb,stdnt_abd,kmeans,fscore,0.11426370522531776
bbb,stdnt_abd,kmeans,precision,0.5285035629453682
bbb,stdnt_abd,kmeans,recall,0.15554002097168823
bbb,stdnt_abi,kmeans,accuracy,0.798338779956427
bbb,stdnt_abi,kmeans,fscore,0.05868358445678033
bbb,stdnt_abi,kmeans,precision,0.26365795724465557
bbb,stdnt_abi,kmeans,recall,0.20498614958448755
bbb,asmt_stdnt_abd,kmeans,accuracy,0.8112745098039216
bbb,asmt_stdnt_abd,kmeans,fscore,0.03741314804917156
bbb,asmt_stdnt_abd,kmeans,precision,0.166270783847981
bbb,asmt_stdnt_abd,kmeans,recall,0.16990291262135923
bbb,asmt_stdnt_abi,kmeans,accuracy,0.8641067538126361
bbb,asmt_stdnt_abi,kmeans,fscore,0.026071764547775836
bbb,asmt_stdnt_abi,kmeans,precision,0.11520190023752969
bbb,asmt_stdnt_abi,kmeans,recall,0.27714285714285714
ccc,asmt,kmeans,accuracy,0.9169045353631462
ccc,asmt,kmeans,fscore,0.0
ccc,asmt,kmeans,precision,0.0
ccc,asmt,kmeans,recall,0.0
ccc,stdnt,kmeans,accuracy,0.27835923459139444
ccc,stdnt,kmeans,fscore,0.12544589774078477
ccc,stdnt,kmeans,precision,0.8053435114503816
ccc,stdnt,kmeans,recall,0.08664111689022722
ccc,abd,kmeans,accuracy,0.5376889734644255
ccc,abd,kmeans,fscore,0.1049784633877592
ccc,abd,kmeans,precision,0.6666666666666666
ccc,abd,kmeans,recall,0.11305285868392664
ccc,abi,kmeans,accuracy,0.5277513479226134
ccc,abi,kmeans,fscore,0.11291770573566084
ccc,abi,kmeans,precision,0.7201017811704835
ccc,abi,kmeans,recall,0.11759817161853314
ccc,asmt_stdnt,kmeans,accuracy,0.2864996299820277
ccc,asmt_stdnt,kmeans,fscore,0.1183608514024269
ccc,asmt_stdnt,kmeans,precision,0.7569974554707379
ccc,asmt_stdnt,kmeans,recall,0.08318188172794631
ccc,asmt_abd,kmeans,accuracy,0.4329210275927688
ccc,asmt_abd,kmeans,fscore,0.10763228968690607
ccc,asmt_abd,kmeans,precision,0.6844783715012722
ccc,asmt_abd,kmeans,recall,0.0951538733639901
ccc,asmt_abi,kmeans,accuracy,0.6095781795115762
ccc,asmt_abi,kmeans,fscore,0.07214918985019872
ccc,asmt_abi,kmeans,precision,0.45038167938931295
ccc,asmt_abi,kmeans,recall,0.0979253112033195
ccc,stdnt_abd,kmeans,accuracy,0.3699122528808542
ccc,stdnt_abd,kmeans,fscore,0.12284183369716213
ccc,stdnt_abd,kmeans,precision,0.787531806615776
ccc,stdnt_abd,kmeans,recall,0.09653774173424828
ccc,stdnt_abi,kmeans,accuracy,0.47711174542763507
ccc,stdnt_abi,kmeans,fscore,0.1110334498252621
ccc,stdnt_abi,kmeans,precision,0.7073791348600509
ccc,stdnt_abi,kmeans,recall,0.1054628224582701
ccc,asmt_stdnt_abd,kmeans,accuracy,0.43905275399090815
ccc,asmt_stdnt_abd,kmeans,fscore,0.1023171832681312
ccc,asmt_stdnt_abd,kmeans,precision,0.648854961832061
ccc,asmt_stdnt_abd,kmeans,recall,0.09205776173285199
ccc,asmt_stdnt_abi,kmeans,accuracy,0.46040807696373826
ccc,asmt_stdnt_abi,kmeans,fscore,0.11254115534271177
ccc,asmt_stdnt_abi,kmeans,precision,0.7175572519083969
ccc,asmt_stdnt_abi,kmeans,recall,0.10356224752111641
ddd,asmt,kmeans,accuracy,0.9348480288895576
ddd,asmt,kmeans,fscore,0.0
ddd,asmt,kmeans,precision,0.0
ddd,asmt,kmeans,recall,0.0
ddd,stdnt,kmeans,accuracy,0.36081853746614506
ddd,stdnt,kmeans,fscore,0.08196248196248196
ddd,stdnt,kmeans,precision,0.6558891454965358
ddd,stdnt,kmeans,recall,0.06479580196212639
ddd,abd,kmeans,accuracy,0.3495335540174541
ddd,abd,kmeans,fscore,0.1087080250426864
ddd,abd,kmeans,precision,0.8822170900692841
ddd,abd,kmeans,recall,0.08207993124194242
ddd,abi,kmeans,accuracy,0.4724646403851941
ddd,abi,kmeans,fscore,0.09760984685845141
ddd,abi,kmeans,precision,0.7875288683602771
ddd,abi,kmeans,recall,0.09081225033288948
ddd,asmt_stdnt,kmeans,accuracy,0.7228408065001505
ddd,asmt_stdnt,kmeans,fscore,0.03663220088626293
ddd,asmt_stdnt,kmeans,precision,0.2863741339491917
ddd,asmt_stdnt,kmeans,recall,0.0748340374170187
ddd,asmt_abd,kmeans,accuracy,0.30604875112849833
ddd,asmt_abd,kmeans,fscore,0.111663588577923
ddd,asmt_abd,kmeans,precision,0.9076212471131639
ddd,asmt_abd,kmeans,recall,0.07915407854984895
ddd,asmt_abi,kmeans,accuracy,0.24977430033102618
ddd,asmt_abi,kmeans,fscore,0.1148773223656219
ddd,asmt_abi,kmeans,precision,0.9353348729792148
ddd,asmt_abi,kmeans,recall,0.07551743427186276
ddd,stdnt_abd,kmeans,accuracy,0.42220884742702375
ddd,stdnt_abd,kmeans,fscore,0.10385164051355207
ddd,stdnt_abd,kmeans,precision,0.8406466512702079
ddd,stdnt_abd,kmeans,recall,0.08802902055622733
ddd,stdnt_abi,kmeans,accuracy,0.43590129401143546
ddd,stdnt_abi,kmeans,fscore,0.09788208357183743
ddd,stdnt_abi,kmeans,precision,0.789838337182448
ddd,stdnt_abi,kmeans,recall,0.0855
ddd,asmt_stdnt_abd,kmeans,accuracy,0.2761059283779717
ddd,asmt_stdnt_abd,kmeans,fscore,0.11327182398864442
ddd,asmt_stdnt_abd,kmeans,precision,0.9214780600461894
ddd,asmt_stdnt_abd,kmeans,recall,0.07708655332302937
ddd,asmt_stdnt_abi,kmeans,accuracy,0.26436954559133313
ddd,asmt_stdnt_abi,kmeans,fscore,0.11380729388392223
ddd,asmt_stdnt_abi,kmeans,precision,0.9260969976905312
ddd,asmt_stdnt_abi,kmeans,recall,0.07626473944465577
eee,asmt,kmeans,accuracy,0.9853990914990266
eee,asmt,kmeans,fscore,0.0
eee,asmt,kmeans,precision,0.0
eee,asmt,kmeans,recall,0.0
eee,stdnt,kmeans,accuracy,0.9302401038286827
eee,stdnt,kmeans,fscore,0.0012970168612191958
eee,stdnt,kmeans,precision,0.044444444444444446
eee,stdnt,kmeans,recall,0.011494252873563218
eee,abd,kmeans,accuracy,0.5522388059701493
eee,abd,kmeans,fscore,0.024991989746876
eee,abd,kmeans,precision,0.8666666666666667
eee,abd,kmeans,recall,0.027600849256900213
eee,abi,kmeans,accuracy,0.6083711875405581
eee,abi,kmeans,fscore,0.02245749117741418
eee,abi,kmeans,precision,0.7777777777777778
eee,abi,kmeans,recall,0.028409090909090908
eee,asmt_stdnt,kmeans,accuracy,0.5204412719013628
eee,asmt_stdnt,kmeans,fscore,0.01673101673101673
eee,asmt_stdnt,kmeans,precision,0.5777777777777777
