module,attributes,sample,metric,score
aaa,asmt,smote,accuracy,0.25152542372881354
aaa,asmt,smote,fscore,0.060486522024983565
aaa,asmt,smote,precision,0.92
aaa,asmt,smote,recall,0.04013961605584642
aaa,stdnt,smote,accuracy,0.16610169491525423
aaa,stdnt,smote,fscore,0.05151915455746367
aaa,stdnt,smote,precision,0.78
aaa,stdnt,smote,recall,0.031001589825119236
aaa,abd,smote,accuracy,0.4183050847457627
aaa,abd,smote,fscore,0.05665349143610013
aaa,abd,smote,precision,0.86
aaa,abd,smote,recall,0.04809843400447427
aaa,abi,smote,accuracy,0.471864406779661
aaa,abi,smote,fscore,0.05151915455746367
aaa,abi,smote,precision,0.78
aaa,abi,smote,recall,0.048327137546468404
aaa,asmt_stdnt,smote,accuracy,0.3023728813559322
aaa,asmt_stdnt,smote,fscore,0.04765056254136334
aaa,asmt_stdnt,smote,precision,0.72
aaa,asmt_stdnt,smote,recall,0.03425309229305423
aaa,asmt_abd,smote,accuracy,0.4230508474576271
aaa,asmt_abd,smote,fscore,0.05665349143610013
aaa,asmt_abd,smote,precision,0.86
aaa,asmt_abd,smote,recall,0.048478015783540024
aaa,asmt_abi,smote,accuracy,0.4759322033898305
aaa,asmt_abi,smote,fscore,0.05151915455746367
aaa,asmt_abi,smote,precision,0.78
aaa,asmt_abi,smote,recall,0.04868913857677903
aaa,stdnt_abd,smote,accuracy,0.39322033898305087
aaa,stdnt_abd,smote,fscore,0.05408970976253298
aaa,stdnt_abd,smote,precision,0.82
aaa,stdnt_abd,smote,recall,0.04422869471413161
aaa,stdnt_abi,smote,accuracy,0.4535593220338983
aaa,stdnt_abi,smote,fscore,0.04894179894179894
aaa,stdnt_abi,smote,precision,0.74
aaa,stdnt_abi,smote,recall,0.04457831325301205
aaa,asmt_stdnt_abd,smote,accuracy,0.4135593220338983
aaa,asmt_stdnt_abd,smote,fscore,0.05408970976253298
aaa,asmt_stdnt_abd,smote,precision,0.82
aaa,asmt_stdnt_abd,smote,recall,0.045707915273132664
aaa,asmt_stdnt_abi,smote,accuracy,0.4542372881355932
aaa,asmt_stdnt_abi,smote,fscore,0.04765056254136334
aaa,asmt_stdnt_abi,smote,precision,0.72
aaa,asmt_stdnt_abi,smote,recall,0.04353083434099154
bbb,asmt,smote,accuracy,0.15672657952069716
bbb,asmt,smote,fscore,0.031363088057901084
bbb,asmt,smote,precision,0.13895486935866982
bbb,asmt,smote,recall,0.020948970456580125
bbb,stdnt,smote,accuracy,0.6138344226579521
bbb,stdnt,smote,fscore,0.08874430709173715
bbb,stdnt,smote,precision,0.40498812351543945
bbb,stdnt,smote,recall,0.12742899850523168
bbb,abd,smote,accuracy,0.7299836601307189
bbb,abd,smote,fscore,0.0789955532304473
bbb,abd,smote,precision,0.3586698337292161
bbb,abd,smote,recall,0.17306590257879656
bbb,abi,smote,accuracy,0.8014705882352942
bbb,abi,smote,fscore,0.05765670457550912
bbb,abi,smote,precision,0.2589073634204275
bbb,abi,smote,recall,0.20722433460076045
bbb,asmt_stdnt,smote,accuracy,0.4650054466230937
bbb,asmt_stdnt,smote,fscore,0.07496723460026213
bbb,asmt_stdnt,smote,precision,0.33966745843230406
bbb,asmt_stdnt,smote,recall,0.07816343263186663
bbb,asmt_abd,smote,accuracy,0.7218137254901961
bbb,asmt_abd,smote,fscore,0.08025094758855052
bbb,asmt_abd,smote,precision,0.3646080760095012
bbb,asmt_abd,smote,recall,0.16914600550964187
bbb,asmt_abi,smote,accuracy,0.7988834422657952
bbb,asmt_abi,smote,fscore,0.05791352637842126
bbb,asmt_abi,smote,precision,0.26009501187648454
bbb,asmt_abi,smote,recall,0.20410065237651445
bbb,stdnt_abd,smote,accuracy,0.7381535947712419
bbb,stdnt_abd,smote,fscore,0.07974898679565956
bbb,stdnt_abd,smote,precision,0.36223277909738716
bbb,stdnt_abd,smote,recall,0.1803666469544648
bbb,stdnt_abi,smote,accuracy,0.8075980392156863
bbb,stdnt_abi,smote,fscore,0.054827175208581644
bbb,stdnt_abi,smote,precision,0.24584323040380046
bbb,stdnt_abi,smote,recall,0.2101522842639594
bbb,asmt_stdnt_abd,smote,accuracy,0.727260348583878
bbb,asmt_stdnt_abd,smote,fscore,0.08075264602116818
bbb,asmt_stdnt_abd,smote,precision,0.3669833729216152
bbb,asmt_stdnt_abd,smote,recall,0.1736930860033727
