module,attributes,sample,metric,score
aaa,asmt,smote,accuracy,0.43796610169491523
aaa,asmt,smote,fscore,0.04765056254136334
aaa,asmt,smote,precision,0.72
aaa,asmt,smote,recall,0.04230317273795535
aaa,stdnt,smote,accuracy,0.9457627118644067
aaa,stdnt,smote,fscore,0.0013550135501355014
aaa,stdnt,smote,precision,0.02
aaa,stdnt,smote,recall,0.03125
aaa,abd,smote,accuracy,0.9322033898305084
aaa,abd,smote,fscore,0.012129380053908356
aaa,abd,smote,precision,0.18
aaa,abd,smote,recall,0.1323529411764706
aaa,abi,smote,accuracy,0.9315254237288135
aaa,abi,smote,fscore,0.008102633355840648
aaa,abi,smote,precision,0.12
aaa,abi,smote,recall,0.09523809523809523
aaa,asmt_stdnt,smote,accuracy,0.9627118644067797
aaa,asmt_stdnt,smote,fscore,0.002708192281651997
aaa,asmt_stdnt,smote,precision,0.04
aaa,asmt_stdnt,smote,recall,0.2222222222222222
aaa,asmt_abd,smote,accuracy,0.9484745762711865
aaa,asmt_abd,smote,fscore,0.01078894133513149
aaa,asmt_abd,smote,precision,0.16
aaa,asmt_abd,smote,recall,0.19047619047619047
aaa,asmt_abi,smote,accuracy,0.9308474576271186
aaa,asmt_abi,smote,fscore,0.005409060175794456
aaa,asmt_abi,smote,precision,0.08
aaa,asmt_abi,smote,recall,0.06666666666666667
aaa,stdnt_abd,smote,accuracy,0.9579661016949153
aaa,stdnt_abd,smote,fscore,0.0013550135501355014
aaa,stdnt_abd,smote,precision,0.02
aaa,stdnt_abd,smote,recall,0.07142857142857142
aaa,stdnt_abi,smote,accuracy,0.9620338983050848
aaa,stdnt_abi,smote,fscore,0.002708192281651997
aaa,stdnt_abi,smote,precision,0.04
aaa,stdnt_abi,smote,recall,0.2
aaa,asmt_stdnt_abd,smote,accuracy,0.96
aaa,asmt_stdnt_abd,smote,fscore,0.0013550135501355014
aaa,asmt_stdnt_abd,smote,precision,0.02
aaa,asmt_stdnt_abd,smote,recall,0.09090909090909091
aaa,asmt_stdnt_abi,smote,accuracy,0.9559322033898305
aaa,asmt_stdnt_abi,smote,fscore,0.002708192281651997
aaa,asmt_stdnt_abi,smote,precision,0.04
aaa,asmt_stdnt_abi,smote,recall,0.10526315789473684
bbb,asmt,smote,accuracy,0.3661492374727669
bbb,asmt,smote,fscore,0.026602176541717048
bbb,asmt,smote,precision,0.11757719714964371
bbb,asmt,smote,recall,0.02468212415856395
bbb,stdnt,smote,accuracy,0.8511710239651417
bbb,stdnt,smote,fscore,0.012180267965895249
bbb,stdnt,smote,precision,0.05344418052256532
bbb,stdnt,smote,recall,0.13196480938416422
bbb,abd,smote,accuracy,0.8733660130718954
bbb,abd,smote,fscore,0.005702647657841141
bbb,abd,smote,precision,0.02494061757719715
bbb,abd,smote,recall,0.16153846153846155
bbb,abi,smote,accuracy,0.880718954248366
bbb,abi,smote,fscore,0.0027196083763937995
bbb,abi,smote,precision,0.011876484560570071
bbb,abi,smote,recall,0.18518518518518517
bbb,asmt_stdnt,smote,accuracy,0.7346132897603486
bbb,asmt_stdnt,smote,fscore,0.005160939834306669
bbb,asmt_stdnt,smote,precision,0.022565320665083134
bbb,asmt_stdnt,smote,recall,0.016593886462882096
bbb,asmt_abd,smote,accuracy,0.8770424836601307
bbb,asmt_abd,smote,fscore,0.002176278563656148
bbb,asmt_abd,smote,precision,0.009501187648456057
bbb,asmt_abd,smote,recall,0.1038961038961039
bbb,asmt_abi,smote,accuracy,0.8828976034858388
bbb,asmt_abi,smote,fscore,0.0016326530612244899
bbb,asmt_abi,smote,precision,0.007125890736342043
bbb,asmt_abi,smote,recall,0.2
bbb,stdnt_abd,smote,accuracy,0.8839869281045751
bbb,stdnt_abd,smote,fscore,0.0
bbb,stdnt_abd,smote,precision,0.0
bbb,stdnt_abd,smote,recall,0.0
bbb,stdnt_abi,smote,accuracy,0.883442265795207
bbb,stdnt_abi,smote,fscore,0.0
bbb,stdnt_abi,smote,precision,0.0
bbb,stdnt_abi,smote,recall,0.0
bbb,asmt_stdnt_abd,smote,accuracy,0.8646514161220044
bbb,asmt_stdnt_abd,smote,fscore,0.0008166598611678236
bbb,asmt_stdnt_abd,smote,precision,0.0035629453681710215
bbb,asmt_stdnt_abd,smote,recall,0.0189873417721519
bbb,asmt_stdnt_abi,smote,accuracy,0.8736383442265795
bbb,asmt_stdnt_abi,smote,fscore,0.0005445140212360468
