module,attributes,cluster,metric,score
aaa,asmt,kmeans,accuracy,0.9661016949152542
aaa,asmt,kmeans,fscore,0.0
aaa,asmt,kmeans,precision,0.0
aaa,asmt,kmeans,recall,0.0
aaa,stdnt,kmeans,accuracy,0.9661016949152542
aaa,stdnt,kmeans,fscore,0.0
aaa,stdnt,kmeans,precision,0.0
aaa,stdnt,kmeans,recall,0.0
aaa,abd,kmeans,accuracy,0.9661016949152542
aaa,abd,kmeans,fscore,0.0
aaa,abd,kmeans,precision,0.0
aaa,abd,kmeans,recall,0.0
aaa,abi,kmeans,accuracy,0.9661016949152542
aaa,abi,kmeans,fscore,0.0
aaa,abi,kmeans,precision,0.0
aaa,abi,kmeans,recall,0.0
aaa,asmt_stdnt,kmeans,accuracy,0.9661016949152542
aaa,asmt_stdnt,kmeans,fscore,0.0
aaa,asmt_stdnt,kmeans,precision,0.0
aaa,asmt_stdnt,kmeans,recall,0.0
aaa,asmt_abd,kmeans,accuracy,0.9661016949152542
aaa,asmt_abd,kmeans,fscore,0.0
aaa,asmt_abd,kmeans,precision,0.0
aaa,asmt_abd,kmeans,recall,0.0
aaa,asmt_abi,kmeans,accuracy,0.9661016949152542
aaa,asmt_abi,kmeans,fscore,0.0
aaa,asmt_abi,kmeans,precision,0.0
aaa,asmt_abi,kmeans,recall,0.0
aaa,stdnt_abd,kmeans,accuracy,0.9661016949152542
aaa,stdnt_abd,kmeans,fscore,0.0
aaa,stdnt_abd,kmeans,precision,0.0
aaa,stdnt_abd,kmeans,recall,0.0
aaa,stdnt_abi,kmeans,accuracy,0.9661016949152542
aaa,stdnt_abi,kmeans,fscore,0.0
aaa,stdnt_abi,kmeans,precision,0.0
aaa,stdnt_abi,kmeans,recall,0.0
aaa,asmt_stdnt_abd,kmeans,accuracy,0.9661016949152542
aaa,asmt_stdnt_abd,kmeans,fscore,0.0
aaa,asmt_stdnt_abd,kmeans,precision,0.0
aaa,asmt_stdnt_abd,kmeans,recall,0.0
aaa,asmt_stdnt_abi,kmeans,accuracy,0.9661016949152542
aaa,asmt_stdnt_abi,kmeans,fscore,0.0
aaa,asmt_stdnt_abi,kmeans,precision,0.0
aaa,asmt_stdnt_abi,kmeans,recall,0.0
bbb,asmt,kmeans,accuracy,0.8853485838779956
bbb,asmt,kmeans,fscore,0.0
bbb,asmt,kmeans,precision,0.0
bbb,asmt,kmeans,recall,0.0
bbb,stdnt,kmeans,accuracy,0.8853485838779956
bbb,stdnt,kmeans,fscore,0.0
bbb,stdnt,kmeans,precision,0.0
bbb,stdnt,kmeans,recall,0.0
bbb,abd,kmeans,accuracy,0.8853485838779956
bbb,abd,kmeans,fscore,0.0
bbb,abd,kmeans,precision,0.0
bbb,abd,kmeans,recall,0.0
bbb,abi,kmeans,accuracy,0.8853485838779956
bbb,abi,kmeans,fscore,0.0
bbb,abi,kmeans,precision,0.0
bbb,abi,kmeans,recall,0.0
bbb,asmt_stdnt,kmeans,accuracy,0.8853485838779956
bbb,asmt_stdnt,kmeans,fscore,0.0
bbb,asmt_stdnt,kmeans,precision,0.0
bbb,asmt_stdnt,kmeans,recall,0.0
bbb,asmt_abd,kmeans,accuracy,0.8853485838779956
bbb,asmt_abd,kmeans,fscore,0.0
bbb,asmt_abd,kmeans,precision,0.0
bbb,asmt_abd,kmeans,recall,0.0
bbb,asmt_abi,kmeans,accuracy,0.8853485838779956
bbb,asmt_abi,kmeans,fscore,0.0
bbb,asmt_abi,kmeans,precision,0.0
bbb,asmt_abi,kmeans,recall,0.0
bbb,stdnt_abd,kmeans,accuracy,0.8853485838779956
bbb,stdnt_abd,kmeans,fscore,0.0
bbb,stdnt_abd,kmeans,precision,0.0
bbb,stdnt_abd,kmeans,recall,0.0
bbb,stdnt_abi,kmeans,accuracy,0.8853485838779956
bbb,stdnt_abi,kmeans,fscore,0.0
bbb,stdnt_abi,kmeans,precision,0.0
bbb,stdnt_abi,kmeans,recall,0.0
bbb,asmt_stdnt_abd,kmeans,accuracy,0.8853485838779956
bbb,asmt_stdnt_abd,kmeans,fscore,0.0
bbb,asmt_stdnt_abd,kmeans,precision,0.0
bbb,asmt_stdnt_abd,kmeans,recall,0.0
bbb,asmt_stdnt_abi,kmeans,accuracy,0.8853485838779956
bbb,asmt_stdnt_abi,kmeans,fscore,0.0
bbb,asmt_stdnt_abi,kmeans,precision,0.0
bbb,asmt_stdnt_abi,kmeans,recall,0.0
ccc,asmt,kmeans,accuracy,0.9169045353631462
ccc,asmt,kmeans,fscore,0.0
ccc,asmt,kmeans,precision,0.0
ccc,asmt,kmeans,recall,0.0
ccc,stdnt,kmeans,accuracy,0.9169045353631462
ccc,stdnt,kmeans,fscore,0.0
ccc,stdnt,kmeans,precision,0.0
ccc,stdnt,kmeans,recall,0.0
ccc,abd,kmeans,accuracy,0.9169045353631462
ccc,abd,kmeans,fscore,0.0
ccc,abd,kmeans,precision,0.0
ccc,abd,kmeans,recall,0.0
ccc,abi,kmeans,accuracy,0.9169045353631462
ccc,abi,kmeans,fscore,0.0
ccc,abi,kmeans,precision,0.0
ccc,abi,kmeans,recall,0.0
ccc,asmt_stdnt,kmeans,accuracy,0.9169045353631462
ccc,asmt_stdnt,kmeans,fscore,0.0
ccc,asmt_stdnt,kmeans,precision,0.0
ccc,asmt_stdnt,kmeans,recall,0.0
ccc,asmt_abd,kmeans,accuracy,0.9169045353631462
ccc,asmt_abd,kmeans,fscore,0.0
ccc,asmt_abd,kmeans,precision,0.0
ccc,asmt_abd,kmeans,recall,0.0
ccc,asmt_abi,kmeans,accuracy,0.9169045353631462
ccc,asmt_abi,kmeans,fscore,0.0
ccc,asmt_abi,kmeans,precision,0.0
ccc,asmt_abi,kmeans,recall,0.0
ccc,stdnt_abd,kmeans,accuracy,0.9169045353631462
ccc,stdnt_abd,kmeans,fscore,0.0
ccc,stdnt_abd,kmeans,precision,0.0
ccc,stdnt_abd,kmeans,recall,0.0
ccc,stdnt_abi,kmeans,accuracy,0.9169045353631462
ccc,stdnt_abi,kmeans,fscore,0.0
ccc,stdnt_abi,kmeans,precision,0.0
ccc,stdnt_abi,kmeans,recall,0.0
ccc,asmt_stdnt_abd,kmeans,accuracy,0.9169045353631462
ccc,asmt_stdnt_abd,kmeans,fscore,0.0
ccc,asmt_stdnt_abd,kmeans,precision,0.0
ccc,asmt_stdnt_abd,kmeans,recall,0.0
ccc,asmt_stdnt_abi,kmeans,accuracy,0.9169045353631462
ccc,asmt_stdnt_abi,kmeans,fscore,0.0
ccc,asmt_stdnt_abi,kmeans,precision,0.0
ccc,asmt_stdnt_abi,kmeans,recall,0.0
ddd,asmt,kmeans,accuracy,0.9348480288895576
ddd,asmt,kmeans,fscore,0.0
ddd,asmt,kmeans,precision,0.0
ddd,asmt,kmeans,recall,0.0
ddd,stdnt,kmeans,accuracy,0.9348480288895576
ddd,stdnt,kmeans,fscore,0.0
ddd,stdnt,kmeans,precision,0.0
ddd,stdnt,kmeans,recall,0.0
ddd,abd,kmeans,accuracy,0.9348480288895576
ddd,abd,kmeans,fscore,0.0
ddd,abd,kmeans,precision,0.0
ddd,abd,kmeans,recall,0.0
ddd,abi,kmeans,accuracy,0.9348480288895576
ddd,abi,kmeans,fscore,0.0
ddd,abi,kmeans,precision,0.0
ddd,abi,kmeans,recall,0.0
ddd,asmt_stdnt,kmeans,accuracy,0.9348480288895576
ddd,asmt_stdnt,kmeans,fscore,0.0
ddd,asmt_stdnt,kmeans,precision,0.0
ddd,asmt_stdnt,kmeans,recall,0.0
ddd,asmt_abd,kmeans,accuracy,0.9348480288895576
ddd,asmt_abd,kmeans,fscore,0.0
ddd,asmt_abd,kmeans,precision,0.0
ddd,asmt_abd,kmeans,recall,0.0
ddd,asmt_abi,kmeans,accuracy,0.9348480288895576
ddd,asmt_abi,kmeans,fscore,0.0
ddd,asmt_abi,kmeans,precision,0.0
ddd,asmt_abi,kmeans,recall,0.0
ddd,stdnt_abd,kmeans,accuracy,0.9348480288895576
ddd,stdnt_abd,kmeans,fscore,0.0
ddd,stdnt_abd,kmeans,precision,0.0
ddd,stdnt_abd,kmeans,recall,0.0
ddd,stdnt_abi,kmeans,accuracy,0.9348480288895576
ddd,stdnt_abi,kmeans,fscore,0.0
ddd,stdnt_abi,kmeans,precision,0.0
ddd,stdnt_abi,kmeans,recall,0.0
ddd,asmt_stdnt_abd,kmeans,accuracy,0.9348480288895576
ddd,asmt_stdnt_abd,kmeans,fscore,0.0
ddd,asmt_stdnt_abd,kmeans,precision,0.0
ddd,asmt_stdnt_abd,kmeans,recall,0.0
ddd,asmt_stdnt_abi,kmeans,accuracy,0.9348480288895576
ddd,asmt_stdnt_abi,kmeans,fscore,0.0
ddd,asmt_stdnt_abi,kmeans,precision,0.0
ddd,asmt_stdnt_abi,kmeans,recall,0.0
eee,asmt,kmeans,accuracy,0.9853990914990266
eee,asmt,kmeans,fscore,0.0
eee,asmt,kmeans,precision,0.0
eee,asmt,kmeans,recall,0.0
eee,stdnt,kmeans,accuracy,0.9853990914990266
eee,stdnt,kmeans,fscore,0.0
eee,stdnt,kmeans,precision,0.0
eee,stdnt,kmeans,recall,0.0
eee,abd,kmeans,accuracy,0.9850746268656716
eee,abd,kmeans,fscore,0.0
eee,abd,kmeans,precision,0.0
eee,abd,kmeans,recall,0.0
eee,abi,kmeans,accuracy,0.9853990914990266
eee,abi,kmeans,fscore,0.0
eee,abi,kmeans,precision,0.0
eee,abi,kmeans,recall,0.0
eee,asmt_stdnt,kmeans,accuracy,0.9853990914990266
eee,asmt_stdnt,kmeans,fscore,0.0
eee,asmt_stdnt,kmeans,precision,0.0
eee,asmt_stdnt,kmeans,recall,0.0
eee,asmt_abd,kmeans,accuracy,0.9850746268656716
eee,asmt_abd,kmeans,fscore,0.0
eee,asmt_abd,kmeans,precision,0.0
eee,asmt_abd,kmeans,recall,0.0
eee,asmt_abi,kmeans,accuracy,0.9853990914990266
eee,asmt_abi,kmeans,fscore,0.0
eee,asmt_abi,kmeans,precision,0.0
eee,asmt_abi,kmeans,recall,0.0
eee,stdnt_abd,kmeans,accuracy,0.9850746268656716
eee,stdnt_abd,kmeans,fscore,0.0
eee,stdnt_abd,kmeans,precision,0.0
eee,stdnt_abd,kmeans,recall,0.0
eee,stdnt_abi,kmeans,accuracy,0.9853990914990266
eee,stdnt_abi,kmeans,fscore,0.0
eee,stdnt_abi,kmeans,precision,0.0
eee,stdnt_abi,kmeans,recall,0.0
eee,asmt_stdnt_abd,kmeans,accuracy,0.9850746268656716
eee,asmt_stdnt_abd,kmeans,fscore,0.0
eee,asmt_stdnt_abd,kmeans,precision,0.0
eee,asmt_stdnt_abd,kmeans,recall,0.0
eee,asmt_stdnt_abi,kmeans,accuracy,0.9853990914990266
