module,attributes,sample,metric,score
aaa,asmt,smote,accuracy,0.25152542372881354
aaa,asmt,smote,fscore,0.060486522024983565
aaa,asmt,smote,precision,0.92
aaa,asmt,smote,recall,0.04013961605584642
aaa,stdnt,smote,accuracy,0.7227118644067797
aaa,stdnt,smote,fscore,0.029392117568470277
aaa,stdnt,smote,precision,0.44
aaa,stdnt,smote,recall,0.05459057071960298
aaa,abd,smote,accuracy,0.3369491525423729
aaa,abd,smote,fscore,0.06176084099868594
aaa,abd,smote,precision,0.94
aaa,abd,smote,recall,0.04598825831702544
aaa,abi,smote,accuracy,0.3701694915254237
aaa,abi,smote,fscore,0.06176084099868594
aaa,abi,smote,precision,0.94
aaa,abi,smote,recall,0.04830421377183968
aaa,asmt_stdnt,smote,accuracy,0.7301694915254238
aaa,asmt_stdnt,smote,fscore,0.032021347565043365
aaa,asmt_stdnt,smote,precision,0.48
aaa,asmt_stdnt,smote,recall,0.060606060606060615
aaa,asmt_abd,smote,accuracy,0.3301694915254237
aaa,asmt_abd,smote,fscore,0.06176084099868594
aaa,asmt_abd,smote,precision,0.94
aaa,asmt_abd,smote,recall,0.045542635658914726
aaa,asmt_abi,smote,accuracy,0.3694915254237288
aaa,asmt_abi,smote,fscore,0.06303348653972422
aaa,asmt_abi,smote,precision,0.96
aaa,asmt_abi,smote,recall,0.049180327868852465
aaa,stdnt_abd,smote,accuracy,0.6711864406779661
aaa,stdnt_abd,smote,fscore,0.039867109634551486
aaa,stdnt_abd,smote,precision,0.6
aaa,stdnt_abd,smote,recall,0.060606060606060615
aaa,stdnt_abi,smote,accuracy,0.6433898305084745
aaa,stdnt_abi,smote,fscore,0.041168658698539175
aaa,stdnt_abi,smote,precision,0.62
aaa,stdnt_abi,smote,recall,0.057620817843866176
aaa,asmt_stdnt_abd,smote,accuracy,0.6874576271186441
aaa,asmt_stdnt_abd,smote,fscore,0.041168658698539175
aaa,asmt_stdnt_abd,smote,precision,0.62
aaa,asmt_stdnt_abd,smote,recall,0.06553911205073996
aaa,asmt_stdnt_abi,smote,accuracy,0.6698305084745763
aaa,asmt_stdnt_abi,smote,fscore,0.041168658698539175
aaa,asmt_stdnt_abi,smote,precision,0.62
aaa,asmt_stdnt_abi,smote,recall,0.06212424849699399
bbb,asmt,smote,accuracy,0.3661492374727669
bbb,asmt,smote,fscore,0.026602176541717048
bbb,asmt,smote,precision,0.11757719714964372
bbb,asmt,smote,recall,0.02468212415856395
bbb,stdnt,smote,accuracy,0.5887799564270153
bbb,stdnt,smote,fscore,0.08949011446409989
bbb,stdnt,smote,precision,0.4085510688836104
bbb,stdnt,smote,recall,0.12002791346824845
bbb,abd,smote,accuracy,0.17851307189542484
bbb,abd,smote,fscore,0.17585692995529062
bbb,abd,smote,precision,0.8408551068883611
bbb,abd,smote,recall,0.10715907370970183
bbb,abi,smote,accuracy,0.4957788671023965
bbb,abi,smote,fscore,0.17585692995529062
bbb,abi,smote,precision,0.8408551068883611
bbb,abi,smote,recall,0.16553659106850596
bbb,asmt_stdnt,smote,accuracy,0.5906862745098039
bbb,asmt_stdnt,smote,fscore,0.014866873901878632
bbb,asmt_stdnt,smote,precision,0.06532066508313539
bbb,asmt_stdnt,smote,recall,0.024186455584872472
bbb,asmt_abd,smote,accuracy,0.35866013071895425
bbb,asmt_abd,smote,fscore,0.026602176541717048
bbb,asmt_abd,smote,precision,0.11757719714964372
bbb,asmt_abd,smote,recall,0.024348253812100342
bbb,asmt_abi,smote,accuracy,0.36655773420479293
bbb,asmt_abi,smote,fscore,0.026602176541717048
bbb,asmt_abi,smote,precision,0.11757719714964372
bbb,asmt_abi,smote,recall,0.02470059880239521
bbb,stdnt_abd,smote,accuracy,0.5194716775599129
bbb,stdnt_abd,smote,fscore,0.09814838793215072
bbb,stdnt_abd,smote,precision,0.4501187648456057
bbb,stdnt_abd,smote,recall,0.11001451378809868
bbb,stdnt_abi,smote,accuracy,0.6128812636165577
bbb,stdnt_abi,smote,fscore,0.0979020979020979
bbb,stdnt_abi,smote,precision,0.4489311163895487
bbb,stdnt_abi,smote,recall,0.13710554951033732
bbb,asmt_stdnt_abd,smote,accuracy,0.3321078431372549
bbb,asmt_stdnt_abd,smote,fscore,0.029514354708881137
bbb,asmt_stdnt_abd,smote,precision,0.13064133016627075
bbb,asmt_stdnt_abd,smote,recall,0.025682932523931824
